วันที่หมดอายุ,_id,ลำดับ,เลขทะเบียน,วันที่อนุมัติ,ระดับ GI,ชื่อโรงงาน
2570-02-27T00:00:00,1,1,10200100225352,29/02/2567,3,บริษัท ดับเบิ้ลยูบีแอลพี จำกัด
2569-11-21T00:00:00,2,2,10200200125254,22/11/2566,3,บริษัท ทีพีซีเอส จำกัด (มหาชน)
2569-03-08T00:00:00,3,3,10200100125552,4/8/2566,3,บริษัท อาซาฮี คาเซอิ สปันบอนด์ (ประเทศไทย) จำกัด
2569-11-21T00:00:00,4,4,10200300125451,22/11/2566,3,บริษัท เจริญโภคภัณฑ์อาหาร จำกัด (มหาชน)
2569-09-11T00:00:00,5,5,10200000825517,10/11/2566,3,บริษัท กรุงไทยอาหาร จำกัด (มหาชน)
2568-03-13T00:00:00,6,6,10200100325152,14/3/2565,3,บริษัท อุตสาหกรรมไทยปรีดา จำกัด
2568-05-24T00:00:00,7,7,10200000425151,25/5/2565,3,บริษัท ชอไชยวัฒน์อุตสาหกรรม จำกัด
2569-11-21T00:00:00,8,8,10200000325153,22/11/2566,3,บริษัท อาหารสยาม (2513) จำกัด
2568-05-17T00:00:00,9,9,10200001125503,18/5/2565,3,บริษัท สุขสมบูรณ์น้ำมันพืช จำกัด
2569-05-12T00:00:00,10,10,10200000725600,6/12/2566,3,บริษัท จีเอฟพีที นิชิเร (ประเทศไทย) จำกัด
2570-01-17T00:00:00,11,11,10200100325475,18/1/2567,3,บริษัท ซี เอฟ พี จำกัด
2568-03-13T00:00:00,12,12,10200001225568,14/3/2565,3,บริษัท โออิชิ ฟู้ด เซอร์วิส จำกัด
2569-02-10T00:00:00,13,13,10200002925596,3/10/2566,3,บริษัท จีเอฟพีที นิชิเร (ประเทศไทย) จำกัด
2569-09-05T00:00:00,14,14,10200000125603,10/5/2566,3,บริษัท แมคคีย์ ฟู้ด เซอร์วิสเซส (ประเทศไทย) จำกัด
2569-08-24T00:00:00,15,15,10200000125322,25/8/2566,3,โรงโม่หินทวีสิน
2568-09-21T00:00:00,16,16,10200000225247,22/9/2565,3,บริษัท สุวลี จำกัด
2570-01-28T00:00:00,17,17,10200009825484,29/1/2567,3,บริษัท สมาร์ทคอนกรีต จำกัด (มหาชน)
2570-05-26T00:00:00,18,18,10200300125386,27/5/2567,3,บริษัท สยามแองโกลอัลลอย จำกัด
2567-06-09T00:00:00,19,19,10200100225451,7/9/2564,3,บริษัท เมทเทิลคอม จำกัด
2569-03-15T00:00:00,20,20,10200400225409,16/3/2566,3,บริษัท บีทีดี ออโต้พาร์ท (ประเทศไทย) จำกัด
2568-05-24T00:00:00,21,21,10200500125368,25/5/2565,3,บริษัท เอสทีพี แอนด์ ไอ จำกัด (มหาชน)
2568-07-20T00:00:00,22,22,10200000225528,21/7/2565,3,บริษัท เอสทีพี แอนด์ ไอ จำกัด (มหาชน)
2568-07-20T00:00:00,23,23,10200000525513,21/7/2565,3,บริษัท เอสทีพี แอนด์ ไอ จำกัด (มหาชน)
2568-12-01T00:00:00,24,24,10200600125359,13/1/2565,3,บริษัท ยูนิมิต เอนจิเนียริ่ง จำกัด(มหาชน)
2568-12-01T00:00:00,25,25,10200300125329,13/1/2565,3,บริษัท อลูคอน จำกัด (มหาชน)
2569-12-02T00:00:00,26,26,10200002025512,13/2/2566,3,บริษัท ศรีบริสุทธิ์ ฟอร์จจิ้ง เทคโนโลยี จำกัด
2568-07-17T00:00:00,27,27,10200001025505,18/7/2565,3,บริษัท ฮิไรเซมิสึ (ประเทศไทย) จำกัด
2570-10-01T00:00:00,28,28,10200400125252,11/1/2567,3,ห้างหุ้นส่วนจำกัด ยูต้าอุตสาหกรรม
2568-10-24T00:00:00,29,29,10200800125357,25/10/2565,3,บริษัท อาจีกาว่า แอนด์ เอส ซี ไอ เมทัล เทค จำกัด
2569-11-19T00:00:00,30,30,10200700125457,20/11/2566,3,บริษัท เฟิสท์ ฉื่อ จิ้น ฮั้ว จำกัด
2570-02-04T00:00:00,31,31,10200800125456,3/4/2567,3,บริษัท พรีเมี่ยมสตีล โพรเซสซิ่ง จำกัด
2570-01-24T00:00:00,32,32,10200200225575,25/1/2567,3,บริษัท ซีเอส เมทอล จำกัด
2569-12-14T00:00:00,33,33,10200001225584,15/12/2566,3,บริษัท ตั้งเซียะปิง โลหะกิจ จำกัด
2569-11-07T00:00:00,34,34,10200900125455,12/7/2566,3,บริษัท ซียูอีแอล จำกัด
2569-11-07T00:00:00,35,35,10200200225450,12/7/2566,3,บริษัท ซียูอีแอล จำกัด
2568-01-06T00:00:00,36,36,10200001225501,2/6/2565,3,บริษัท ไอเบล (ประเทศไทย) จำกัด
2568-11-20T00:00:00,37,37,10200003125618,21/11/2565,3,บริษัท ฮาน ยาง เอ็ม-เทค (ไทยแลนด์) จำกัด
2570-01-02T00:00:00,38,38,10200700125333,2/2/2567,3,บริษัท จาโนเม่ (ประเทศไทย) จำกัด
2570-01-29T00:00:00,39,39,10201600125407,30/1/2567,3,บริษัท ไทยซัมซุง อิเลคโทรนิคส์ จำกัด
2570-02-27T00:00:00,40,40,10200500125467,29/02/2567,3,บริษัท ไทยซัมซุง อิเลคโทรนิคส์ จำกัด
