เนื้อที่เพาะปลูก,_id,ปี,เนื้อที่เก็บเกี่ยว,ชนิดพืชผัก
71,1,2561,71,แตงกวา
351,2,2561,351,แตงโม
88,3,2561,88,ถั่วฝักยาว
1223,4,2561,1223,พริกขึ้หนู
51,5,2561,51,มะเขือเปราะ
30,6,2561,30,มะเขือยาว
1034,7,2562,1034,แตงกวา
87,8,2562,87,แตงโม
1654,9,2562,1654,ถั่วฝักยาว
3542,10,2562,3542,พริกขึ้หนู
584,11,2562,584,มะเขือเปราะ
154,12,2562,145,มะเขือยาว
285,13,2563,285,แตงกวา
58,14,2563,58,แตงโม
384,15,2563,384,ถั่วฝักยาว
3238,16,2563,2279,พริกขึ้หนู
103,17,2563,103,มะเขือเปราะ
559,18,2563,559,ฟัก/แฟง
94,19,2563,94,ฟักทอง
86,20,2563,86,พริกไทย
76,21,2564,76,แตงกวา
62,22,2564,62,แตงโม
66,23,2564,66,ถั่วฝักยาว
1638,24,2564,1638,พริกขึ้หนู
229,25,2564,229,มะเขือเปราะ
530,26,2564,530,ฟัก/แฟง
104,27,2564,102,พริกไทย
522,28,2565,496,แตงกวา
213,29,2565,213,แตงโม
382,30,2565,382,ถั่วฝักยาว
2767,31,2565,2767,พริกขึ้หนู
202,32,2565,202,มะเขือเปราะ
730,33,2565,730,ฟัก/แฟง
76,34,2565,76,พริกไทย
246,35,2565,246,ฟักทอง
352,36,2566,352,แตงกวา
223,37,2566,223,แตงโม
218,38,2566,218,ถั่วฝักยาว
2002,39,2566,1990,พริกขึ้หนู
161,40,2566,156,มะเขือเปราะ
126,41,2566,126,มะเขือยาว
600,42,2566,600,ฟัก/แฟง
17,43,2566,17,พริกไทย
197,44,2566,197,ฟักทอง
6,45,2567,6,กระชาย
4,46,2567,4,กะเพรา
15,47,2567,15,ข่า
20,48,2567,20,ตะไคร้
661,49,2567,656,แตงกวา
369,50,2567,369,แตงโม
614,51,2567,612,ถั่วฝักยาว
10,52,2567,10,บวบ
334,53,2567,334,มะเขือเปราะ
274,54,2567,274,มะเขือยาว
1120,55,2567,1120,ฟัก/แฟง
13,56,2567,12,พริกไทย
347,57,2567,347,ฟักทอง
3822,58,2567,3812,พริกขึ้หนู
