เดือน,รายจ่ายลงทุน,_id,ปี,หน่วย
มกราคม,188.7,1,2568,ล้านบาท
กุมภาพันธ์,266.7,2,2568,ล้านบาท
มีนาคม,478.3,3,2568,ล้านบาท
เมษายน,369.1,4,2568,ล้านบาท
พฤษภาคม,450.1,5,2568,ล้านบาท
มิถุนายน,407.2,6,2568,ล้านบาท
กรกฎาคม,440.1,7,2568,ล้านบาท
สิงหาคม,630.5,8,2568,ล้านบาท
กันยายน,571.0,9,2568,ล้านบาท
ตุลาคม,438.0,10,2568,ล้านบาท
พฤศจิกายน,341.3,11,2568,ล้านบาท
ธันวาคม,319.2,12,2568,ล้านบาท
