FROAD,FID,DISPFACREG,FAMPNAME,FPROVNAME,ONAME,FMOO,_id,FNAME,OBJECT,STATUS,Last_update,LNG,FADDR,LAT,FSOI,FTUMNAME
พระรามที่ 2,10740000425438,3-6(5)-4/43สค,เมืองสมุทรสาคร,สมุทรสาคร,บริษัท อันดามันซูริมิ อินดัสทรีย์ จำกัด,3,2979,บริษัท อันดามันซูริมิ อินดัสทรีส์ จำกัด,ผลิตเนื้อปลาบดแช่แข็งและห้องเย็น,ดำเนินกิจการ,2023-04-18T21:00:05,100.222083333333,12/32,13.5345333333333,NULL,บางกระเจ้า
คันคลองชลประทาน,20160100125432,จ3-9(1)-1/43ลบ,เมืองลพบุรี,ลพบุรี,นายกิติศักดิ์ เกตุพุก,3,2980,อุดมแสงทอง 2,สีข้าวชนิดแยกเกลบแยกรำ กำลังสีสูงสุด 24 เกวียน/วัน,ดำเนินกิจการ,2023-04-18T21:00:05,100.60488,81/9,14.78435,NULL,โพธิ์เก้าต้น
สาย 3333,20160500125438,จ3-45(1)-1/43ลบ,เมืองลพบุรี,ลพบุรี,บริษัท เทอร์ราโก้ อินดัสตรี (ไทยแลนด์) จำกัด,8,2981,บริษัท เทอร์ราโก้ อินดัสตรี (ไทยแลนด์) จำกัด,"ผลิตสีเคลือบผิวภายในและภายนอกอาคาร งานตบแต่งสิ่งปลูกสร้าง, ซีเมนต์ผสมพิเศษ เพื่องานตบแต่งอาคารและผลิตภัณฑ์ใช้ในการกันซึม",ดำเนินกิจการ,2023-04-18T21:00:05,100.79461,103,14.86057,NULL,โคกตูม
NULL,20743200125434,จ3-91(1)-1/43สค,เมืองสมุทรสาคร,สมุทรสาคร,บริษัท พี.เอส.พี.สเปเชียลตี้ส์ จำกัด (มหาชน),1,2982,บริษัท พี.เอส.พี.สเปเชียลตี้ส์ จำกัด (มหาชน),บรรจุน้ำมันหล่อลื่นและจาระบี,ดำเนินกิจการ,2023-04-18T21:00:05,100.254903,100/149,13.537882,NULL,ท่าจีน
พระประโทน-บ้านแพ้ว,20740100825394,จ3-60-8/39สค,เมืองสมุทรสาคร,สมุทรสาคร,นายเอนก ทองเสงี่ยม,3,2983,-,หล่อหลอมโลหะ,ดำเนินกิจการ,2023-04-18T21:00:05,100.164166666667,2/8,13.5367833333333,NULL,ชัยมงคล
เอกชัย,20740800225424,จ3-37-2/42สค,เมืองสมุทรสาคร,สมุทรสาคร,บริษัท อินเด็กซ์อินเตอร์เฟิร์น จำกัด,5,2984,บริษัท อินเด็กซ์อินเตอร์เฟิร์น จำกัด,ผลิตเฟอร์นิเจอร์ เช่น โต๊ะ ตู้ เตียงนอน และชั้นวางของ,หยุดชั่วคราว,2023-04-18T21:00:05,100.307033333333,99,13.5744166666667,NULL,โคกขาม
NULL,20732500125434,จ3-62-1/43นฐ,สามพราน,นครปฐม,บริษัท เค.ที.ดีสเพลย์ จำกัด,8,2985,บริษัท เค.ที.ดีสเพลย์ จำกัด,ทำชั้นวางสิ่งของต่าง ๆ,ดำเนินกิจการ,2023-04-18T21:00:05,100.28295,23/243-244,13.7019,NULL,อ้อมใหญ่
เพชรเกษม,20742500125433,จ3-64(10)-1/43สค,กระทุ่มแบน,สมุทรสาคร,นายชาญ วีระเทียนชัย,7,2986,-,ชุบสังกะสี,ดำเนินกิจการ,2023-04-18T21:00:05,100.32145,132/1,13.6771666666667,สุขาภิบาล 3,สวนหลวง
พหลโยธิน,10140700125448,3-69-1/44อย,วังน้อย,พระนครศรีอยุธยา,บริษัท นิเดค พรีซิซั่น (ประเทศไทย) จำกัด,5,2987,บริษัท นิเดค พรีซิซั่น (ประเทศไทย) จำกัด,ผลิตอุปกรณ์สำหรับเครื่องคอมพิวเตอร์,ดำเนินกิจการ,2023-04-18T21:00:05,100.694683333333,150/1,14.2210833333333,NULL,ลำไทร
บ้านแพ้ว-พระประโทน,10740200125440,3-12(10)-1/44สค,บ้านแพ้ว,สมุทรสาคร,บริษัท ซีเพค จำกัด,11,2988,บริษัท ซีเพค จำกัด,ทำท๊อฟฟี่ และขนมหวาน,ดำเนินกิจการ,2023-04-18T21:00:05,100.1492,19/6,13.5488833333333,-,หลักสาม
บางกรวย-ไทรน้อย,20121000125443,จ3-52(4)-1/44นบ,บางบัวทอง,นนทบุรี,บริษัท โพลิเมอร์ อินโนเวชั่น จำกัด,5,2989,บริษัท โพลิเมอร์ อินโนเวชั่น จำกัด,ทำผลิตภัณฑ์จากยาง,ดำเนินกิจการ,2023-04-18T21:00:05,100.37455,71/31,13.94595,NULL,บางบัวทอง
สิงหวัฒน์ กม.14-16,20640000625441,จ3-2(5)-6/44สท,กงไกรลาศ,สุโขทัย,นายเกรียงสิทธิ์ สุวรรณ,6,2990,-,เก็บรักษา-ลำเลียงเมล็ดพืชทุกชนิด,ดำเนินกิจการ,2023-04-18T21:00:05,99.96594,107,16.34114,NULL,ป่าแฝก
พหลโยธิน,20141100125440,จ3-67(1)-1/44อย,วังน้อย,พระนครศรีอยุธยา,บริษัท กรุงเทพ ทังสเตน คาร์ไบด์ จำกัด,3,2991,บริษัท กรุงเทพ ทังสเตน คาร์ไบด์ จำกัด,ผลิตและซ่อมแซมอุปกรณ์มำเครื่องเรือน,ดำเนินกิจการ,2023-04-18T21:00:05,100.666416666667,53,14.2059,-,ลำไทร
      สุขุมวิท,20110001125429,จ3-28(1)-11/42สป,เมืองสมุทรปราการ,สมุทรปราการ,บริษัท คาสโค่ เท็กซ์ไทล์ จำกัด,6,2992,บริษัท คาสโค่ เท็กซ์ไทล์ จำกัด,"รับจ้างทำผลิตภัณฑ์ผ้า เช่น ตุ๊กตา,ของเล่นเด็ก,ถุงเท้า,หมวก",ดำเนินกิจการ,2023-04-18T21:00:05,100.6299,320,13.5325833333333,       -,บางปูใหม่
บางกรวย-ไทรน้อย,20120000425431,จ3-72-4/43นบ,บางบัวทอง,นนทบุรี,บริษัท โยชิดะ เทคโนโลยี จำกัด,3,2993,บริษัท โยชิดะ เทคโนโลยี จำกัด,ผลิตชิ้นส่วนสำหรับใช้กับเครื่องอิเลคทรอนิคส์ และกลึงโลหะทั่วไป,ดำเนินกิจการ,2023-04-18T21:00:05,100.430146,333/81,13.888424,-,บางรักพัฒนา
