Unemployed F,Studies M,Others T,Persons not in labour force T,Others M,Unemployment rate F,province,Unemployed T,Persons not in labour force F,Studies F,Persons not in labour force M,Quarter,Unemployment rate T,Employed T,year,Employed M,Seasonally inactive M,Studies T,Others F,Seasonally inactive F,_id,Current labour force M,Employed F,Unemployment rate M,Unemployed M,Current labour force F,Seasonally inactive T,Household work T,Current labour force T,Household work F,Household work M
"4,559","17,013","67,287","162,425","32,914",3.1,Narathiwat,"9,433","112,064","23,787","50,362",1,2.73,"335,181",2560,"193,114", - ,"40,800","34,372",364,1,"197,988","142,068",2.46,"4,875","146,990",364,"54,339","344,979","53,904",434
"5,504","18,186","73,970","172,460","38,611",3.82,Narathiwat,"16,819","115,567","24,657","56,893",2,5.01,"319,093",2560,"180,562", - ,"42,843","35,359", - ,2,"191,877","138,530",5.9,"11,315","144,035", - ,"55,647","335,912","55,551",96
"5,432","18,266","84,809","193,594","42,059",4.28,Narathiwat,"16,329","133,060","22,834","60,534",3,5.17,"299,453",2560,"177,818", - ,"41,100","42,750", - ,3,"188,715","121,635",5.77,"10,896","127,067", - ,"67,685","315,782","67,475",210
"8,046","19,815","84,411","194,352","41,993",6.29,Narathiwat,"23,157","132,543","23,100","61,809",4,7.33,"292,663",2560,"172,754", - ,"42,915","42,417", - ,4,"187,864","119,909",8.04,"15,111","127,956", - ,"67,026","315,820","67,026", - 
"4,035","17,300","70,418","176,212","34,907",2.95,Narathiwat,"16,664","124,005","28,658","52,207",1,4.98,"318,032",2561,"185,122",139,"45,958","35,511", - ,5,"197,751","132,910",6.39,"12,629","136,945",139,"59,836","334,696","59,836", - 
"9,118","15,879","72,163","172,115","36,843",6.39,Narathiwat,"21,276","118,679","23,239","53,436",2,6.26,"318,505",2561,"184,933", - ,"39,118","35,320", - ,6,"197,091","133,572",6.17,"12,157","142,690", - ,"60,834","339,781","60,120",714
"7,111","17,968","76,616","170,526","35,278",4.9,Narathiwat,"20,436","116,743","22,553","53,783",3,5.97,"321,768",2561,"183,823", - ,"40,521","41,338", - ,7,"197,148","137,945",6.76,"13,325","145,055", - ,"53,389","342,203","52,852",537
"7,992","19,753","71,074","168,818","32,831",5.47,Narathiwat,"23,318","116,233","23,958","52,584",4,6.76,"321,474",2561,"183,428", - ,"43,711","38,243", - ,8,"198,753","138,046",7.71,"15,326","146,038", - ,"54,032","344,791","54,032",
"8,024","20,643","70,892","179,608","33,706",5.84,Narathiwat,"16,850","125,259","25,672","54,349",1,5.03,"317,683",2562,"188,218",408,"46,316","37,187", - ,9,"197,452","129,465",4.47,"8,826","137,489",408,"62,400","334,941","62,400", - 
"2,490","21,581","75,972","187,482","38,936",1.82,Narathiwat,"7,253","126,075","25,439","61,406",2,2.21,"320,602",2562,"185,938",121,"47,021","37,037", - ,10,"190,823","134,664",2.5,"4,763","137,154",121,"64,488","327,976","63,599",889
"2,387","19,436","76,063","183,814","38,644",1.73,Narathiwat,"9,742","125,566","24,130","58,248",3,2.93,"321,006",2562,"185,900","1,120","43,566","37,419",614,11,"194,375","135,106",3.78,"7,355","138,108","1,735","64,185","332,483","64,017",169
"5,348","17,314","65,347","182,853","31,670",4.1,Narathiwat,"20,864","133,595","25,093","49,258",4,6.24,"312,808",2562,"187,712",460,"42,407","33,677", - ,12,"203,688","125,096",7.62,"15,516","130,444",460,"75,099","334,132","74,825",274
"5,891","23,206","54,987","169,490","23,264",4.15,Narathiwat,"18,610","122,507","25,726","46,983",1,5.34,"329,580",2563,"193,568", - ,"48,932","31,723", - ,13,"206,287","136,012",6.17,"12,719","141,903", - ,"65,571","348,190","65,058",513
"7,245","20,972","58,872","174,291","26,466",5.21,Narathiwat,"23,455","125,765","24,660","48,526",2,6.82,"320,652",2563,"188,873", - ,"45,632","32,407", - ,14,"205,083","131,779",7.9,"16,210","139,024", - ,"69,787","344,107","68,698","1,088"
"6,755","21,876","60,851","173,709","27,627",4.79,Narathiwat,"22,996","124,206","26,609","49,503",3,6.66,"321,965",2563,"187,759",449,"48,485","33,224", - ,15,"204,449","134,206",7.94,"16,241","140,961",449,"64,373","345,410","64,373", - 
"11,779","18,898","59,992","176,082","27,880",8.64,Narathiwat,"31,474","129,304","26,713","46,778",4,9.15,"312,334",2563,"187,854", - ,"45,612","32,112", - ,16,"207,550","124,480",9.49,"19,696","136,258", - ,"70,478","343,808","70,478", - 
"8,234","24,714","68,265","188,072","32,261",6.09,Narathiwat,"31,089","130,837","28,411","57,235",1,9.35,"301,113",2564,"174,217",392,"53,125","36,004", - ,17,"197,463","126,896",11.57,"22,855","135,130",392,"66,681","332,593","66,421",260
"10,931","24,367","66,221","177,647","29,734",7.61,Narathiwat,"26,729","122,802","24,369","54,845",2,7.77,"317,081",2564,"184,438", - ,"48,736","36,488", - ,18,"200,236","132,644",7.89,"15,798","143,575", - ,"62,690","343,811","61,945",744
"10,340","23,538","66,742","183,266","31,408",7.41,Narathiwat,"27,358","127,165","27,042","56,101",3,8.07,"311,633",2564,"182,343", - ,"50,581","35,334", - ,19,"199,360","129,290",8.54,"17,017","139,630", - ,"65,943","338,990","64,788","1,155"
"11,632","24,933","64,264","184,611","30,983",8.3,Narathiwat,"29,395","127,008","28,975","57,603",4,8.69,"308,203",2564,"179,635",813,"53,908","33,281", - ,20,"198,211","128,568",8.96,"17,764","140,200",813,"66,440","338,411","64,753","1,687"
"9,302","22,136","82,028","208,060","37,529",6.03,Narathiwat,"24,519","147,466","25,167","60,594",1,6.58,"348,369",2565,"203,342", - ,"47,303","44,500", - ,21,"218,559","145,028",6.96,"15,217","154,330", - ,"78,729","372,889","77,800",929
"12,371","22,010","85,029","207,549","38,482",7.93,Narathiwat,"25,868","146,340","27,185","61,209",2,6.91,"348,272",2565,"204,896", - ,"49,195","46,547",254,22,"218,393","143,377",6.18,"13,497","156,002",254,"73,326","374,395","72,608",718
"10,341","20,503","85,765","203,756","38,300",6.53,Narathiwat,"28,437","144,482","26,780","59,274",3,7.5,"350,716",2565,"202,669", - ,"47,283","47,465", - ,23,"220,765","148,047",8.2,"18,096","158,387", - ,"70,708","379,152","70,237",472
"10,243","20,873","79,640","204,078","39,075",6.39,Narathiwat,"24,315","143,111","25,788","60,966",4,6.4,"355,349",2565,"205,334",82,"46,661","40,565", - ,24,"219,488","150,016",6.41,"14,072","160,259",82,"77,776","379,746","76,758","1,018"
"8,104","20,939","84,656","201,670","40,619",4.93,Narathiwat,"18,463","139,582","23,528","62,088",1,4.82,"364,611",2566,"208,422", - ,"44,467","44,037", - ,25,"218,782","156,188",4.74,"10,360","164,292", - ,"72,547","383,074","72,017",530
"9,457","22,893","93,976","214,278","42,801",6.03,Narathiwat,"18,606","147,557","21,730","66,721",2,5.01,"352,808",2566,"205,422", - ,"44,624","51,175", - ,26,"214,571","147,386",4.26,"9,149","156,843", - ,"75,678","371,414","74,652","1,027"
"8,780","19,762","94,742","216,460","43,946",5.75,Narathiwat,"20,511","152,269","22,594","64,191",3,5.54,"349,649",2566,"205,792", - ,"42,356","50,796", - ,27,"217,523","143,856",5.39,"11,731","152,637", - ,"79,362","370,160","78,879",483
"3,612","20,614","90,274","213,624","42,090",2.33,Narathiwat,"11,775","150,523","23,804","63,101",4,3.15,"362,067",2566,"210,829", - ,"44,418","48,185", - ,28,"218,992","151,238",3.73,"8,163","154,850", - ,"78,931","373,842","78,534",397
5185,22151,103592,228200,48973,3.45,Narathiwat,17243,155432,26077,72767,1,4.79,342905,2567,197665, - ,48228,54618, - ,29,209723,145241,5.75,12058,150426, - ,76380,360148,74738,1642
5044,21452,101104,230633,44884,3.52,Narathiwat,14065,163149,23651,67484,2,3.92,344534,2567,206381, - ,45103,56219, - ,30,215402,138153,4.19,9021,143197, - ,84426,358599,83278,1148
6439,22116,98773,226538,41557,4.45,Narathiwat,16781,162059,26493,64479,3,4.62,346653,2567,208328,127,48609,57216,n.a.,31,218669,138325,4.73,10341,144764,127,79156,363434,78351,805
3773,24041,97647,231961,43098,2.61,Narathiwat,10014,162904,27347,69057,4,2.79,348691,2567,208329,n.a.,51388,54549,224,32,214570,140362,2.91,6241,144135,224,82927,358705,81009,1918
2388,21072,92689,212979,40355,1.56,Narathiwat,7429,151552,26782,61427,1,1.99,369429,2568,215415,n.a.,47854,52335,n.a.,33,222563,154014,2.3,5041,156161,n.a.,72435,378724,72435,n.a.
