ประเภทอุตสาหกรรม,_id,2567,2566,2565,2568
ผลิตภัณฑ์จากพืช,1,14,14,14,14
อุตสาหกรรมอาหาร,2,32,32,33,33
อุตสาหกรรมเครื่องดื่ม,3,1,1,1,1
สิ่งทอ,4,3,3,3,3
อุตสาหกรรมเครื่องแต่งกายยกเว้นรองเท้า,5,1,1,1,1
ผลิตหนังสัตว์และผลิตภัณฑ์จากหนังสัตว์,6,1,1,1,1
แปรรูปไม้และผลิตภัณฑ์จากไม้,7,23,23,24,24
เครื่องเรือนหรือเครื่องตกแต่งในอาคารจากไม้ แก้ว ยาง หรือโลหะอื่นๆ,8,1,1,1,1
เคมีภัณฑ์และผลิตภัณฑ์เคมี,9,13,13,14,14
ผลิตภัณฑ์จากปิโตรเลียม,10,3,3,3,3
ยางและผลิตภัณฑ์ยาง,11,1,1,1,1
ผลิตภัณฑ์พลาสติก,12,9,9,9,9
ผลิตภัณฑ์โลหะ,13,14,14,14,14
ผลิตโลหะขั้นมูลฐาน,14,9,9,9,9
ผลิตภัณฑ์โลหะ,15,7,7,7,7
ผลิตเครื่องจักรและเครื่องกล,16,6,6,6,6
ผลิตเครื่องใช้ไฟฟ้าและอุปกรณ์,17,1,1,1,1
ผลิตยานพาหนะและอุปกรณ์ รวมทั้งการซ่อมยานพาหนะและอุปกรณ์,18,12,12,12,12
การผลิตอื่นๆ,19,15,14,15,15
