เนื้อที่เพาะปลูก,_id,ปี,หน่วยนับ,อำเภอ,รายการ
15945.55,1,2564/2565,ไร่,เมืองนครสวรรค์,เนื้อที่เพาะปลูกมันสำปะหลัง
1298.08,2,2564/2565,ไร่,โกรกพระ,เนื้อที่เพาะปลูกมันสำปะหลัง
79.25,3,2564/2565,ไร่,ชุมแสง,เนื้อที่เพาะปลูกมันสำปะหลัง
42252.35,4,2564/2565,ไร่,หนองบัว,เนื้อที่เพาะปลูกมันสำปะหลัง
8555.98,5,2564/2565,ไร่,บรรพตพิสัย,เนื้อที่เพาะปลูกมันสำปะหลัง
1153.49,6,2564/2565,ไร่,เก้าเลี้ยว,เนื้อที่เพาะปลูกมันสำปะหลัง
17930.34,7,2564/2565,ไร่,ตาคลี,เนื้อที่เพาะปลูกมันสำปะหลัง
23558.3,8,2564/2565,ไร่,ท่าตะโก,เนื้อที่เพาะปลูกมันสำปะหลัง
104546.06,9,2564/2565,ไร่,ไพศาลี,เนื้อที่เพาะปลูกมันสำปะหลัง
22436.34,10,2564/2565,ไร่,พยุหะคีรี,เนื้อที่เพาะปลูกมันสำปะหลัง
105834.19,11,2564/2565,ไร่,ลาดยาว,เนื้อที่เพาะปลูกมันสำปะหลัง
76543.53,12,2564/2565,ไร่,ตากฟ้า,เนื้อที่เพาะปลูกมันสำปะหลัง
78192.73,13,2564/2565,ไร่,แม่วงก์,เนื้อที่เพาะปลูกมันสำปะหลัง
25955.89,14,2564/2565,ไร่,แม่เปิน,เนื้อที่เพาะปลูกมันสำปะหลัง
25133.4,15,2564/2565,ไร่,ชุมตาบง,เนื้อที่เพาะปลูกมันสำปะหลัง
14435.93,16,2565/2566,ไร่,เมืองนครสวรรค์,เนื้อที่เพาะปลูกมันสำปะหลัง
841.5,17,2565/2566,ไร่,โกรกพระ,เนื้อที่เพาะปลูกมันสำปะหลัง
68.75,18,2565/2566,ไร่,ชุมแสง,เนื้อที่เพาะปลูกมันสำปะหลัง
42691.51,19,2565/2566,ไร่,หนองบัว,เนื้อที่เพาะปลูกมันสำปะหลัง
