ประเภทพืชเศรษฐกิจ,พื้นที่เพาะปลูก (ไร่),_id,ปี,ผลผลิต(ตัน),จำนวนครัวเรือน,อำเภอ,พื้นที่เก็บเกี่ยว (ไร่)
ข้าวนาปี,79411,1,2566,59558,5129,เมืองเพชรบุรี,79411
ข้าวนาปรัง,58689,2,2566,44037,3925,เมืองเพชรบุรี,58689
อ้อยโรงงาน,0,3,2566,0,0,เมืองเพชรบุรี,0
สับปะรดโรงงาน,0,4,2566,0,0,เมืองเพชรบุรี,0
มะนาว,32,5,2566,24,15,เมืองเพชรบุรี,16
กล้วยหอมทอง,5.25,6,2566,8,4,เมืองเพชรบุรี,4
กล้วยน้ำว้า,229,7,2566,489,128,เมืองเพชรบุรี,229
มะพร้าวแก่,794,8,2566,714,140,เมืองเพชรบุรี,583
ข้าวโพดเลี้ยงสัตว์,0,9,2566,0,0,เมืองเพชรบุรี,0
ชมพู่เพชรสายรุ้ง,81,10,2566,96,90,เมืองเพชรบุรี,81
เกลือสมุทร,896,11,2566,14321,23,เมืองเพชรบุรี,896
ข้าวนาปี,48113,12,2566,32963,2855,เขาย้อย,48113
ข้าวนาปรัง,33438,13,2566,23432,2066,เขาย้อย,33426
อ้อยโรงงาน,876.5,14,2566,148,5,เขาย้อย,18.5
สับปะรดโรงงาน,8,15,2566,16,1,เขาย้อย,8
มะนาว,82,16,2566,94,50,เขาย้อย,63.5
กล้วยหอมทอง,25,17,2566,49,23,เขาย้อย,24
กล้วยน้ำว้า,265.75,18,2566,283,145,เขาย้อย,206.25
มะพร้าวแก่,2146,19,2566,1316,292,เขาย้อย,1763
ข้าวโพดเลี้ยงสัตว์,21,20,2566,12,3,เขาย้อย,21
ชมพู่เพชรสายรุ้ง,0,21,2566,0,0,เขาย้อย,0
เกลือสมุทร,0,22,2566,0,0,เขาย้อย,0
ข้าวนาปี,1567.5,23,2566,959,243,หนองหญ้าปล้อง,1567.5
ข้าวนาปรัง,50,24,2566,34,8,หนองหญ้าปล้อง,50
อ้อยโรงงาน,8872,25,2566,75646,62,หนองหญ้าปล้อง,8872
สับปะรดโรงงาน,15583,26,2566,18161,504,หนองหญ้าปล้อง,5564
มะนาว,2942,27,2566,6546,195,หนองหญ้าปล้อง,2910
