ค่าข้อมูล,ที่มา,_id,ปี,หน่วย,เพศ,ไตรมาส,รายการ,จังหวัด,ชั่วโมงทำงาน/สัปดาห์
364139,สำนักงานสถิติจังหวัดมหาสารคาม,1,2565,คน,รวม,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,รวมยอด
204512,สำนักงานสถิติจังหวัดมหาสารคาม,2,2565,คน,ชาย,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,รวมยอด
159627,สำนักงานสถิติจังหวัดมหาสารคาม,3,2565,คน,หญิง,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,รวมยอด
38523,สำนักงานสถิติจังหวัดมหาสารคาม,4,2565,คน,รวม,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,ไม่ได้ทำงาน
19692,สำนักงานสถิติจังหวัดมหาสารคาม,5,2565,คน,ชาย,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,ไม่ได้ทำงาน
18831,สำนักงานสถิติจังหวัดมหาสารคาม,6,2565,คน,หญิง,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,ไม่ได้ทำงาน
,สำนักงานสถิติจังหวัดมหาสารคาม,7,2565,คน,รวม,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,1 - 9 ชั่วโมง
,สำนักงานสถิติจังหวัดมหาสารคาม,8,2565,คน,ชาย,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,1 - 9 ชั่วโมง
,สำนักงานสถิติจังหวัดมหาสารคาม,9,2565,คน,หญิง,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,1 - 9 ชั่วโมง
4188,สำนักงานสถิติจังหวัดมหาสารคาม,10,2565,คน,รวม,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,10 - 19 ชั่วโมง
1013,สำนักงานสถิติจังหวัดมหาสารคาม,11,2565,คน,ชาย,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,10 - 19 ชั่วโมง
3175,สำนักงานสถิติจังหวัดมหาสารคาม,12,2565,คน,หญิง,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,10 - 19 ชั่วโมง
41358,สำนักงานสถิติจังหวัดมหาสารคาม,13,2565,คน,รวม,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,20 - 29 ชั่วโมง
24923,สำนักงานสถิติจังหวัดมหาสารคาม,14,2565,คน,ชาย,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,20 - 29 ชั่วโมง
16435,สำนักงานสถิติจังหวัดมหาสารคาม,15,2565,คน,หญิง,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,20 - 29 ชั่วโมง
10736,สำนักงานสถิติจังหวัดมหาสารคาม,16,2565,คน,รวม,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,30 - 34 ชั่วโมง
6265,สำนักงานสถิติจังหวัดมหาสารคาม,17,2565,คน,ชาย,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,30 - 34 ชั่วโมง
4471,สำนักงานสถิติจังหวัดมหาสารคาม,18,2565,คน,หญิง,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,30 - 34 ชั่วโมง
56764,สำนักงานสถิติจังหวัดมหาสารคาม,19,2565,คน,รวม,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,35 - 39 ชั่วโมง
26111,สำนักงานสถิติจังหวัดมหาสารคาม,20,2565,คน,ชาย,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,35 - 39 ชั่วโมง
30653,สำนักงานสถิติจังหวัดมหาสารคาม,21,2565,คน,หญิง,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,35 - 39 ชั่วโมง
181013,สำนักงานสถิติจังหวัดมหาสารคาม,22,2565,คน,รวม,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,40 - 49 ชั่วโมง
107822,สำนักงานสถิติจังหวัดมหาสารคาม,23,2565,คน,ชาย,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,40 - 49 ชั่วโมง
73191,สำนักงานสถิติจังหวัดมหาสารคาม,24,2565,คน,หญิง,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,40 - 49 ชั่วโมง
31557,สำนักงานสถิติจังหวัดมหาสารคาม,25,2565,คน,รวม,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,50 ชั่วโมงขึ้นไป
18686,สำนักงานสถิติจังหวัดมหาสารคาม,26,2565,คน,ชาย,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,50 ชั่วโมงขึ้นไป
12871,สำนักงานสถิติจังหวัดมหาสารคาม,27,2565,คน,หญิง,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,50 ชั่วโมงขึ้นไป
369629,สำนักงานสถิติจังหวัดมหาสารคาม,28,2565,คน,รวม,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,รวมยอด
208718,สำนักงานสถิติจังหวัดมหาสารคาม,29,2565,คน,ชาย,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,รวมยอด
160911,สำนักงานสถิติจังหวัดมหาสารคาม,30,2565,คน,หญิง,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,รวมยอด
31472,สำนักงานสถิติจังหวัดมหาสารคาม,31,2565,คน,รวม,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,ไม่ได้ทำงาน
19350,สำนักงานสถิติจังหวัดมหาสารคาม,32,2565,คน,ชาย,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,ไม่ได้ทำงาน
12123,สำนักงานสถิติจังหวัดมหาสารคาม,33,2565,คน,หญิง,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,ไม่ได้ทำงาน
,สำนักงานสถิติจังหวัดมหาสารคาม,34,2565,คน,รวม,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,1 - 9 ชั่วโมง
,สำนักงานสถิติจังหวัดมหาสารคาม,35,2565,คน,ชาย,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,1 - 9 ชั่วโมง
,สำนักงานสถิติจังหวัดมหาสารคาม,36,2565,คน,หญิง,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,1 - 9 ชั่วโมง
2261,สำนักงานสถิติจังหวัดมหาสารคาม,37,2565,คน,รวม,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,10 - 19 ชั่วโมง
1107,สำนักงานสถิติจังหวัดมหาสารคาม,38,2565,คน,ชาย,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,10 - 19 ชั่วโมง
1154,สำนักงานสถิติจังหวัดมหาสารคาม,39,2565,คน,หญิง,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,10 - 19 ชั่วโมง
41783,สำนักงานสถิติจังหวัดมหาสารคาม,40,2565,คน,รวม,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,20 - 29 ชั่วโมง
22593,สำนักงานสถิติจังหวัดมหาสารคาม,41,2565,คน,ชาย,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,20 - 29 ชั่วโมง
19190,สำนักงานสถิติจังหวัดมหาสารคาม,42,2565,คน,หญิง,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,20 - 29 ชั่วโมง
11158,สำนักงานสถิติจังหวัดมหาสารคาม,43,2565,คน,รวม,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,30 - 34 ชั่วโมง
7134,สำนักงานสถิติจังหวัดมหาสารคาม,44,2565,คน,ชาย,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,30 - 34 ชั่วโมง
4024,สำนักงานสถิติจังหวัดมหาสารคาม,45,2565,คน,หญิง,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,30 - 34 ชั่วโมง
67576,สำนักงานสถิติจังหวัดมหาสารคาม,46,2565,คน,รวม,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,35 - 39 ชั่วโมง
30219,สำนักงานสถิติจังหวัดมหาสารคาม,47,2565,คน,ชาย,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,35 - 39 ชั่วโมง
37357,สำนักงานสถิติจังหวัดมหาสารคาม,48,2565,คน,หญิง,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,35 - 39 ชั่วโมง
174194,สำนักงานสถิติจังหวัดมหาสารคาม,49,2565,คน,รวม,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,40 - 49 ชั่วโมง
102842,สำนักงานสถิติจังหวัดมหาสารคาม,50,2565,คน,ชาย,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,40 - 49 ชั่วโมง
71352,สำนักงานสถิติจังหวัดมหาสารคาม,51,2565,คน,หญิง,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,40 - 49 ชั่วโมง
41184,สำนักงานสถิติจังหวัดมหาสารคาม,52,2565,คน,รวม,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,50 ชั่วโมงขึ้นไป
25472,สำนักงานสถิติจังหวัดมหาสารคาม,53,2565,คน,ชาย,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,50 ชั่วโมงขึ้นไป
15712,สำนักงานสถิติจังหวัดมหาสารคาม,54,2565,คน,หญิง,ไตรมาส 2,จำนวนผู้มีงานทำ,มหาสารคาม,50 ชั่วโมงขึ้นไป
405956,สำนักงานสถิติจังหวัดมหาสารคาม,55,2565,คน,รวม,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,รวมยอด
219887,สำนักงานสถิติจังหวัดมหาสารคาม,56,2565,คน,ชาย,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,รวมยอด
186069,สำนักงานสถิติจังหวัดมหาสารคาม,57,2565,คน,หญิง,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,รวมยอด
4143,สำนักงานสถิติจังหวัดมหาสารคาม,58,2565,คน,รวม,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,ไม่ได้ทำงาน
2392,สำนักงานสถิติจังหวัดมหาสารคาม,59,2565,คน,ชาย,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,ไม่ได้ทำงาน
1751,สำนักงานสถิติจังหวัดมหาสารคาม,60,2565,คน,หญิง,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,ไม่ได้ทำงาน
72,สำนักงานสถิติจังหวัดมหาสารคาม,61,2565,คน,รวม,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,1 - 9 ชั่วโมง
,สำนักงานสถิติจังหวัดมหาสารคาม,62,2565,คน,ชาย,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,1 - 9 ชั่วโมง
72,สำนักงานสถิติจังหวัดมหาสารคาม,63,2565,คน,หญิง,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,1 - 9 ชั่วโมง
6262,สำนักงานสถิติจังหวัดมหาสารคาม,64,2565,คน,รวม,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,10 - 19 ชั่วโมง
2751,สำนักงานสถิติจังหวัดมหาสารคาม,65,2565,คน,ชาย,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,10 - 19 ชั่วโมง
3512,สำนักงานสถิติจังหวัดมหาสารคาม,66,2565,คน,หญิง,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,10 - 19 ชั่วโมง
69663,สำนักงานสถิติจังหวัดมหาสารคาม,67,2565,คน,รวม,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,20 - 29 ชั่วโมง
33285,สำนักงานสถิติจังหวัดมหาสารคาม,68,2565,คน,ชาย,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,20 - 29 ชั่วโมง
36378,สำนักงานสถิติจังหวัดมหาสารคาม,69,2565,คน,หญิง,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,20 - 29 ชั่วโมง
32439,สำนักงานสถิติจังหวัดมหาสารคาม,70,2565,คน,รวม,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,30 - 34 ชั่วโมง
17535,สำนักงานสถิติจังหวัดมหาสารคาม,71,2565,คน,ชาย,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,30 - 34 ชั่วโมง
14904,สำนักงานสถิติจังหวัดมหาสารคาม,72,2565,คน,หญิง,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,30 - 34 ชั่วโมง
66603,สำนักงานสถิติจังหวัดมหาสารคาม,73,2565,คน,รวม,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,35 - 39 ชั่วโมง
29822,สำนักงานสถิติจังหวัดมหาสารคาม,74,2565,คน,ชาย,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,35 - 39 ชั่วโมง
36781,สำนักงานสถิติจังหวัดมหาสารคาม,75,2565,คน,หญิง,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,35 - 39 ชั่วโมง
192008,สำนักงานสถิติจังหวัดมหาสารคาม,76,2565,คน,รวม,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,40 - 49 ชั่วโมง
114276,สำนักงานสถิติจังหวัดมหาสารคาม,77,2565,คน,ชาย,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,40 - 49 ชั่วโมง
77733,สำนักงานสถิติจังหวัดมหาสารคาม,78,2565,คน,หญิง,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,40 - 49 ชั่วโมง
34766,สำนักงานสถิติจังหวัดมหาสารคาม,79,2565,คน,รวม,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,50 ชั่วโมงขึ้นไป
19827,สำนักงานสถิติจังหวัดมหาสารคาม,80,2565,คน,ชาย,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,50 ชั่วโมงขึ้นไป
14939,สำนักงานสถิติจังหวัดมหาสารคาม,81,2565,คน,หญิง,ไตรมาส 3,จำนวนผู้มีงานทำ,มหาสารคาม,50 ชั่วโมงขึ้นไป
388721,สำนักงานสถิติจังหวัดมหาสารคาม,82,2565,คน,รวม,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,รวมยอด
