40-49,30-34,10-19,20-29,_id,น้อยกว่า 1 ชั่วโมง,ปี,35-39,เพศ,ไตรมาส,1-9,50 ชั่วโมงขึ้นไป
" 104,860 "," 20,167 "," 24,966 "," 31,494 ",1," 24,767 ",2564," 47,941 ",ชาย,ไตรมาส 1, 713 ," 29,538 "
" 80,656 "," 17,477 "," 18,371 "," 25,977 ",2," 18,717 ",2564," 46,243 ",หญิง,ไตรมาส 1," 1,380 "," 23,359 "
" 111,007 "," 22,774 "," 10,370 "," 51,557 ",3," 3,604 ",2564," 44,294 ",ชาย,ไตรมาส 2, 879 ," 59,612 "
" 97,447 "," 30,840 "," 11,012 "," 49,718 ",4," 7,462 ",2564," 32,805 ",หญิง,ไตรมาส 2," 3,445 "," 31,365 "
" 90,265 "," 40,288 "," 9,952 "," 98,175 ",5, 260 ,2564," 47,614 ",ชาย,ไตรมาส 3," 2,463 "," 16,152 "
" 82,480 "," 35,682 "," 15,034 "," 88,589 ",6," 1,412 ",2564," 41,581 ",หญิง,ไตรมาส 3," 1,555 "," 16,165 "
" 99,825 "," 21,674 "," 11,910 "," 50,597 ",7," 3,949 ",2564," 55,760 ",ชาย,ไตรมาส 4, - ," 53,895 "
" 92,951 "," 19,729 "," 19,588 "," 59,729 ",8," 6,536 ",2564," 46,356 ",หญิง,ไตรมาส 4, - ," 33,882 "
" 101,660 "," 22,048 "," 11,807 "," 53,919 ",9," 13,752 ",2565," 58,045 ",ชาย,ไตรมาส 1, 615 ," 26,497 "
" 76,079 "," 8,391 "," 13,884 "," 47,169 ",10," 8,975 ",2565," 57,804 ",หญิง,ไตรมาส 1, - ," 24,732 "
" 118,614 "," 25,691 "," 9,475 "," 50,357 ",11," 1,891 ",2565," 51,882 ",ชาย,ไตรมาส 2, - ," 38,148 "
" 91,586 "," 23,781 "," 8,753 "," 60,846 ",12," 3,460 ",2565," 46,989 ",หญิง,ไตรมาส 2, 534 ," 32,048 "
" 115,791 "," 21,571 "," 2,006 "," 62,041 ",13, 602 ,2565," 37,255 ",ชาย,ไตรมาส 3, ... ," 52,719 "
" 70,113 "," 22,445 "," 1,439 "," 73,346 ",14, ... ,2565," 36,475 ",หญิง,ไตรมาส 3, ... ," 60,410 "
" 119,397 "," 21,978 "," 1,748 "," 49,362 ",15," 3,877 ",2565," 52,654 ",ชาย,ไตรมาส 4, ... ," 48,152 "
" 96,673 "," 20,873 "," 6,141 "," 38,247 ",16," 3,399 ",2565," 51,174 ",หญิง,ไตรมาส 4, ... ," 37,852 "
" 117,329 "," 18,747 "," 3,534 "," 37,412 ",17," 8,816 ",2566," 63,848 ",ชาย,ไตรมาส 1," 1,880 "," 28,601 "
" 96,685 "," 12,931 "," 9,510 "," 38,111 ",18," 7,919 ",2566," 58,942 ",หญิง,ไตรมาส 1," 2,535 "," 18,324 "
" 130,001 "," 19,866 "," 3,335 "," 49,446 ",19, 114 ,2566," 64,399 ",ชาย,ไตรมาส 2, n.a. ," 34,567 "
" 91,332 "," 25,035 "," 5,198 "," 53,839 ",20, 190 ,2566," 56,443 ",หญิง,ไตรมาส 2, 155 ," 39,046 "
" 112,847 "," 32,495 "," 7,376 "," 49,600 ",21, n.a. ,2566," 56,226 ",ชาย,ไตรมาส 3, 282 ," 33,940 "
" 90,753 "," 30,916 "," 4,394 "," 68,501 ",22, n.a. ,2566," 40,177 ",หญิง,ไตรมาส 3, n.a. ," 30,926 "
" 122,544 "," 18,380 "," 6,914 "," 53,833 ",23, n.a. ,2566," 53,136 ",ชาย,ไตรมาส 4, 934 ," 30,299 "
" 90,080 "," 19,504 "," 12,976 "," 62,772 ",24, 710 ,2566," 46,346 ",หญิง,ไตรมาส 4, 86 ," 26,216 "
" 123,073 "," 16,177 "," 1,478 "," 69,927 ",25, 428 ,2567," 51,325 ",ชาย,ไตรมาส 1," 1,339 "," 31,963 "
" 105,200 "," 28,822 "," 3,490 "," 72,036 ",26, n.a. ,2567," 42,751 ",หญิง,ไตรมาส 1, 118 ," 25,562 "
" 118,442 "," 12,752 "," 2,526 "," 71,763 ",27," 5,600 ",2567," 47,577 ",ชาย,ไตรมาส 2, 79 ," 31,224 "
" 92,264 "," 17,681 "," 5,283 "," 63,346 ",28," 1,191 ",2567," 43,083 ",หญิง,ไตรมาส 2, n.a. ," 37,697 "
" 123,073 "," 16,177 "," 1,478 "," 69,927 ",29, 428 ,2567," 51,325 ",ชาย,ไตรมาส 3," 1,339 "," 31,963 "
" 105,200 "," 28,822 "," 3,490 "," 72,036 ",30, n.a. ,2567," 42,751 ",หญิง,ไตรมาส 3, 118 ," 25,562 "
" 118,442 "," 12,752 "," 2,526 "," 71,763 ",31," 5,600 ",2567," 47,577 ",ชาย,ไตรมาส 4, 79 ," 31,224 "
" 92,264 "," 17,681 "," 5,283 "," 63,346 ",32," 1,191 ",2567," 43,083 ",หญิง,ไตรมาส 4, n.a. ," 37,697 "
" 100,814 "," 20,359 "," 9,507 "," 31,411 ",33," 7,071 ",2568," 80,808 ",หญิง,ไตรมาส 1, n.a. ," 27,480 "
" 109,664 "," 14,401 "," 10,653 "," 25,245 ",34," 5,348 ",2568," 63,533 ",ชาย,ไตรมาส 1, n.a. ," 23,441 "
