มูลค่าผลผลิตรวม,ผลผลิตเฉลี่ย,_id,ปี,ผลผลิต,ราคาเฉลี่ย,พื้นที่เพาะปลูก
4102.82,222,1,2560,62334,65.82,341917
1699.35,206,2,2561,62179,27.33,338597
3398.48,204,3,2562,60488,23.12,337707
2313.09,206,4,2563,59128,39.12,329964
1378.29,221,5,2564,54694,25.2,316473
