_id,รายการข้อมูล,เพศ,ที่มา,จำนวน,หน่วยนับ,พ.ศ,จังหวัด
1,ประชากรจากการทะเบียน,ชาย,ที่ทำการปกครองจังหวัดกาญจนบุรี,"450,262",คน,2562,กาญจนบุรี
2,ประชากรจากการทะเบียน,หญิง,ที่ทำการปกครองจังหวัดกาญจนบุรี,"445,263",คน,2562,กาญจนบุรี
3,ประชากรจากการทะเบียน,ชาย,ที่ทำการปกครองจังหวัดกาญจนบุรี,"447,983",คน,2563,กาญจนบุรี
4,ประชากรจากการทะเบียน,หญิง,ที่ทำการปกครองจังหวัดกาญจนบุรี,"443,993",คน,2563,กาญจนบุรี
5,ประชากรจากการทะเบียน,ชาย,ที่ทำการปกครองจังหวัดกาญจนบุรี,"448,312",คน,2564,กาญจนบุรี
6,ประชากรจากการทะเบียน,หญิง,ที่ทำการปกครองจังหวัดกาญจนบุรี,"445,742",คน,2564,กาญจนบุรี
7,,,,,,,
8,,,,,,,
9,,,,,,,
10,,,,,,,
