จังหวัด,_id,รอบการจัดเก็บข้อมูล,ชื่อโรงงานน้ำดื่ม,อำเภอ,ตำบล,ปีงบประมาณ
ศรีสะเกษ,66,6 เดือน,พริริสา,กันทรารมย์,คำเนียม,2568
ศรีสะเกษ,67,6 เดือน,น้ำดื่มบริโภค บี อาร์ วอเตอร์,กันทรารมย์,หนองบัว,2568
ศรีสะเกษ,68,6 เดือน,ทวีทรัพย์น้ำดื่ม,กันทรลักษ์,กระแชง,2568
ศรีสะเกษ,69,6 เดือน,น้ำดื่มหนึ่งน้ำฟ้า,กันทรลักษ์,กระแชง,2568
ศรีสะเกษ,70,6 เดือน,น้ำดื่มมารวย 999,กันทรลักษ์,กระแชง,2568
ศรีสะเกษ,71,6 เดือน,โรงน้ำดื่มวรรณพร,กันทรลักษ์,กระแชง,2568
ศรีสะเกษ,72,6 เดือน,โรงผลิตน้ำดื่ม ที & เกษจันทร์,กันทรลักษ์,กระแชง,2568
ศรีสะเกษ,73,6 เดือน,น้ำดื่มพลอยชมพู,กันทรลักษ์,เวียงเหนือ,2568
ศรีสะเกษ,74,6 เดือน,เอส เอ็ม อี น้ำดื่ม,กันทรลักษ์,น้ำอ้อม,2568
ศรีสะเกษ,75,6 เดือน,เมืองกันกรุ๊ป,กันทรลักษ์,น้ำอ้อม,2568
ศรีสะเกษ,76,6 เดือน,ร้านเพื่อนธรรมอุทิศ,กันทรลักษ์,น้ำอ้อม,2568
ศรีสะเกษ,77,6 เดือน,โรงน้ำดื่มเอม่า,กันทรลักษ์,น้ำอ้อม,2568
ศรีสะเกษ,78,6 เดือน,เฟรชเมาท์เท่น,กันทรลักษ์,บึงมะลู,2568
ศรีสะเกษ,79,6 เดือน,ร้านทิพย์นิวาส,กันทรลักษ์,บึงมะลู,2568
ศรีสะเกษ,80,6 เดือน,โรงงานน้ำดื่ม บี ที เอส,กันทรลักษ์,หนองหญ้าลาด,2568
ศรีสะเกษ,81,6 เดือน,ร้านเขมจิรา,กันทรลักษ์,หนองหญ้าลาด,2568
ศรีสะเกษ,82,6 เดือน,ธาราไดร์,กันทรลักษ์,หนองหญ้าลาด,2568
ศรีสะเกษ,83,6 เดือน,วิสาหกิจชุมชนเกษตรพอเพียงดงสูงพัฒนา,กันทรลักษ์,หนองหญ้าลาด,2568
ศรีสะเกษ,84,6 เดือน,โรงผลิตน้ำดื่ม กระบี่น้ำทิพย์,กันทรลักษ์,หนองหญ้าลาด,2568
ศรีสะเกษ,85,6 เดือน,ปทุมวาณิช,กันทรลักษ์,เสาธงชัย,2568
ศรีสะเกษ,86,6 เดือน,น้ำดื่มทิพวรรณ,กันทรลักษ์,ภูเงิน,2568
ศรีสะเกษ,87,6 เดือน,น้ำดื่มซิลเวอร์ภู,กันทรลักษ์,ภูเงิน,2568
ศรีสะเกษ,88,6 เดือน,น้ำดื่มตราเมขลา,กันทรลักษ์,ภูเงิน,2568
ศรีสะเกษ,89,6 เดือน,โคกคำ,กันทรลักษ์,ทุ่งใหญ่,2568
ศรีสะเกษ,90,6 เดือน,วิสาหกิจชุมชนเกษตรถินทุ่งใหญ่,กันทรลักษ์,ทุ่งใหญ่,2568
ศรีสะเกษ,91,6 เดือน,โฮมรีเวอร์กรุ๊ป,กันทรลักษ์,จานใหญ่,2568
ศรีสะเกษ,92,6 เดือน,น้ำดื่มแฟมิลี่,กันทรลักษ์,จานใหญ่,2568
ศรีสะเกษ,93,6 เดือน,เอพีไลฟ์,กันทรลักษ์,จานใหญ่,2568
ศรีสะเกษ,94,6 เดือน,น้ำดื่ม 3 ดี วอเตอร์,กันทรลักษ์,ขนุน,2568
ศรีสะเกษ,95,6 เดือน,ห้างหุ้นส่วนจำกัด ทริปเปิ้ล สตาร์ ฟอร์เวิร์ด,กันทรลักษ์,กุดเสลา,2568
ศรีสะเกษ,96,6 เดือน,เสลาวิทย์เฟรช,กันทรลักษ์,กุดเสลา,2568
ศรีสะเกษ,97,6 เดือน,ระนาม วอเตอร์,กันทรลักษ์,กุดเสลา,2568
ศรีสะเกษ,98,6 เดือน,น้ำดื่ม ทิพย์ตะวัน,กันทรลักษ์,สังเม็ก,2568
ศรีสะเกษ,99,6 เดือน,วายุ วอเตอร์,กันทรลักษ์,โนนสำราญ,2568
