จังหวัด,_id,รอบการจัดเก็บข้อมูล,ชื่อโรงงานน้ำดื่ม,อำเภอ,ตำบล,ปีงบประมาณ
ศรีสะเกษ,222,6 เดือน,นวลศิริ,ศรีรัตนะ,ตูม,2568
ศรีสะเกษ,223,6 เดือน,โรงน้ำดื่มมีชีวา,ศรีรัตนะ,ศรีแก้ว,2568
ศรีสะเกษ,224,6 เดือน,น้ำดื่มสกุลทิพย์,ศรีรัตนะ,ศรีแก้ว,2568
ศรีสะเกษ,225,6 เดือน,โรงน้ำดื่ม แอล เอส,ศรีรัตนะ,พิงพวย,2568
ศรีสะเกษ,226,6 เดือน,โรงเรียน เขื่อนช้างวิทยาคาร,น้ำเกลี้ยง,เขิน,2568
ศรีสะเกษ,227,6 เดือน,น้ำดื่มศรีสุข,น้ำเกลี้ยง,เขิน,2568
ศรีสะเกษ,228,6 เดือน,อาลีน้ำดื่ม,น้ำเกลี้ยง,น้ำเกลี้ยง,2568
ศรีสะเกษ,229,6 เดือน,น้ำดื่มนะโม,น้ำเกลี้ยง,ละเอาะ,2568
ศรีสะเกษ,230,6 เดือน,น้ำดื่มเฮียหลี,น้ำเกลี้ยง,ละเอาะ,2568
ศรีสะเกษ,231,6 เดือน,น้ำดื่ม อิมนะ,น้ำเกลี้ยง,คูบ,2568
ศรีสะเกษ,232,6 เดือน,น้ำดื่มศรีหนาจธารา,น้ำเกลี้ยง,ตองปิด,2568
ศรีสะเกษ,233,6 เดือน,น้ำดื่มนารา,วังหิน,ศรีสำราญ,2568
ศรีสะเกษ,234,6 เดือน,น้ำดื่มกนกทิพย์,วังหิน,วังหิน,2568
ศรีสะเกษ,235,6 เดือน,น้ำดื่มเจ้าสัว,วังหิน,ธาตุ,2568
ศรีสะเกษ,236,6 เดือน,โรงน้ำดื่ม เพอร์เฟ็กต์ไลฟ์,วังหิน,บ่อแก้ว,2568
ศรีสะเกษ,237,6 เดือน,โรงน้ำดื่มเกสรน้ำทิพย์,วังหิน,บ่อแก้ว,2568
ศรีสะเกษ,238,6 เดือน,โรงน้ำดื่มบายตึ๊กเจีย,ภูสิงห์,ไพรพัฒนา,2568
ศรีสะเกษ,239,6 เดือน,โรงงานน้ำดื่ม อชิระ,ภูสิงห์,โคกตาล,2568
ศรีสะเกษ,240,6 เดือน,เจซีไลฟ์,ภูสิงห์,ตะเคียนราม,2568
ศรีสะเกษ,241,6 เดือน,ณัฐพลตำหนักทองน้ำดื่ม,ภูสิงห์,ตะเคียนราม,2568
ศรีสะเกษ,242,6 เดือน,บริษัท ศรายุทธ กรุ๊ป จำกัด,ภูสิงห์,ห้วยตึ๊กชู,2568
ศรีสะเกษ,243,6 เดือน,ห้างหุ้นส่วนจำกัด มงคลทิพย์ 2017,เมืองจันทร์,ตาโกน,2568
ศรีสะเกษ,244,6 เดือน,ไอน้ำ วอเตอร์,เมืองจันทร์,หนองใหญ่,2568
ศรีสะเกษ,245,6 เดือน,โรงน้ำดื่ม ทรัพย์บุญมี,เบญจลักษ์,เสียว,2568
ศรีสะเกษ,246,6 เดือน,เบญจลักษ์น้ำดื่ม,เบญจลักษ์,เสียว,2568
ศรีสะเกษ,247,6 เดือน,โรงเรียนเบญจลักษ์พิทยา,เบญจลักษ์,เสียว,2568
ศรีสะเกษ,248,6 เดือน,น้ำดื่มจ๋า,เบญจลักษ์,หนองฮาง,2568
ศรีสะเกษ,249,6 เดือน,น้ำดื่ม ตรา มนตรี,เบญจลักษ์,หนองฮาง,2568
ศรีสะเกษ,250,6 เดือน,โรงน้ำดื่ม ปลายหมอก,เบญจลักษ์,หนองหว้า,2568
ศรีสะเกษ,251,6 เดือน,น้ำดื่มมิ้งค์,พยุห์,พยุห์,2568
ศรีสะเกษ,252,6 เดือน,โด โด้ อินเตอร์ฟูดส์,พยุห์,พยุห์,2568
ศรีสะเกษ,253,6 เดือน,น้ำดื่มโรงเรียนอนุบาลพยุห์,พยุห์,พยุห์,2568
ศรีสะเกษ,254,6 เดือน,น้ำดื่มเจริญสิน,พยุห์,พยุห์,2568
ศรีสะเกษ,255,6 เดือน,โรงผลิตน้ำประชาราษฎร์,พยุห์,พรหมสวัสดิ์,2568
ศรีสะเกษ,256,6 เดือน,คูล สปริง,พยุห์,พรหมสวัสดิ์,2568
ศรีสะเกษ,257,6 เดือน,น้ำดื่ม เพชรไพร,พยุห์,หนองค้า,2568
ศรีสะเกษ,258,6 เดือน,โรงน้ำดื่มบ้านก่อ,โพธิ์ศรีสุวรรณ,ผือใหญ่,2568
ศรีสะเกษ,259,6 เดือน,ผือใหญ่วอเตอร์,โพธิ์ศรีสุวรรณ,ผือใหญ่,2568
ศรีสะเกษ,260,6 เดือน,น้ำดื่มพันพินิจ,โพธิ์ศรีสุวรรณ,โดด,2568
ศรีสะเกษ,261,6 เดือน,น้ำดื่มศิลาทิพย์,ศิลาลาด,กุง,2568
ศรีสะเกษ,262,6 เดือน,โรงน้ำดื่มพรพิไลจิต,ศิลาลาด,กุง,2568
