กำลังแรงงาน,_id,ปี,ไตรมาส,ประชากรอายุ 15 ปี ขึ้นไป
525807.87,1,2564,ไตรมาส 1,811197
574602.23,2,2564,ไตรมาส 2,811221
597285,3,2564,ไตรมาส 3,"811,202"
579010,4,2564,ไตรมาส 4,"810,991"
533747.9,5,2565,ไตรมาส 1,766698
571167,6,2565,ไตรมาส 2,"765,180"
564567,7,2565,ไตรมาส 3,763636
558976.69,8,2565,ไตรมาส 4,761956
534553,9,2566,ไตรมาส 1,"760,348"
579286,10,2566,ไตรมาส 2,"758,815"
560501,11,2566,ไตรมาส 3,"757,247"
546799,12,2566,ไตรมาส 4,"755,528"
514049,13,2567,ไตรมาส 1,753886
533297,14,2567,ไตรมาส 2,"752,308"
575985,15,2567,ไตรมาส 3,"750,683"
551210,16,2567,ไตรมาส 4,"748,911"
534988,17,2568,ไตรมาส 1,"747,199"
