จำนวน,_id,การถือครอง,หน่วย,สถานะ,ปี พ.ศ.,วัตถุประสงค์,อาชีพ
" 44,598 ",28,-,บาท,ลูกจ้าง,2566,ใช้ในการทำธุรกิจ,เสมียน พนักงานขาย และให้บริการ
" 113,414 ",29,-,บาท,ลูกจ้าง,2566,ใช้ในการทำธุรกิจ,ผู้ปฏิบัติงานในกระบวนการผลิตก่อสร้าง และเหมืองแร่
" 319,332 ",30,-,บาท,ผู้ไม่ได้ปฏิบัติงานเชิงเศรษฐกิจ,2566,ใช้ในการทำธุรกิจ,-
" 4,495 ",31,เจ้าของที่ดิน,บาท,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,2566,ใช้ในการทำเกษตร,ปลูกพืช/เลี้ยงสัตว์/เพาะเลี้ยง
 -   ,32,เช่าที่ดิน/ทำฟรี,บาท,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,2566,ใช้ในการทำเกษตร,ปลูกพืช/เลี้ยงสัตว์/เพาะเลี้ยง
" 7,677 ",33,-,บาท,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,2566,ใช้ในการทำเกษตร,ประมง ป่าไม้ ล่าสัตว์ หาของป่า บริการทางการเกษตร
" 167,196 ",34,-,บาท,ผู้ประกอบธุรกิจของตนเองที่ไม่ใช่การเกษตร,2566,ใช้ในการทำเกษตร,-
 2 ,35,-,บาท,ลูกจ้าง,2566,ใช้ในการทำเกษตร,ผู้จัดการ นักวิชาการ และผู้ปฏิบัติงานวิชาชีพ
 -   ,36,-,บาท,ลูกจ้าง,2566,ใช้ในการทำเกษตร,คนงานเกษตร ป่าไม้ และประมง
" 25,311 ",37,-,บาท,ลูกจ้าง,2566,ใช้ในการทำเกษตร,คนงานด้านการขนส่ง และงานพื้นฐาน
 -   ,38,-,บาท,ลูกจ้าง,2566,ใช้ในการทำเกษตร,เสมียน พนักงานขาย และให้บริการ
 120 ,39,-,บาท,ลูกจ้าง,2566,ใช้ในการทำเกษตร,ผู้ปฏิบัติงานในกระบวนการผลิตก่อสร้าง และเหมืองแร่
" 4,086 ",40,-,บาท,ผู้ไม่ได้ปฏิบัติงานเชิงเศรษฐกิจ,2566,ใช้ในการทำเกษตร,-
" 118,589 ",41,เจ้าของที่ดิน,บาท,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,2566,หนี้อื่น ๆ,ปลูกพืช/เลี้ยงสัตว์/เพาะเลี้ยง
" 101,817 ",42,เช่าที่ดิน/ทำฟรี,บาท,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,2566,หนี้อื่น ๆ,ปลูกพืช/เลี้ยงสัตว์/เพาะเลี้ยง
" 31,188 ",43,-,บาท,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,2566,หนี้อื่น ๆ,ประมง ป่าไม้ ล่าสัตว์ หาของป่า บริการทางการเกษตร
" 46,992 ",44,-,บาท,ผู้ประกอบธุรกิจของตนเองที่ไม่ใช่การเกษตร,2566,หนี้อื่น ๆ,-
" 19,445 ",45,-,บาท,ลูกจ้าง,2566,หนี้อื่น ๆ,ผู้จัดการ นักวิชาการ และผู้ปฏิบัติงานวิชาชีพ
 -   ,46,-,บาท,ลูกจ้าง,2566,หนี้อื่น ๆ,คนงานเกษตร ป่าไม้ และประมง
" 5,841 ",47,-,บาท,ลูกจ้าง,2566,หนี้อื่น ๆ,คนงานด้านการขนส่ง และงานพื้นฐาน
" 32,846 ",48,-,บาท,ลูกจ้าง,2566,หนี้อื่น ๆ,เสมียน พนักงานขาย และให้บริการ
" 6,079 ",49,-,บาท,ลูกจ้าง,2566,หนี้อื่น ๆ,ผู้ปฏิบัติงานในกระบวนการผลิตก่อสร้าง และเหมืองแร่
" 98,092 ",50,-,บาท,ผู้ไม่ได้ปฏิบัติงานเชิงเศรษฐกิจ,2566,หนี้อื่น ๆ,-
" 187,080 ",51,เจ้าของที่ดิน,บาท,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,2566,หนี้ในระบบ,ปลูกพืช/เลี้ยงสัตว์/เพาะเลี้ยง
" 118,293 ",52,เช่าที่ดิน/ทำฟรี,บาท,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,2566,หนี้ในระบบ,ปลูกพืช/เลี้ยงสัตว์/เพาะเลี้ยง
" 87,664 ",53,-,บาท,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,2566,หนี้ในระบบ,ประมง ป่าไม้ ล่าสัตว์ หาของป่า บริการทางการเกษตร
" 432,252 ",54,-,บาท,ผู้ประกอบธุรกิจของตนเองที่ไม่ใช่การเกษตร,2566,หนี้ในระบบ,-
" 929,888 ",55,-,บาท,ลูกจ้าง,2566,หนี้ในระบบ,ผู้จัดการ นักวิชาการ และผู้ปฏิบัติงานวิชาชีพ
 -   ,56,-,บาท,ลูกจ้าง,2566,หนี้ในระบบ,คนงานเกษตร ป่าไม้ และประมง
" 307,826 ",57,-,บาท,ลูกจ้าง,2566,หนี้ในระบบ,คนงานด้านการขนส่ง และงานพื้นฐาน
" 142,992 ",58,-,บาท,ลูกจ้าง,2566,หนี้ในระบบ,เสมียน พนักงานขาย และให้บริการ
" 315,944 ",59,-,บาท,ลูกจ้าง,2566,หนี้ในระบบ,ผู้ปฏิบัติงานในกระบวนการผลิตก่อสร้าง และเหมืองแร่
" 544,848 ",60,-,บาท,ผู้ไม่ได้ปฏิบัติงานเชิงเศรษฐกิจ,2566,หนี้ในระบบ,-
" 1,650 ",61,เจ้าของที่ดิน,บาท,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,2566,หนี้นอกระบบ,ปลูกพืช/เลี้ยงสัตว์/เพาะเลี้ยง
 -   ,62,เช่าที่ดิน/ทำฟรี,บาท,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,2566,หนี้นอกระบบ,ปลูกพืช/เลี้ยงสัตว์/เพาะเลี้ยง
" 1,854 ",63,-,บาท,ผู้ถือครองทำการเกษตร/เพาะเลี้ยง,2566,หนี้นอกระบบ,ประมง ป่าไม้ ล่าสัตว์ หาของป่า บริการทางการเกษตร
" 1,712 ",64,-,บาท,ผู้ประกอบธุรกิจของตนเองที่ไม่ใช่การเกษตร,2566,หนี้นอกระบบ,-
 -   ,65,-,บาท,ลูกจ้าง,2566,หนี้นอกระบบ,ผู้จัดการ นักวิชาการ และผู้ปฏิบัติงานวิชาชีพ
 -   ,66,-,บาท,ลูกจ้าง,2566,หนี้นอกระบบ,คนงานเกษตร ป่าไม้ และประมง
 -   ,67,-,บาท,ลูกจ้าง,2566,หนี้นอกระบบ,คนงานด้านการขนส่ง และงานพื้นฐาน
 458 ,68,-,บาท,ลูกจ้าง,2566,หนี้นอกระบบ,เสมียน พนักงานขาย และให้บริการ
" 1,882 ",69,-,บาท,ลูกจ้าง,2566,หนี้นอกระบบ,ผู้ปฏิบัติงานในกระบวนการผลิตก่อสร้าง และเหมืองแร่
 -   ,70,-,บาท,ผู้ไม่ได้ปฏิบัติงานเชิงเศรษฐกิจ,2566,หนี้นอกระบบ,-
