ไตรมาส 4,ไตรมาส 1,สถานภาพแรงงาน,_id,ปี,ไตรมาส 3,ไตรมาส 2,เพศ,รายการ,จังหวัด
" 429,280 "," 423,829 ",กำลังแรงงานรวม,1,2565," 442,681 "," 440,133 ",รวม,กำลังแรงงาน,สระบุรี
" 237,619 "," 233,279 ",กำลังแรงงานรวม,2,2565," 241,977 "," 242,745 ",ชาย                         ,กำลังแรงงาน,สระบุรี
" 191,661 "," 190,550 ",กำลังแรงงานรวม,3,2565," 200,704 "," 197,388 ",หญิง                        ,กำลังแรงงาน,สระบุรี
" 422,594 "," 414,602 ",ผู้มีงานทำ,4,2565," 431,705 "," 427,216 ",รวม,กำลังแรงงาน,สระบุรี
" 232,578 "," 226,465 ",ผู้มีงานทำ,5,2565," 235,210 "," 234,705 ",ชาย                         ,กำลังแรงงาน,สระบุรี
" 190,016 "," 188,137 ",ผู้มีงานทำ,6,2565," 196,495 "," 192,511 ",หญิง                        ,กำลังแรงงาน,สระบุรี
" 5,959 "," 9,227 ",ผู้ว่างงาน,7,2565," 10,975 "," 12,917 ",รวม,กำลังแรงงาน,สระบุรี
" 4,729 "," 6,814 ",ผู้ว่างงาน,8,2565," 6,767 "," 8,040 ",ชาย                         ,กำลังแรงงาน,สระบุรี
" 1,230 "," 2,413 ",ผู้ว่างงาน,9,2565," 4,209 "," 4,877 ",หญิง                        ,กำลังแรงงาน,สระบุรี
 727 ,,รอฤดูกาล,10,2565,,,รวม,กำลังแรงงาน,สระบุรี
 312 ,,รอฤดูกาล,11,2565,,,ชาย                         ,กำลังแรงงาน,สระบุรี
 415 ,,รอฤดูกาล,12,2565,,,หญิง                        ,กำลังแรงงาน,สระบุรี
" 224,396 "," 227,320 ",ผู้ไม่อยู่ในกำลังแรงงานรวม,13,2565," 210,123 "," 211,829 ",รวม,ผู้ไม่อยู่ในกำลังแรงงาน,สระบุรี
" 79,155 "," 82,075 ",ผู้ไม่อยู่ในกำลังแรงงานรวม,14,2565," 74,304 "," 73,066 ",ชาย                         ,ผู้ไม่อยู่ในกำลังแรงงาน,สระบุรี
" 145,241 "," 145,245 ",ผู้ไม่อยู่ในกำลังแรงงานรวม,15,2565," 135,819 "," 138,763 ",หญิง                        ,ผู้ไม่อยู่ในกำลังแรงงาน,สระบุรี
" 62,663 "," 71,591 ",ทำงานบ้าน,16,2565," 54,867 "," 66,748 ",รวม,ผู้ไม่อยู่ในกำลังแรงงาน,สระบุรี
" 3,757 "," 4,646 ",ทำงานบ้าน,17,2565," 5,147 "," 4,617 ",ชาย                         ,ผู้ไม่อยู่ในกำลังแรงงาน,สระบุรี
