เดือน,จำนวน,ที่มา,จังหวัด,_id,ข้อมูล,ปีงบประมาณ,หน่วย
ตุลาคม,0,สำนักงานสวัสดิการและคุ้มครองแรงงานจังหวัดบุรีรัมย์,บุรีรัมย์,1,การตรวจประเมินสถานประกอบกิจการจนกระทั่งผ่านเกณฑ์โครงการโรงงานสีขาว,2567,แห่ง
พฤศจิกายน,0,สำนักงานสวัสดิการและคุ้มครองแรงงานจังหวัดบุรีรัมย์,บุรีรัมย์,2,การตรวจประเมินสถานประกอบกิจการจนกระทั่งผ่านเกณฑ์โครงการโรงงานสีขาว,2567,แห่ง
ธันวาคม,0,สำนักงานสวัสดิการและคุ้มครองแรงงานจังหวัดบุรีรัมย์,บุรีรัมย์,3,การตรวจประเมินสถานประกอบกิจการจนกระทั่งผ่านเกณฑ์โครงการโรงงานสีขาว,2567,แห่ง
มกราคม,0,สำนักงานสวัสดิการและคุ้มครองแรงงานจังหวัดบุรีรัมย์,บุรีรัมย์,4,การตรวจประเมินสถานประกอบกิจการจนกระทั่งผ่านเกณฑ์โครงการโรงงานสีขาว,2567,แห่ง
กุมภาพันธ์,0,สำนักงานสวัสดิการและคุ้มครองแรงงานจังหวัดบุรีรัมย์,บุรีรัมย์,5,การตรวจประเมินสถานประกอบกิจการจนกระทั่งผ่านเกณฑ์โครงการโรงงานสีขาว,2567,แห่ง
มีนาคม,12,สำนักงานสวัสดิการและคุ้มครองแรงงานจังหวัดบุรีรัมย์,บุรีรัมย์,6,การตรวจประเมินสถานประกอบกิจการจนกระทั่งผ่านเกณฑ์โครงการโรงงานสีขาว,2567,แห่ง
เมษายน,14,สำนักงานสวัสดิการและคุ้มครองแรงงานจังหวัดบุรีรัมย์,บุรีรัมย์,7,การตรวจประเมินสถานประกอบกิจการจนกระทั่งผ่านเกณฑ์โครงการโรงงานสีขาว,2567,แห่ง
พฤษภาคม,16,สำนักงานสวัสดิการและคุ้มครองแรงงานจังหวัดบุรีรัมย์,บุรีรัมย์,8,การตรวจประเมินสถานประกอบกิจการจนกระทั่งผ่านเกณฑ์โครงการโรงงานสีขาว,2567,แห่ง
มิถุนายน,16,สำนักงานสวัสดิการและคุ้มครองแรงงานจังหวัดบุรีรัมย์,บุรีรัมย์,9,การตรวจประเมินสถานประกอบกิจการจนกระทั่งผ่านเกณฑ์โครงการโรงงานสีขาว,2567,แห่ง
กรกฎาคม,16,สำนักงานสวัสดิการและคุ้มครองแรงงานจังหวัดบุรีรัมย์,บุรีรัมย์,10,การตรวจประเมินสถานประกอบกิจการจนกระทั่งผ่านเกณฑ์โครงการโรงงานสีขาว,2567,แห่ง
สิงหาคม,16,สำนักงานสวัสดิการและคุ้มครองแรงงานจังหวัดบุรีรัมย์,บุรีรัมย์,11,การตรวจประเมินสถานประกอบกิจการจนกระทั่งผ่านเกณฑ์โครงการโรงงานสีขาว,2567,แห่ง
กันยายน,16,สำนักงานสวัสดิการและคุ้มครองแรงงานจังหวัดบุรีรัมย์,บุรีรัมย์,12,การตรวจประเมินสถานประกอบกิจการจนกระทั่งผ่านเกณฑ์โครงการโรงงานสีขาว,2567,แห่ง
ตุลาคม,0,สำนักงานสวัสดิการและคุ้มครองแรงงานจังหวัดบุรีรัมย์,บุรีรัมย์,13,การตรวจประเมินสถานประกอบกิจการจนกระทั่งผ่านเกณฑ์โครงการโรงงานสีขาว,2568,แห่ง
พฤศจิกายน,0,สำนักงานสวัสดิการและคุ้มครองแรงงานจังหวัดบุรีรัมย์,บุรีรัมย์,14,การตรวจประเมินสถานประกอบกิจการจนกระทั่งผ่านเกณฑ์โครงการโรงงานสีขาว,2568,แห่ง
ธันวาคม,0,สำนักงานสวัสดิการและคุ้มครองแรงงานจังหวัดบุรีรัมย์,บุรีรัมย์,15,การตรวจประเมินสถานประกอบกิจการจนกระทั่งผ่านเกณฑ์โครงการโรงงานสีขาว,2568,แห่ง
มกราคม,0,สำนักงานสวัสดิการและคุ้มครองแรงงานจังหวัดบุรีรัมย์,บุรีรัมย์,16,การตรวจประเมินสถานประกอบกิจการจนกระทั่งผ่านเกณฑ์โครงการโรงงานสีขาว,2568,แห่ง
