year,_id,value,unit
2555,1,513004,ราย
2556,2,483837,ราย
2557,3,368884,ราย
2558,4,340038,ราย
2559,5,386846,ราย
2560,6,378050,ราย
2561,7,404955,ราย
2562,8,392307,ราย
2563,9,345012,ราย
2564,10,344642,ราย
2565,11,317565,ราย
2566,12,402819,ราย
