กำลังการผลิต,_id,อำเภอ,ตำบล,รายชื่อ,ประเภท
ทุเรียนอบ 1 ตัน,1,เขาสมิง,วังตะเคียน,บริษัท ผลอำไพ ฟรุตตี้ไทย จำกัด,แปรรูปผลไม้
"ทุเรียนกวน   2 ตัน,ทุเรียนทอด    30 ตัน",2,เขาสมิง,เขาสมิง,บริษัท ซีที ฟรุ๊ต แฟคตอรี่ แอนด์ฟาร์ม จำกัด,ผลิตทุเรียนกวนและทุเรียนทอด
เนื้อทุเรียน 240 ตัน,3,เขาสมิง,สะตอ,บริษัท เอ็ม.พี.โฟรเซ่น จำกัด,ห้องเย็นผลิตเก็บผักและผลไม้แช่แข็ง
เนื้อทุเรียนแช่แข็ง 300 ตัน,4,เมืองตราด,หนองโสน,บริษัท โคลเวอร์ ลีฟ พลัส จำกัด,โรงงานห้องเย็น
เนื้อทุเรียนแช่แข็ง 300 ตัน,5,เขาสมิง,แสนตุ้ง,บริษัท เอสเค.โฟรเซน แอนด์ ฟรีซ ดราย จำกัด,โรงงานห้องเย็น
"เนื้อทุเรียน 4,500 ตัน",6,เขาสมิง,แสนตุ้ง,ห้างหุ้นส่วนจำกัด บ้านสวนตราด,โรงงานห้องเย็น
ทุเรียนแช่แข็ง 200 ตัน,7,เขาสมิง,ทุ่งนนทรี,บริษัท  กีรวรรณทุเรียนไทย จำกัด,โรงงานห้องเย็น
