มูลค่าผลผลิตรวม,ชนิดพืช,_id,ผลผลิตเฉลี่ย,ผลผลิต,ชนิดพืช/ปี พ.ศ.,ราคาเฉลี่ย,พื้นที่เพาะปลูก
48.44,สับปะรดโรงงาน,1,3682,19378,สับปะรดโรงงาน/2560,2.5,5760
59.77,สับปะรดโรงงาน,2,3837,18621,สับปะรดโรงงาน/2561,3.21,4919
66.57,สับปะรดโรงงาน,3,3605,20739,สับปะรดโรงงาน/2562,3.23,6239
170.94,สับปะรดโรงงาน,4,3307,18263,สับปะรดโรงงาน/2563,9.36,5698
82.57,สับปะรดโรงงาน,5,3164,13426,สับปะรดโรงงาน/2564,6.15,5738
