เดือน,จำนวนโรงงาน,ที่มา,_id,ปี,อำเภอ,จังหวัด,หน่วย
รวม,158,สนง.อุตสาหกรรมจังหวัดนราธิวาส,1,2563,รวม,นราธิวาส,โรงงาน
รวม,163,สนง.อุตสาหกรรมจังหวัดนราธิวาส,2,2564,รวม,นราธิวาส,โรงงาน
รวม,172,สนง.อุตสาหกรรมจังหวัดนราธิวาส,3,2565,รวม,นราธิวาส,โรงงาน
รวม,174,สนง.อุตสาหกรรมจังหวัดนราธิวาส,4,2566,รวม,นราธิวาส,โรงงาน
รวม,177,สนง.อุตสาหกรรมจังหวัดนราธิวาส,5,2567,รวม,นราธิวาส,โรงงาน
รวม,194,สนง.อุตสาหกรรมจังหวัดนราธิวาส,6,2568,รวม,นราธิวาส,โรงงาน
รวม,53,สนง.อุตสาหกรรมจังหวัดนราธิวาส,7,2566,เมือง,นราธิวาส,โรงงาน
รวม,14,สนง.อุตสาหกรรมจังหวัดนราธิวาส,8,2566,ยี่งอ,นราธิวาส,โรงงาน
รวม,2,สนง.อุตสาหกรรมจังหวัดนราธิวาส,9,2566,บาเจาะ,นราธิวาส,โรงงาน
รวม,5,สนง.อุตสาหกรรมจังหวัดนราธิวาส,10,2566,สุไหงปาดี,นราธิวาส,โรงงาน
รวม,27,สนง.อุตสาหกรรมจังหวัดนราธิวาส,11,2566,สไหง-โกลก,นราธิวาส,โรงงาน
รวม,4,สนง.อุตสาหกรรมจังหวัดนราธิวาส,12,2566,เจาะไอร้อง,นราธิวาส,โรงงาน
รวม,10,สนง.อุตสาหกรรมจังหวัดนราธิวาส,13,2566,แว้ง,นราธิวาส,โรงงาน
รวม,0,สนง.อุตสาหกรรมจังหวัดนราธิวาส,14,2566,สุคีริน,นราธิวาส,โรงงาน
รวม,18,สนง.อุตสาหกรรมจังหวัดนราธิวาส,15,2566,ระแงะ,นราธิวาส,โรงงาน
รวม,5,สนง.อุตสาหกรรมจังหวัดนราธิวาส,16,2566,จะแนะ,นราธิวาส,โรงงาน
รวม,7,สนง.อุตสาหกรรมจังหวัดนราธิวาส,17,2566,ศรีสาคร,นราธิวาส,โรงงาน
รวม,13,สนง.อุตสาหกรรมจังหวัดนราธิวาส,18,2566,รือเสาะ,นราธิวาส,โรงงาน
รวม,16,สนง.อุตสาหกรรมจังหวัดนราธิวาส,19,2566,ตากใบ,นราธิวาส,โรงงาน
รวม,53,สนง.อุตสาหกรรมจังหวัดนราธิวาส,20,2567,เมือง,นราธิวาส,โรงงาน
รวม,15,สนง.อุตสาหกรรมจังหวัดนราธิวาส,21,2567,ยี่งอ,นราธิวาส,โรงงาน
รวม,2,สนง.อุตสาหกรรมจังหวัดนราธิวาส,22,2567,บาเจาะ,นราธิวาส,โรงงาน
รวม,5,สนง.อุตสาหกรรมจังหวัดนราธิวาส,23,2567,สุไหงปาดี,นราธิวาส,โรงงาน
รวม,28,สนง.อุตสาหกรรมจังหวัดนราธิวาส,24,2567,สไหง-โกลก,นราธิวาส,โรงงาน
รวม,4,สนง.อุตสาหกรรมจังหวัดนราธิวาส,25,2567,เจาะไอร้อง,นราธิวาส,โรงงาน
รวม,10,สนง.อุตสาหกรรมจังหวัดนราธิวาส,26,2567,แว้ง,นราธิวาส,โรงงาน
รวม,0,สนง.อุตสาหกรรมจังหวัดนราธิวาส,27,2567,สุคีริน,นราธิวาส,โรงงาน
รวม,18,สนง.อุตสาหกรรมจังหวัดนราธิวาส,28,2567,ระแงะ,นราธิวาส,โรงงาน
รวม,5,สนง.อุตสาหกรรมจังหวัดนราธิวาส,29,2567,จะแนะ,นราธิวาส,โรงงาน
รวม,7,สนง.อุตสาหกรรมจังหวัดนราธิวาส,30,2567,ศรีสาคร,นราธิวาส,โรงงาน
รวม,13,สนง.อุตสาหกรรมจังหวัดนราธิวาส,31,2567,รือเสาะ,นราธิวาส,โรงงาน
