เดือน,จำนวน,_id,ปี พ.ศ.,ประเภทรถ,ประเภทกฏหมาย
เมษายน,49588,1,2565,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
เมษายน,1213,2,2565,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,รถยนต์
เมษายน,18507,3,2565,รย. 3 รถยนต์บรรทุกส่วนบุคคล,รถยนต์
เมษายน,2,4,2565,รย. 4 รถยนต์สามล้อส่วนบุคคล,รถยนต์
เมษายน,68,5,2565,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,รถยนต์
เมษายน,9,6,2565,รย. 8 รถยนต์รับจ้างสามล้อ,รถยนต์
เมษายน,3,7,2565,รย. 9 รถยนต์บริการธุรกิจ,รถยนต์
เมษายน,7,8,2565,รย. 10 รถยนต์บริการทัศนาจร,รถยนต์
เมษายน,134512,9,2565,รย. 12 รถจักรยานยนต์,รถยนต์
เมษายน,5395,10,2565,รย. 13 รถแทร็กเตอร์,รถยนต์
เมษายน,67,11,2565,รย. 14 รถบดถนน,รถยนต์
เมษายน,34,12,2565,รย. 15 รถใช้ในงานเกษตรกรรม,รถยนต์
เมษายน,88,13,2565,รย. 16 รถพ่วง,รถยนต์
เมษายน,69,14,2565,รย. 17 รถจักรยานยนต์สาธารณะ,รถยนต์
เมษายน,47,15,2565,รถโดยสารประจำทาง,รถขนส่ง
เมษายน,161,16,2565,รถโดยสารไม่ประจำทาง,รถขนส่ง
เมษายน,31,17,2565,รถโดยสารส่วนบุคคล,รถขนส่ง
เมษายน,2918,18,2565,รถบรรทุกไม่ประจำทาง,รถขนส่ง
เมษายน,3186,19,2565,รถบรรทุกส่วนบุคคล,รถขนส่ง
