_id,ปี,ปริมาณผลผลิตข้าวโพด,เดือน,หน่วย
1,2568,"13,046.0 ",มกราคม,ตัน
2,2568,"164,748.0 ",กุมภาพันธ์,ตัน
3,2568,"60,094.0 ",มีนาคม,ตัน
4,2568,"14,892.0 ",เมษายน,ตัน
5,2568,"7,997.0 ",พฤษภาคม,ตัน
6,2568,"6,481.0 ",มิถุนายน,ตัน
7,2568,"17,134.0 ",กรกฎาคม,ตัน
8,2568,"41,385.0 ",สิงหาคม,ตัน
9,2568,"150,139.0 ",กันยายน,ตัน
10,2568,"68,200.0 ",ตุลาคม,ตัน
11,2568,"210,160.0 ",พฤศจิกายน,ตัน
12,2568,"20,816.0 ",ธันวาคม,ตัน
