WORK_STATUS,VALUE,SOURCE,_id,UNIT,YEAR
นายจ้าง,20.92,สำนักงานสถิติแห่งชาติ,1,พันคน,2556
ลูกจ้างรัฐบาล,85.33,สำนักงานสถิติแห่งชาติ,2,พันคน,2556
ลูกจ้างเอกชน,341.01,สำนักงานสถิติแห่งชาติ,3,พันคน,2556
ทํางานส่วนตัว,111.34,สำนักงานสถิติแห่งชาติ,4,พันคน,2556
ช่วยธุรกิจครัวเรือน,11.89,สำนักงานสถิติแห่งชาติ,5,พันคน,2556
การรวมกลุ่ม,0.17,สำนักงานสถิติแห่งชาติ,6,พันคน,2556
นายจ้าง,9.33,สำนักงานสถิติแห่งชาติ,7,พันคน,2557
ลูกจ้างรัฐบาล,49.3,สำนักงานสถิติแห่งชาติ,8,พันคน,2557
ลูกจ้างเอกชน,208.85,สำนักงานสถิติแห่งชาติ,9,พันคน,2557
ทํางานส่วนตัว,64.46,สำนักงานสถิติแห่งชาติ,10,พันคน,2557
ช่วยธุรกิจครัวเรือน,5.69,สำนักงานสถิติแห่งชาติ,11,พันคน,2557
การรวมกลุ่ม,0.06,สำนักงานสถิติแห่งชาติ,12,พันคน,2557
นายจ้าง,6.2,สำนักงานสถิติแห่งชาติ,13,พันคน,2558
ลูกจ้างรัฐบาล,51.98,สำนักงานสถิติแห่งชาติ,14,พันคน,2558
ลูกจ้างเอกชน,221.21,สำนักงานสถิติแห่งชาติ,15,พันคน,2558
ทํางานส่วนตัว,77.5,สำนักงานสถิติแห่งชาติ,16,พันคน,2558
ช่วยธุรกิจครัวเรือน,7.58,สำนักงานสถิติแห่งชาติ,17,พันคน,2558
นายจ้าง,10.43,สำนักงานสถิติแห่งชาติ,18,พันคน,2559
ลูกจ้างรัฐบาล,42.45,สำนักงานสถิติแห่งชาติ,19,พันคน,2559
ลูกจ้างเอกชน,222.16,สำนักงานสถิติแห่งชาติ,20,พันคน,2559
ทํางานส่วนตัว,88.85,สำนักงานสถิติแห่งชาติ,21,พันคน,2559
ช่วยธุรกิจครัวเรือน,10.79,สำนักงานสถิติแห่งชาติ,22,พันคน,2559
การรวมกลุ่ม,0.4,สำนักงานสถิติแห่งชาติ,23,พันคน,2559
นายจ้าง,10.24,สำนักงานสถิติแห่งชาติ,24,พันคน,2560
ลูกจ้างรัฐบาล,46.25,สำนักงานสถิติแห่งชาติ,25,พันคน,2560
ลูกจ้างเอกชน,227.64,สำนักงานสถิติแห่งชาติ,26,พันคน,2560
ทํางานส่วนตัว,92.52,สำนักงานสถิติแห่งชาติ,27,พันคน,2560
ช่วยธุรกิจครัวเรือน,9.66,สำนักงานสถิติแห่งชาติ,28,พันคน,2560
นายจ้าง,8.94,สำนักงานสถิติแห่งชาติ,29,พันคน,2561
ลูกจ้างรัฐบาล,51.66,สำนักงานสถิติแห่งชาติ,30,พันคน,2561
ลูกจ้างเอกชน,229.39,สำนักงานสถิติแห่งชาติ,31,พันคน,2561
ทํางานส่วนตัว,112.97,สำนักงานสถิติแห่งชาติ,32,พันคน,2561
ช่วยธุรกิจครัวเรือน,12.58,สำนักงานสถิติแห่งชาติ,33,พันคน,2561
การรวมกลุ่ม,0.08,สำนักงานสถิติแห่งชาติ,34,พันคน,2561
นายจ้าง,5.69,สำนักงานสถิติแห่งชาติ,35,พันคน,2562
ลูกจ้างรัฐบาล,45.1,สำนักงานสถิติแห่งชาติ,36,พันคน,2562
ลูกจ้างเอกชน,245.79,สำนักงานสถิติแห่งชาติ,37,พันคน,2562
ทํางานส่วนตัว,124.22,สำนักงานสถิติแห่งชาติ,38,พันคน,2562
ช่วยธุรกิจครัวเรือน,13.52,สำนักงานสถิติแห่งชาติ,39,พันคน,2562
การรวมกลุ่ม,0.08,สำนักงานสถิติแห่งชาติ,40,พันคน,2562
นายจ้าง,7.89,สำนักงานสถิติแห่งชาติ,41,พันคน,2563
ลูกจ้างรัฐบาล,47.75,สำนักงานสถิติแห่งชาติ,42,พันคน,2563
ลูกจ้างเอกชน,259.22,สำนักงานสถิติแห่งชาติ,43,พันคน,2563
ทํางานส่วนตัว,141.6,สำนักงานสถิติแห่งชาติ,44,พันคน,2563
ช่วยธุรกิจครัวเรือน,17.0,สำนักงานสถิติแห่งชาติ,45,พันคน,2563
การรวมกลุ่ม,0.0,สำนักงานสถิติแห่งชาติ,46,พันคน,2563
นายจ้าง,7.75,สำนักงานสถิติแห่งชาติ,47,พันคน,2564
ลูกจ้างรัฐบาล,50.87,สำนักงานสถิติแห่งชาติ,48,พันคน,2564
ลูกจ้างเอกชน,256.51,สำนักงานสถิติแห่งชาติ,49,พันคน,2564
ทํางานส่วนตัว,188.74,สำนักงานสถิติแห่งชาติ,50,พันคน,2564
ช่วยธุรกิจครัวเรือน,20.05,สำนักงานสถิติแห่งชาติ,51,พันคน,2564
การรวมกลุ่ม,0.0,สำนักงานสถิติแห่งชาติ,52,พันคน,2564
นายจ้าง,7.02,สำนักงานสถิติแห่งชาติ,53,พันคน,2565
ลูกจ้างรัฐบาล,56.1,สำนักงานสถิติแห่งชาติ,54,พันคน,2565
ลูกจ้างเอกชน,265.57,สำนักงานสถิติแห่งชาติ,55,พันคน,2565
ทํางานส่วนตัว,279.2,สำนักงานสถิติแห่งชาติ,56,พันคน,2565
ช่วยธุรกิจครัวเรือน,40.61,สำนักงานสถิติแห่งชาติ,57,พันคน,2565
การรวมกลุ่ม,0.0,สำนักงานสถิติแห่งชาติ,58,พันคน,2565
นายจ้าง,9.35,สำนักงานสถิติแห่งชาติ,59,พันคน,2566
ลูกจ้างรัฐบาล,50.76,สำนักงานสถิติแห่งชาติ,60,พันคน,2566
ลูกจ้างเอกชน,277.32,สำนักงานสถิติแห่งชาติ,61,พันคน,2566
ทํางานส่วนตัว,272.75,สำนักงานสถิติแห่งชาติ,62,พันคน,2566
ช่วยธุรกิจครัวเรือน,34.05,สำนักงานสถิติแห่งชาติ,63,พันคน,2566
การรวมกลุ่ม,0.0,สำนักงานสถิติแห่งชาติ,64,พันคน,2566
