_id,ปี,ลงทะเบียนผ่านทาง,ตำบล,อำเภอ,จังหวัด,ผู้ประกอบการ,วันที่ลงทะเบียน
1,2563,สป.กษ.,พระพุทธบาท,พระพุทธบาท,สระบุรี,บริษัท แปซิฟิคเมล็ดพันธุ์ จำกัด,25กพ63
2,2563,สป.กษ.,หนองโดน,หนองโดน,สระบุรี,บริษัท ซิลเวอร์ ฟาร์ม เซ็นเตอร์,9มค63
3,2563,สป.กษ.,พุกร่าง,พระพุทธบาท,สระบุรี,บริษัท ดีเอฟจี เทรดดิ้ง จำกัด,9มค63
4,2563,สป.กษ.,พุกร่าง,พระพุทธบาท,สระบุรี,บริษัท พี เค ฟาร์ม คอมเมอร์เชียล จำกัด,9มค63
5,2563,สป.กษ.,หัวปลวก,เสาไห้,สระบุรี,บริษัท เวทส์ คอมพลีทส์ จำกัด,9มค63
6,2567,สป.กษ.,หัวปลวก,เสาไห้,สระบุรี,บริษัท ลัคกี้ ฟู้ด เทรดดิ้ง จำกัด,16ธค67
