_id,ปี,มูลค่า,หน่วย,รายการ
1,2563,26927990,ตัว,ไก่เนื้อต่อรอบการผลิต
2,2563,107711960,ตัว,ไก่เนื้อต่อปี
3,2563,2.5,กิโลกรัมต่อตัว,น้ำหนักเฉลี่ย
4,2563,269279900,กิโลกรัม,น้ำหนักรวม
5,2563,34,บาทต่อกิโลกรัม,ราคารับซื้อหน้าฟาร์ม
6,2563,9155516600,บาท,รายได้ผลผลิตไก่เนื้อ
7,2564,26942990,ตัว,ไก่เนื้อต่อรอบการผลิต
8,2564,107771960,ตัว,ไก่เนื้อต่อปี
9,2564,2.5,กิโลกรัมต่อตัว,น้ำหนักเฉลี่ย
10,2564,269429900,กิโลกรัม,น้ำหนักรวม
11,2564,35,บาทต่อกิโลกรัม,ราคารับซื้อหน้าฟาร์ม
12,2564,9430046500,บาท,รายได้ผลผลิตไก่เนื้อ
13,2565,26942990,ตัว,ไก่เนื้อต่อรอบการผลิต
14,2565,107771960,ตัว,ไก่เนื้อต่อปี
15,2565,2.5,กิโลกรัมต่อตัว,น้ำหนักเฉลี่ย
16,2565,269429900,กิโลกรัม,น้ำหนักรวม
17,2565,40,บาทต่อกิโลกรัม,ราคารับซื้อหน้าฟาร์ม
18,2565,10777196000,บาท,รายได้ผลผลิตไก่เนื้อ
19,2566,26942990,ตัว,ไก่เนื้อต่อรอบการผลิต
20,2566,105668360,ตัว,ไก่เนื้อต่อปี
21,2566,2.7,กิโลกรัมต่อตัว,น้ำหนักเฉลี่ย
22,2566,285304572,กิโลกรัม,น้ำหนักรวม
23,2566,40,บาทต่อกิโลกรัม,ราคารับซื้อหน้าฟาร์ม
24,2566,11412182880,บาท,รายได้ผลผลิตไก่เนื้อ
25,2567,26236670,ตัว,ไก่เนื้อต่อรอบการผลิต
26,2567,104946680,ตัว,ไก่เนื้อต่อปี
27,2567,2.7,กิโลกรัมต่อตัว,น้ำหนักเฉลี่ย
28,2567,283356036,กิโลกรัม,น้ำหนักรวม
29,2567,40,บาทต่อกิโลกรัม,ราคารับซื้อหน้าฟาร์ม
30,2567,11334241440,บาท,รายได้ผลผลิตไก่เนื้อ
