จำนวน,_id,ปี,ไตรมาส,หน่วยวัด,อุตสาหกรรม
"85,686",1,2563,1,คน,เกษตรกรรม การป่าไม้ และการประมง 
174,2,2563,1,คน,การทำเหมืองแร่ และเหมืองหิน
"14,206",3,2563,1,คน,การผลิต
239,4,2563,1,คน,การไฟฟ้า ก๊าซ ไอน้ำ และระบบปรับอากาศ
315,5,2563,1,คน,การจัดหาน้ำ การจัดการ และการบำบัดน้ำเสีย ของเสียและสิ่งปฏิกูล
"20,736",6,2563,1,คน,การก่อสร้าง
"26,442",7,2563,1,คน,การขายส่งและการขายปลีก การซ่อมแซมยานยนต์ และจักรยานยนต์ 
"1,463",8,2563,1,คน,การขนส่ง และสถานที่เก็บสินค้า
"15,285",9,2563,1,คน,ที่พักแรมและบริการด้านอาหาร
295,10,2563,1,คน,ข้อมูลข่าวสารและการสื่อสาร
"1,775",11,2563,1,คน,กิจกรรมทางการเงินและการประกันภัย
120,12,2563,1,คน,กิจกรรมอสังหาริมทรัพย์
710,13,2563,1,คน,กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค
471,14,2563,1,คน,กิจกรรมการบริหาร และการบริการสนับสนุน
"14,978",15,2563,1,คน,การบริหาร การป้องกันประเทศ และการประกันสังคมภาคบังคับ
"14,314",16,2563,1,คน,การศึกษา
"2,579",17,2563,1,คน,กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์
558,18,2563,1,คน,ศิลปะ ความบันเทิง และนันทนาการ
"3,426",19,2563,1,คน,กิจกรรมบริการด้านอื่น ๆ
"1,340",20,2563,1,คน,กิจกรรมจ้างงานในครัวเรือนส่วนบุคคลฯ
0,21,2563,1,คน,กิจกรรมขององค์กรระหว่างประเทศและภาคีสมาชิก
0,22,2563,1,คน,ไม่ทราบ
"92,244",23,2563,2,คน,เกษตรกรรม การป่าไม้ และการประมง 
0,24,2563,2,คน,การทำเหมืองแร่ และเหมืองหิน
"11,293",25,2563,2,คน,การผลิต
234,26,2563,2,คน,การไฟฟ้า ก๊าซ ไอน้ำ และระบบปรับอากาศ
103,27,2563,2,คน,การจัดหาน้ำ การจัดการ และการบำบัดน้ำเสีย ของเสียและสิ่งปฏิกูล
"14,942",28,2563,2,คน,การก่อสร้าง
"26,317",29,2563,2,คน,การขายส่งและการขายปลีก การซ่อมแซมยานยนต์ และจักรยานยนต์ 
"1,109",30,2563,2,คน,การขนส่ง และสถานที่เก็บสินค้า
"16,921",31,2563,2,คน,ที่พักแรมและบริการด้านอาหาร
0,32,2563,2,คน,ข้อมูลข่าวสารและการสื่อสาร
"2,320",33,2563,2,คน,กิจกรรมทางการเงินและการประกันภัย
103,34,2563,2,คน,กิจกรรมอสังหาริมทรัพย์
"1,214",35,2563,2,คน,กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค
324,36,2563,2,คน,กิจกรรมการบริหาร และการบริการสนับสนุน
"13,432",37,2563,2,คน,การบริหาร การป้องกันประเทศ และการประกันสังคมภาคบังคับ
"12,562",38,2563,2,คน,การศึกษา
"4,903",39,2563,2,คน,กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์
120,40,2563,2,คน,ศิลปะ ความบันเทิง และนันทนาการ
"3,430",41,2563,2,คน,กิจกรรมบริการด้านอื่น ๆ
93,42,2563,2,คน,กิจกรรมจ้างงานในครัวเรือนส่วนบุคคลฯ
0,43,2563,2,คน,กิจกรรมขององค์กรระหว่างประเทศและภาคีสมาชิก
0,44,2563,2,คน,ไม่ทราบ
"118,252",45,2563,3,คน,เกษตรกรรม การป่าไม้ และการประมง 
0,46,2563,3,คน,การทำเหมืองแร่ และเหมืองหิน
"8,951",47,2563,3,คน,การผลิต
627,48,2563,3,คน,การไฟฟ้า ก๊าซ ไอน้ำ และระบบปรับอากาศ
456,49,2563,3,คน,การจัดหาน้ำ การจัดการ และการบำบัดน้ำเสีย ของเสียและสิ่งปฏิกูล
"8,268",50,2563,3,คน,การก่อสร้าง
"25,789",51,2563,3,คน,การขายส่งและการขายปลีก การซ่อมแซมยานยนต์ และจักรยานยนต์ 
"1,841",52,2563,3,คน,การขนส่ง และสถานที่เก็บสินค้า
"12,140",53,2563,3,คน,ที่พักแรมและบริการด้านอาหาร
0,54,2563,3,คน,ข้อมูลข่าวสารและการสื่อสาร
"2,992",55,2563,3,คน,กิจกรรมทางการเงินและการประกันภัย
249,56,2563,3,คน,กิจกรรมอสังหาริมทรัพย์
198,57,2563,3,คน,กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค
"1,107",58,2563,3,คน,กิจกรรมการบริหาร และการบริการสนับสนุน
"13,756",59,2563,3,คน,การบริหาร การป้องกันประเทศ และการประกันสังคมภาคบังคับ
"9,180",60,2563,3,คน,การศึกษา
"4,530",61,2563,3,คน,กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์
"1,017",62,2563,3,คน,ศิลปะ ความบันเทิง และนันทนาการ
"3,588",63,2563,3,คน,กิจกรรมบริการด้านอื่น ๆ
106,64,2563,3,คน,กิจกรรมจ้างงานในครัวเรือนส่วนบุคคลฯ
0,65,2563,3,คน,กิจกรรมขององค์กรระหว่างประเทศและภาคีสมาชิก
0,66,2563,3,คน,ไม่ทราบ
"108,077",67,2563,4,คน,เกษตรกรรม การป่าไม้ และการประมง 
0,68,2563,4,คน,การทำเหมืองแร่ และเหมืองหิน
"10,331",69,2563,4,คน,การผลิต
"1,125",70,2563,4,คน,การไฟฟ้า ก๊าซ ไอน้ำ และระบบปรับอากาศ
287,71,2563,4,คน,การจัดหาน้ำ การจัดการ และการบำบัดน้ำเสีย ของเสียและสิ่งปฏิกูล
"9,576",72,2563,4,คน,การก่อสร้าง
"25,959",73,2563,4,คน,การขายส่งและการขายปลีก การซ่อมแซมยานยนต์ และจักรยานยนต์ 
"2,538",74,2563,4,คน,การขนส่ง และสถานที่เก็บสินค้า
"10,913",75,2563,4,คน,ที่พักแรมและบริการด้านอาหาร
310,76,2563,4,คน,ข้อมูลข่าวสารและการสื่อสาร
"3,277",77,2563,4,คน,กิจกรรมทางการเงินและการประกันภัย
0,78,2563,4,คน,กิจกรรมอสังหาริมทรัพย์
719,79,2563,4,คน,กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค
760,80,2563,4,คน,กิจกรรมการบริหาร และการบริการสนับสนุน
"16,616",81,2563,4,คน,การบริหาร การป้องกันประเทศ และการประกันสังคมภาคบังคับ
"6,938",82,2563,4,คน,การศึกษา
"4,676",83,2563,4,คน,กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์
882,84,2563,4,คน,ศิลปะ ความบันเทิง และนันทนาการ
"2,892",85,2563,4,คน,กิจกรรมบริการด้านอื่น ๆ
698,86,2563,4,คน,กิจกรรมจ้างงานในครัวเรือนส่วนบุคคลฯ
0,87,2563,4,คน,กิจกรรมขององค์กรระหว่างประเทศและภาคีสมาชิก
0,88,2563,4,คน,ไม่ทราบ
"86,809",89,2564,1,คน,เกษตรกรรม การป่าไม้ และการประมง 
