_id,ปี,ชื่อโรงงาน,ประกอบกิจการ,อำเภอ,จังหวัด,ผู้ประกอบการ
1,2566,วินัยท่าทราย,ดูดทราย ใบอนุญาตให้ใช้เรือเลขที่ พร.0002,เมืองแพร่,แพร่,"นางกัลยารัตน์ กุมรัมย์
"
2,2566,วินัยท่าทราย 2,ดูดทราย (ใบอนุญาตใช้เรือเลขที่ 305000761),เมืองแพร่,แพร่,นางกัลยารัตน์ กุมรัมย์
3,2566,เค เอ็ม พาร์ท,ซ่อมแซมเครื่องยนต์,เมืองแพร่,แพร่,นายกิจชัย กิจภิญโญ
4,2566,โรงกลึงเพรชรัตน์,ซ่อมเครื่องยนต์,เมืองแพร่,แพร่,นางปราณี ชิโนทัย
5,2566,เบาะโชคชัย,ทำเบาะ โครงหลังคารถยนต์,เมืองแพร่,แพร่,นายเปียง มโนรา
6,2566,,ทำน้ำแข็ง,เมืองแพร่,แพร่,นางศรีบัว วังลึก
7,2566,บริษัท มาเจสติก โปรดักส์ จำกัด,ตัดเย็บเสื้อผ้าสำเร็จรูป,เมืองแพร่,แพร่,บริษัท มาเจสติก โปรดักท์ จำกัด
8,2566,บริษัท ทรัพย์ไพศาล (โดโลไมท์) จำกัด,ผลิตปุ๋ยเคมี,เมืองแพร่,แพร่,บริษัท ทรัพย์ไพศาล (โดโลไมท์) จำกัด
9,2566,ห้างหุ้นส่วนจำกัด โกศัยคอนกรีต,"ทำคอนกรีตผสมเสร็จ, ผลิตแผ่นพื้นคอนกรีตสำเร็จ",เมืองแพร่,แพร่,ห้างหุ้นส่วนจำกัด โกศัยคอนกรีต
10,2566,บริษัท ไนน์ตี้ไนน์ นูดเดิ้ล จำกัด,ผลิตเส้นก๋วยเตี๋ยวอบแห้ง,เมืองแพร่,แพร่,บริษัท ไนน์ตี้ไนน์ นูดเดิ้ล จำกัด
11,2566,บริษัท เอ็ม.ที.อินเตอร์เนชั่นเนล คอร์ปอเรชั่น จำกัด,ทำไม้ประสาน ขัดกลึงไม้ ทำเครื่องเรือน และเครื่องใช้ในบ้านเรื,เมืองแพร่,แพร่,บริษัท เอ็ม.ที.อินเตอร์เนชั่นเนล คอร์ปอเรชั่น จำกัด
12,2566,บริษัท เฮ้าส์แวร์ อินดัสเตรียล จำกัด,ทำเครื่องใช้ในครัวเรือน อุปกรณ์การกีฬา,เมืองแพร่,แพร่,ห้างหุ้นส่วนจำกัด แพร่พาราวู้ดโปรดักส์
13,2566,บริษัท จิ่วหง จำกัด,ทำเฟอร์นิเจอร์เครื่องเรือน หรือเครื่องตบแต่งภายในอาคาร จากไม้ ทำวงกบขอบประตู ขอบหน้าต่าง บานหน้าต่าง บานประตู หรือส่วนประกอบที่ทำด้วยไม้ของอาคาร,เมืองแพร่,แพร่,บริษัท จิ่วหง จำกัด
14,2566,ห้างหุ้นส่วนจำกัด แพร่มาทา,ทำคอนกรีตผสมเสร็จ,เมืองแพร่,แพร่,ห้างหุ้นส่วนจำกัดแพร่มาทา
15,2566,ข้าวทิพย์,อบเมล็ดพืช และเก็บรักษาเมล็ดพืชในไซโล,เมืองแพร่,แพร่,นายนิวัฒน์ วิวัฒน์ศานติ
16,2566,,อบพืช เมล็ดพืช และเก็บรักษาในโกดัง,เมืองแพร่,แพร่,นางสาวกัลยา อ่อนน้อม
17,2566,บริษัท ข้าวทิพย์แพร่ จำกัด,อบพืช และเมล็ดพืช เช่น ข้าว ข้าวโพด ถั่วเหลือง ฯลฯ,เมืองแพร่,แพร่,บริษัท ข้าวทิพย์แพร่ จำกัด
18,2566,บริษัท ข้าวทิพย์ แพร่ จำกัด,อบพืชหรือเมล็ดพืช,เมืองแพร่,แพร่,บริษัท ข้าวทิพย์ แพร่ จำกัด
