VALUE,AREA,SOURCE,_id,SEX,UNIT,REGION,YEAR
34.30,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,1,รวม,ร้อยละ,ทั่วประเทศ,2557
33.30,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,2,ชาย,ร้อยละ,ทั่วประเทศ,2557
35.60,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,3,หญิง,ร้อยละ,ทั่วประเทศ,2557
65.70,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,4,รวม,ร้อยละ,ทั่วประเทศ,2557
66.70,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,5,ชาย,ร้อยละ,ทั่วประเทศ,2557
64.40,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,6,หญิง,ร้อยละ,ทั่วประเทศ,2557
5.30,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,7,รวม,ร้อยละ,กรุงเทพมหานคร,2557
5.50,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,8,ชาย,ร้อยละ,กรุงเทพมหานคร,2557
5.00,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,9,หญิง,ร้อยละ,กรุงเทพมหานคร,2557
23.30,รวม,สำนักงานสถิติแห่งชาติ,10,รวม,ร้อยละ,ภาคกลาง,2557
22.10,รวม,สำนักงานสถิติแห่งชาติ,11,ชาย,ร้อยละ,ภาคกลาง,2557
25.10,รวม,สำนักงานสถิติแห่งชาติ,12,หญิง,ร้อยละ,ภาคกลาง,2557
8.90,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,13,รวม,ร้อยละ,ภาคกลาง,2557
8.20,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,14,ชาย,ร้อยละ,ภาคกลาง,2557
9.90,ในเขตการปกครอง,สำนักงานสถิติแห่งชาติ,15,หญิง,ร้อยละ,ภาคกลาง,2557
14.40,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,16,รวม,ร้อยละ,ภาคกลาง,2557
13.90,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,17,ชาย,ร้อยละ,ภาคกลาง,2557
15.20,นอกเขตการปกครอง,สำนักงานสถิติแห่งชาติ,18,หญิง,ร้อยละ,ภาคกลาง,2557
22.30,รวม,สำนักงานสถิติแห่งชาติ,19,รวม,ร้อยละ,ภาคเหนือ,2557
22.40,รวม,สำนักงานสถิติแห่งชาติ,20,ชาย,ร้อยละ,ภาคเหนือ,2557
