รายการ,เนื้อที่(ไร่),_id,ปี
ข้าวนาปรัง,147,1,2565
ข้าวนาปี,76971,2,2565
ข้าวไร่,132908,3,2565
ข้าวนาปรัง,130,4,2566
ข้าวนาปี,62260,5,2566
ข้าวไร่,139313,6,2566
ข้าวนาปรัง,45,7,2567
ข้าวนาปี,2250,8,2567
ข้าวไร่,192791,9,2567
