id,ข้าวนาปี,กล้วยน้ำว้า,_id,กล้วยไข่,กล้วยหอม,ลำไย,อำเภอ
1," 73,763 ", - ,1, - , - , - ,เมืองตาก
2," 22,494 ", - ,2, - , - , - ,บ้านตาก
3," 16,285 ", - ,3, - , - , - ,สามเงา
4," 51,466 ", - ,4, - , - , - ,แม่ระมาด
5," 62,982 ", - ,5, - , - , - ,ท่าสองยาง
6," 50,339 ", - ,6, - , - , - ,แม่สอด
7," 12,704 ", - ,7, - , - , - ,พบพระ
8," 28,478 ", - ,8, - , - , - ,อุ้มผาง
9," 13,118 ", - ,9, - , - , - ,วังเจ้า
," 331,629 ", - ,10, - , - , - ,รวม
