ผลผลิตที่ได้(ตัน),พื้นที่ปลูก(ไร่),_id,ปี,ผลผลิต(กก.)/ไร่,พื้นที่เก็บ(ไร่),อำเภอ
261,80,1,2563,3263,80,เมืองอุทัยธานี
27201,9826,2,2563,2768,9127,ทัพทัน
65505,24740,3,2563,2648,22674,สว่างอารมณ์
6930,2440,4,2563,2840,2288,หนองฉาง
1402,555,5,2563,2526,555,หนองขาหย่าง
170257,50106,6,2563,3398,49108,บ้านไร่
232603,81271,7,2563,2862,75276,ลานสัก
49153,17929,8,2563,2742,15729,ห้วยคต
405,127,9,2564,3189,127,เมืองอุทัยธานี
41764,1506,10,2564,2974,14043,ทัพทัน
73301,35046,11,2564,2834,25865,สว่างอารมณ์
8627,2823,12,2564,3173,2719,หนองฉาง
2401,932,13,2564,2641,909,หนองขาหย่าง
347087,98135,14,2564,3623,95801,บ้านไร่
278329,113533,15,2564,3038,91616,ลานสัก
87797,27833,16,2564,3225,27224,ห้วยคต
417,127,17,2565,3283,127,เมืองอุทัยธานี
69144,23382,18,2565,3350,20640,ทัพทัน
63404,42116,19,2565,2870,22092,สว่างอารมณ์
12248,3850,20,2565,3266,3750,หนองฉาง
2837,1118,21,2565,3101,915,หนองขาหย่าง
334423,102543,22,2565,3707,90214,บ้านไร่
272778,109740,23,2565,3106,87823,ลานสัก
102010,31243,24,2565,3320,30726,ห้วยคต
145,46,25,2566,3160,46,เมืองอุทัยธานี
38517,21386,26,2566,3097,12437,ทัพทัน
332891,97031,27,2566,3498,95166,บ้านไร่
43412,44934,28,2566,2874,15105,สว่างอารมณ์
2129,734,29,2566,2901,734,หนองขาหย่าง
9532,2818,30,2566,3391,2811,หนองฉาง
218697,89322,31,2566,3229,67729,ลานสัก
76956,26194,32,2566,3052,25215,ห้วยคต
145,46,33,2567,3152,46,เมืองอุทัยธานี
38517,21386,34,2567,3097,12437,ทัพทัน
332891,97031,35,2567,3498,95166,บ้านไร่
43412,44934,36,2567,2874,15105,สว่างอารมณ์
2129,734,37,2567,2901,734,หนองขาหย่าง
9532,2818,38,2567,3391,2811,หนองฉาง
218697,89322,39,2567,3229,67729,ลานสัก
76956,26194,40,2567,3052,25215,ห้วยคต
0,59,41,2568,-,0,เมืองอุทัยธานี
48636.5,"33,209.00",42,2568,2979.17,"14,997.50",ทัพทัน
132717.15,"86,473.05",43,2568,3000,"42,254.00",สว่างอารมณ์
4610,"3,588.00",44,2568,2027.26,"1,365.00",หนองฉาง
2044.52,1450,45,2568,2859.47,712,หนองขาหย่าง
75157.165,"78,197.25",46,2568,2478.35,"42,275.00",บ้านไร่
309252,"141,912.00",47,2568,3830.97,"55,957.00",ลานสัก
34453.5,"21,490.50",48,2568,3103.64,9797,ห้วยคต
