dic_id,description_thai,description_en,_id,data_type,field_name
1,ปี,-,1,text,year
2,ภาค,-,2,text,region
3,ไตรมาส,-,3,text,quarter
4,เขตการปกครอง,-,4,text,area
5,เพศ,-,5,text,sex
6,กลุ่มอายุ ,-,6,text,age_group
7,ระดับการศึกษาที่สำเร็จ ระดับการศึกษา,-,7,text,level_of_educational_attainment
8,ระยะเวลาที่หางานทำ,-,8,text,duration_of_seeking_job
9,สถานภาพแรงงาน,-,9,text,labor_force_status
10,อุตสาหกรรม,-,10,text,industry
11,ค่าข้อมูล,-,11,numeric,value
12,หน่วยนับ,-,12,text,unit
13,ที่มาระดับกรม,-,13,text,source
