_id,value,attribute,year_th,commod,unit
1,452,เนื้อที่เพาะปลูก,2565,สับปะรดปัตตาเวีย,พันไร่
2,447,เนื้อที่เก็บเกี่ยว,2565,สับปะรดปัตตาเวีย,พันไร่
3,1714,ผลผลิต,2565,สับปะรดปัตตาเวีย,พันตัน
4,3835,ผลผลิตต่อไร่,2565,สับปะรดปัตตาเวีย,กก./ไร่
5,6.55,ราคาที่เกษตรกรขายได้,2565,สับปะรดปัตตาเวีย,บาท/กก.
6,11228,มูลค่าของผลผลิต,2565,สับปะรดปัตตาเวีย,ล้านบาท
7,349,เนื้อที่เพาะปลูก,2566,สับปะรดปัตตาเวีย,พันไร่
8,338,เนื้อที่เก็บเกี่ยว,2566,สับปะรดปัตตาเวีย,พันไร่
9,1249,ผลผลิต,2566,สับปะรดปัตตาเวีย,พันตัน
10,3691,ผลผลิตต่อไร่,2566,สับปะรดปัตตาเวีย,กก./ไร่
11,8.5,ราคาที่เกษตรกรขายได้,2566,สับปะรดปัตตาเวีย,บาท/กก.
12,10620,มูลค่าของผลผลิต,2566,สับปะรดปัตตาเวีย,ล้านบาท
13,"62,098",เนื้อที่เพาะปลูก,2566,ข้าวนาปี,พันไร่
14,"60,287",เนื้อที่เก็บเกี่ยว,2566,ข้าวนาปี,พันไร่
15,"26,934",ผลผลิต,2566,ข้าวนาปี,พันตัน
16,447,ผลผลิตต่อไร่,2566,ข้าวนาปี,กก./ไร่
17,"11,332",ราคาที่เกษตรกรขายได้,2566,ข้าวนาปี,บาท/กก.
18,"305,214",มูลค่าของผลผลิต,2566,ข้าวนาปี,ล้านบาท
19,"62,838",เนื้อที่เพาะปลูก,2565,ข้าวนาปี,พันไร่
20,"59,492",เนื้อที่เก็บเกี่ยว,2565,ข้าวนาปี,พันไร่
21,"26,712",ผลผลิต,2565,ข้าวนาปี,พันตัน
22,449,ผลผลิตต่อไร่,2565,ข้าวนาปี,กก./ไร่
23,"10,548",ราคาที่เกษตรกรขายได้,2565,ข้าวนาปี,บาท/กก.
24,"281,758",มูลค่าของผลผลิต,2565,ข้าวนาปี,ล้านบาท
