﻿year,sex,quarter,_id,area,region,value,unit,source
2556,หญิง,ไตรมาส 3,1,เขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,1170.94,พันคน,สำนักงานสถิติแห่งชาติ
2556,ชาย,ไตรมาส 3,2,นอกเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,5927.27,พันคน,สำนักงานสถิติแห่งชาติ
2556,หญิง,ไตรมาส 3,3,นอกเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,4674.27,พันคน,สำนักงานสถิติแห่งชาติ
2556,ชาย,ไตรมาส 3,4,เขตเทศบาล,ภาคใต้,802.3,พันคน,สำนักงานสถิติแห่งชาติ
2556,หญิง,ไตรมาส 3,5,เขตเทศบาล,ภาคใต้,663.48,พันคน,สำนักงานสถิติแห่งชาติ
2556,ชาย,ไตรมาส 3,6,นอกเขตเทศบาล,ภาคใต้,2283.18,พันคน,สำนักงานสถิติแห่งชาติ
2556,หญิง,ไตรมาส 3,7,นอกเขตเทศบาล,ภาคใต้,1735.47,พันคน,สำนักงานสถิติแห่งชาติ
2556,ชาย,ไตรมาส 4,8,เขตเทศบาล,กรุงเทพมหานคร,1950.39,พันคน,สำนักงานสถิติแห่งชาติ
2556,หญิง,ไตรมาส 4,9,เขตเทศบาล,กรุงเทพมหานคร,1893.97,พันคน,สำนักงานสถิติแห่งชาติ
2556,ชาย,ไตรมาส 4,10,เขตเทศบาล,ภาคกลาง,1865.57,พันคน,สำนักงานสถิติแห่งชาติ
2556,หญิง,ไตรมาส 4,11,เขตเทศบาล,ภาคกลาง,1662.93,พันคน,สำนักงานสถิติแห่งชาติ
2556,ชาย,ไตรมาส 4,12,นอกเขตเทศบาล,ภาคกลาง,3295.0,พันคน,สำนักงานสถิติแห่งชาติ
2556,หญิง,ไตรมาส 4,13,นอกเขตเทศบาล,ภาคกลาง,2789.68,พันคน,สำนักงานสถิติแห่งชาติ
2556,ชาย,ไตรมาส 4,14,เขตเทศบาล,ภาคเหนือ,992.44,พันคน,สำนักงานสถิติแห่งชาติ
2556,หญิง,ไตรมาส 4,15,เขตเทศบาล,ภาคเหนือ,881.44,พันคน,สำนักงานสถิติแห่งชาติ
2556,ชาย,ไตรมาส 4,16,นอกเขตเทศบาล,ภาคเหนือ,3020.37,พันคน,สำนักงานสถิติแห่งชาติ
2556,หญิง,ไตรมาส 4,17,นอกเขตเทศบาล,ภาคเหนือ,2440.24,พันคน,สำนักงานสถิติแห่งชาติ
2556,ชาย,ไตรมาส 4,18,เขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,1396.99,พันคน,สำนักงานสถิติแห่งชาติ
2556,หญิง,ไตรมาส 4,19,เขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,1163.13,พันคน,สำนักงานสถิติแห่งชาติ
2556,ชาย,ไตรมาส 4,20,นอกเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,5986.19,พันคน,สำนักงานสถิติแห่งชาติ
2556,หญิง,ไตรมาส 4,21,นอกเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,4644.03,พันคน,สำนักงานสถิติแห่งชาติ
2556,ชาย,ไตรมาส 4,22,เขตเทศบาล,ภาคใต้,797.77,พันคน,สำนักงานสถิติแห่งชาติ
2556,หญิง,ไตรมาส 4,23,เขตเทศบาล,ภาคใต้,666.84,พันคน,สำนักงานสถิติแห่งชาติ
2556,ชาย,ไตรมาส 4,24,นอกเขตเทศบาล,ภาคใต้,2270.07,พันคน,สำนักงานสถิติแห่งชาติ
2556,หญิง,ไตรมาส 4,25,นอกเขตเทศบาล,ภาคใต้,1728.0,พันคน,สำนักงานสถิติแห่งชาติ
2557,ชาย,ไตรมาส 1,26,เขตเทศบาล,กรุงเทพมหานคร,2830.05,พันคน,สำนักงานสถิติแห่งชาติ
2557,หญิง,ไตรมาส 1,27,เขตเทศบาล,กรุงเทพมหานคร,2455.11,พันคน,สำนักงานสถิติแห่งชาติ
2557,ชาย,ไตรมาส 1,28,เขตเทศบาล,ภาคกลาง,2845.51,พันคน,สำนักงานสถิติแห่งชาติ
2557,หญิง,ไตรมาส 1,29,เขตเทศบาล,ภาคกลาง,2453.76,พันคน,สำนักงานสถิติแห่งชาติ
2557,ชาย,ไตรมาส 1,30,นอกเขตเทศบาล,ภาคกลาง,3413.89,พันคน,สำนักงานสถิติแห่งชาติ
2557,หญิง,ไตรมาส 1,31,นอกเขตเทศบาล,ภาคกลาง,2881.56,พันคน,สำนักงานสถิติแห่งชาติ
2557,ชาย,ไตรมาส 1,32,เขตเทศบาล,ภาคเหนือ,1177.08,พันคน,สำนักงานสถิติแห่งชาติ
2557,หญิง,ไตรมาส 1,33,เขตเทศบาล,ภาคเหนือ,1090.23,พันคน,สำนักงานสถิติแห่งชาติ
2557,ชาย,ไตรมาส 1,34,นอกเขตเทศบาล,ภาคเหนือ,2402.44,พันคน,สำนักงานสถิติแห่งชาติ
2557,หญิง,ไตรมาส 1,35,นอกเขตเทศบาล,ภาคเหนือ,1913.04,พันคน,สำนักงานสถิติแห่งชาติ
2557,ชาย,ไตรมาส 1,36,เขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,1528.68,พันคน,สำนักงานสถิติแห่งชาติ
2557,หญิง,ไตรมาส 1,37,เขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,1296.9,พันคน,สำนักงานสถิติแห่งชาติ
2557,ชาย,ไตรมาส 1,38,นอกเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,3947.48,พันคน,สำนักงานสถิติแห่งชาติ
2557,หญิง,ไตรมาส 1,39,นอกเขตเทศบาล,ภาคตะวันออกเฉียงเหนือ,3054.66,พันคน,สำนักงานสถิติแห่งชาติ
2557,ชาย,ไตรมาส 1,40,เขตเทศบาล,ภาคใต้,909.87,พันคน,สำนักงานสถิติแห่งชาติ
2557,หญิง,ไตรมาส 1,41,เขตเทศบาล,ภาคใต้,783.77,พันคน,สำนักงานสถิติแห่งชาติ
2557,ชาย,ไตรมาส 1,42,นอกเขตเทศบาล,ภาคใต้,1936.46,พันคน,สำนักงานสถิติแห่งชาติ
2557,หญิง,ไตรมาส 1,43,นอกเขตเทศบาล,ภาคใต้,1531.32,พันคน,สำนักงานสถิติแห่งชาติ
2557,ชาย,ไตรมาส 2,44,เขตเทศบาล,กรุงเทพมหานคร,2816.03,พันคน,สำนักงานสถิติแห่งชาติ
