ราคาที่เกษตรกรขายได้,ชนิดสินค้า,_id,ปีการผลิต,ผลผลิตเฉลี่ย,มูลค่าผลผลิต,ผลผลิต,พื้นที่ปลูก
69.79,ทุเรียน,1,2561,1610,2718.39,38951,36893
84.61,มังคุด,2,2561,398,1233.87,14583,38863
24.8,เงาะ,3,2561,1554,1889.29,76181,51904
34.14,ลองกอง,4,2561,353,101.43,2971,8987
27.33,ยางพารา,5,2561,206,1699.35,62179,338597
3.34,ปาล์มน้ำมัน,6,2561,2615,535.73,160399,63107
9.5,ข้าว,7,2561,449,65.29,6873,15348
3.21,สับปะรดโรงงาน,8,2561,3837,59.77,18621,4919
9.91,สับปะรดตราดสีทอง,9,2561,3490,400.43,40407,16133
95,ทุเรียน,10,2562,1846,4575.01,48158,40439
55,มังคุด,11,2562,929,1904.48,34627,38923
27,เงาะ,12,2562,1762,2345.92,86886,52590
30,ลองกอง,13,2562,464,115.29,3843,8297
23.12,ยางพารา,14,2562,204,1398.48,60488,337707
2.95,ปาล์มน้ำมัน,15,2562,2819,508.26,172293,63821
9.5,ข้าวนาปี,16,2562,497,60.43,6361,14415
3.21,สับปะรดโรงงาน,17,2562,3605,66.57,20739,6219
10.04,สับปะรดตราดสีทอง,18,2562,3596,546.36,54418,16003
100.84,ทุเรียน,19,2563,1993,5564.04,55176,45239
42.51,มังคุด,20,2563,1113,1780.32,41880,39547
15.08,เงาะ,21,2563,2065,1572.2,104248,53526
28.66,ลองกอง,22,2563,540,116.23,4056,7530
39.12,ยางพารา,23,2563,206,2313.09,59128,329964
4,ปาล์มน้ำมัน,24,2563,2710,689.39,172263,64808
8.2,ข้าว,25,2563,443,55.23,6735,14142
9.36,สับปะรดโรงงาน,26,2563,3307,170.94,18263,5698
10.43,สับปะรดตราดสีทอง,27,2563,3528,557.44,53446,16560
110.49,ทุเรียน,28,2564,1773,6280.69,56844,59199
85.48,มังคุด,29,2564,596,1912.79,22377,39696
23.21,เงาะ,30,2564,1911,2162.68,93179,52791
35.86,ลองกอง,31,2564,504,122.1,3405,6771
25.2,ยางพารา,32,2564,221,1378.29,54694,316473
6.34,ปาล์มน้ำมัน,33,2564,2694,1063.4,167729,64156
6.4,ข้าว,34,2564,445,39.53,6176,14114
6.15,สับปะรดโรงงาน,35,2564,3164,82.57,13426,5738
8.49,สับปะรดตราดสีทอง,36,2564,3231,471.97,55591,17923
112.86,ทุเรียน,37,2565,2323,9744.19,86336,74700
57.72,มังคุด,38,2565,1225,2658.34,46052,39734
20.49,เงาะ,39,2565,2295,2278.54,111226,52134
39.09,ลองกอง,40,2565,649,132.23,3565,5497
22.6,ยางพารา,41,2565,243,1422.84,62957,303235
7.38,ปาล์มน้ำมัน,42,2565,2634,1199.44,162527,62683
7.26,ข้าว,43,2565,452,43.67,6015,13546
6.45,สับปะรดโรงงาน,44,2565,3325,61.84,9595,2964
9.94,สับปะรดตราดสีทอง,45,2565,3336,465.59,46833,15171
145.35,ทุเรียน,46,2566,2102,13010.42,89511,92175
70.87,มังคุด,47,2566,743,1978.69,27920,48070
25.46,เงาะ,48,2566,1851,2114.2,83040,39734
43.17,ลองกอง,49,2566,581,73.43,1701,2934
21.15,ยางพารา,50,2566,209,1152.97,54514,310346
5.05,ปาล์มน้ำมัน,51,2566,2562,770.07,152490,63657
8.66,ข้าว,52,2566,423,45.49,5253,12781
8.3,สับปะรดโรงงาน,53,2566,3298,62.54,7535,13504
15.25,สับปะรดตราดสีทอง,54,2566,3592,680.26,44607,2435
148.39,ทุเรียน,55,2567,1707,12181.92,82094,109160
54.63,มังคุด,56,2567,966,1969.03,36043,39624
37.76,เงาะ,57,2567,2154,3652,96716,47041
47.3,ลองกอง,58,2567,600,64.66,1367,2371
29.42,ยางพารา,59,2567,211,1455.44,49471,295081
5.42,ปาล์มน้ำมัน,60,2567,2385,768.28,141749,63589
8.72,ข้าว,61,2567,433,46.18,5296,12395
11.67,สับปะรดโรงงาน,62,2567,3300,70.32,6026,2034
14.4,สับปะรดตราดสีทอง,63,2567,3521,603.11,41883,13197
