บริษัท,ประเภทสัตว์,_id,อำเภอ,ตำบล
บริษัทหนองบัวฟาร์ม แอนด์ คันทรีโฮมวิลเลจจำกัด,สุกร,1,บ่อกระดาน,ปากท่อ
บริษัทบุญมีบรีดเดอร์จำกัด,สุกร,2,คูบัว,เมือง
บริษัท ทองฟาร์ม จำกัด,สุกร,3,น้ำพุ,เมือง
มณีรัตน์ฟาร์ม,สุกร,4,จอมบึง,จอมบึง
บริษัท บุญมีปศุสัตว์ จำกัด,สุกร,5,ทุ่งหลวง,ปากท่อ
บริษัทอุดมเดชฟาร์ม 999จำกัด,สุกร,6,ห้วยไผ่,เมือง
เสถียรฟาร์ม,สุกร,7,ห้วยไผ่,เมือง
บริษัท อาร์ เอส เค 59 จำกัด,สุกร,8,ห้วยไผ่,เมือง
ไร่ส้มสุกิจฟาร์ม 2,สุกร,9,ห้วยไผ่,เมือง
บริษัท กาญจนาไฮบริด จำกัด,สุกร,10,ทุ่งหลวง,ปากท่อ
บริษัท เอส.พี.เอ็ม อาหารสัตว์ จำกัด สาขาฟาร์มไพรน้อย,สุกร,11,ดอนทราย,ปากท่อ
บริษัท เอส.พี.เอ็ม อาหารสัตว์ จำกัด สาขาฟาร์มหัวเขาจีน 1,สุกร,12,ห้วยยางโทน,ปากท่อ
บริษัท .เค.พี.เค ฟาร์ม จำกัด,สุกร,13,ทุ่งหลวง,ปากท่อ
วีระชัยฟาร์ม หนองกระทุ่ม,สุกร,14,หนองกระทุ่ม,ปากท่อ
บริษัท เอส.พี.เอ็ม อาหารสัตว์ จำกัด สาขาฟาร์มลางพวง,สุกร,15,ห้วยยางโทน,ปากท่อ
บริษัท เอส.พี.เอ็ม อาหารสัตว์ จำกัด ฟาร์มดอนทราย,สุกร,16,ดอนทราย,ปากท่อ
บริษัท อารีรัตน์ ฟาร์ม 99 จำกัด,สุกร,17,ห้วยไผ่,เมือง
บริษัท หมูไทย จำกัด,สุกร,18,ห้วยยางโทน,ปากท่อ
พรชัย ฟาร์ม,สุกร,19,บ้านสิงห์,โพธาราม
สุวรรณ ฟาร์ม ,สุกร,20,บ้านฆ้อง,โพธาราม
บริษัท เขาอ้อม จำกัด,สุกร,21,ชำแระ,โพธาราม
อภิชาติ ฟาร์ม,สุกร,22,ทุ่งหลวง,ปากท่อ
บริษัท พี เอฟ ฟาร์ม จำกัด,สุกร,23,เขาขลุง,บ้านโป่ง
โรงสีพรเจริญ ฟาร์ม,สุกร,24,หินกอง,เมือง
บริษัท ทองฟาร์ม จำกัด,สุกร,25,ห้วยไผ่,เมือง
อนันต์  ฟาร์ม,สุกร,26,ทุ่งหลวง,ปากท่อ
ปพน  ฟาร์ม,สุกร,27,ปากช่อง,จอมบึง
สมเดช  ฟาร์ม,สุกร,28,ปากช่อง,จอมบึง
เก้าพี่น้อง ฟาร์ม,สุกร,29,คลองตาคต,โพธาราม
วันชัยฟาร์ม,สุกร,30,จอมบึง,จอมบึง
บริษัท เอส เจ เอฟ ฟาร์ม จำกัด,สุกร,31,เบิกไพร,จอมบึง
สุรินทร์ ฟาร์ม,สุกร,32,น้ำพุ,เมือง
แพรฟาร์ม,สุกร,33,ห้วยไผ่,เมือง
บริษัท วิเชียรคันทรี่พิกฟาร์ม 999 จำกัด,สุกร,34,จอมบึง,จอมบึง
บริษัท เอส.พี.เอ็ม อาหารสัตว์ จำกัด สาขาฟาร์มหัวเขาจีน 2,สุกร,35,ห้วยยางโทน,ปากท่อ
เอกชัย ฟาร์ม,สุกร,36,จอมบึง,จอมบึง
บริษัท ปราณี พอร์ค จำกัด,สุกร,37,ห้วยไผ่,เมือง
วิทยาฟาร์ม,สุกร,38,จอมบึง,จอมบึง
บริษัท อกริฟีด อแนด์ไลฟ์สต๊อค จำกัด,สุกร,39,เขาขลุง,บ้านโป่ง
บริษัทอารีรัตน์ฟาร์ม99จำกัด,สุกร,40,น้ำพุ,เมือง
