_id,ปี,ราคาเฉลี่ย,มูลค่าผลผลิตรวม,พื้นที่เพาะปลูก,ชนิดพืช,ผลผลิตเฉลี่ย,ผลผลิต
1,2560,69.1,3073.77,34911,ทุเรียน,1796,44483
2,2560,46.41,1109.19,38790,มังคุด,682,23900
3,2560,28.6,2412.38,51763,เงาะ,1742,84349
4,2560,34.86,192.77,11236,ลองกอง,518,5530
5,2560,65.82,4102.82,341917,ยางพารา,222,62334
6,2560,4.46,638.48,62084,ปาล์มน้ำมัน,2344,143158
7,2560,7.5,38.07,12472,ข้าวนาปี,409,5077
8,2560,2.5,48.44,5760,สับปะรดโรงงาน,3682,19378
9,2560,9.25,471.18,18283,สับปะรดตราดสีทอง,4329,50939
10,2561,69.79,2718.39,36893,ทุเรียน,1610,38951
11,2561,84.61,1233.87,38863,มังคุด,398,14583
12,2561,24.8,1889.29,51904,เงาะ,1554,76181
13,2561,34.14,101.43,8987,ลองกอง,353,2971
14,2561,27.33,1699.35,338597,ยางพารา,206,62179
15,2561,3.34,535.73,63107,ปาล์มน้ำมัน,2615,160399
16,2561,9.5,65.29,15348,ข้าวนาปี,449,6873
17,2561,3.21,59.77,4919,สับปะรดโรงงาน,3837,18621
18,2561,9.91,400.43,16133,สับปะรดตราดสีทอง,3490,40407
19,2562,95,4575.01,40439,ทุเรียน,1846,48358
20,2562,55,1904.48,48923,มังคุด,929,34627
21,2562,27,2345.82,52590,เงาะ,1762,86886
22,2562,30,135.29,8297,ลองกอง,464,3443
23,2562,23.12,3398.48,337707,ยางพารา,204,60488
24,2562,2.95,508.26,63861,ปาล์มน้ำมัน,2819,132293
25,2562,9.5,60.43,14415,ข้าวนาปี,497,6361
26,2562,3.23,66.57,6239,สับปะรดโรงงาน,3605,20739
27,2562,10.04,546.36,16003,สับปะรดตราดสีทอง,3596,54438
28,2563,100.84,5564.04,45239,ทุเรียน,1993,55176
29,2563,42.51,1780.32,39547,มังคุด,1113,41880
30,2563,15.08,1572.2,53526,เงาะ,2065,104248
31,2563,28.66,116.23,7530,ลองกอง,540,4056
32,2563,39.12,2313.09,329964,ยางพารา,206,59128
33,2563,4,689.39,64808,ปาล์มน้ำมัน,2710,172263
34,2563,8.2,55.23,14142,ข้าวนาปี,443,6734
35,2563,9.36,170.94,5698,สับปะรดโรงงาน,3307,18263
36,2563,10.43,557.44,16560,สับปะรดตราดสีทอง,3528,53446
37,2564,110.49,6280.69,59199,ทุเรียน,1773,56844
38,2564,85.48,1912.79,39696,มังคุด,596,22377
39,2564,23.21,2162.68,52791,เงาะ,1911,93179
40,2564,35.86,122.1,6771,ลองกอง,504,3405
41,2564,25.2,1378.29,316473,ยางพารา,221,54694
42,2564,6.34,1063.4,64156,ปาล์มน้ำมัน,2694,167729
43,2564,6.4,39.53,14114,ข้าวนาปี,445,6176
44,2564,6.15,82.57,5738,สับปะรดโรงงาน,3164,13426
45,2564,8.49,471.97,17923,สับปะรดตราดสีทอง,3231,55591
