จำนวน,ที่มา,_id,ปี,ลำดับ,หน่วย
"29,913,590.20",สำนักงานประกันสังคมจังหวัดลพบุรี,1,2562,1,บาท
"31,819,939.40",สำนักงานประกันสังคมจังหวัดลพบุรี,2,2563,2,บาท
"42,102,133.60",สำนักงานประกันสังคมจังหวัดลพบุรี,3,2564,3,บาท
"37,179,625.80",สำนักงานประกันสังคมจังหวัดลพบุรี,4,2565,4,บาท
"38,068,714.00",สำนักงานประกันสังคมจังหวัดลพบุรี,5,2566,5,บาท
"39,211,257.40",สำนักงานประกันสังคมจังหวัดลพบุรี,6,2567,6,บาท
"35,445,565.20",สำนักงานประกันสังคมจังหวัดลพบุรี,7,2568,7,บาท
