_id,ลงวันที่,ต้นเรื่อง,ประกาศที่,เรื่อง
1,11 ม.ค.66,กพด.,001/2566,โครงการจ้างที่ปรึกษาเพื่อประเมินคุณภาพงานตรวจสอบภายใน ประจำปีงบประมาณ 2566 โดยวิธีประกาศเชิญชวนทั่วไป
2,12 ม.ค66,กพด.,002/2566,ประกวดราคาเช่าโครงการเช่าใช้บริการระบบวิเคราะห์และเฝ้าระวังจากระยะไกล ระยะเวลา 60 เดือน ของกลุ่มนิคมอุตสาหกรรมพื่นที่มาบตาพุด ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding)
3,19 ม.ค.66,กกท.,003/2566,นโยบายไม่รับของขวัญและของกำนัลทุกชนิดจากการปฏิบัติหน้าที่ (No Gift Policy)
4,25 ม.ค.66,กพด.,004/2566,ประกวดราคาจ้างก่อสร้างงานปรับปรุงซ่อมแซมทาสีอาคารสำนักงานและงานซ่อมแซมวัสดุอุปกรณ์ในบ้านพักรับรองของสำนักงานนิคมอุตสาหกรรมมาบตาพุด จังหวัดระยอง ประจำปีงบประมาณ 2566 ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding)
5,25 ม.ค.66,กพด.,005/2566,ประกวดราคาจ้างก่อสร้างปรับปรุงการวางท่อส่งจ่ายน้ำของสำนักงานนิคมอุตสาหกรรมมาบตาพุด จังหวัดระยอง ประจำปีงบประมาณ 2566 ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding)
6,25 ม.ค.66,กพด.,006/2566,ประกวดราคาจ้างก่อสร้างโครงการปรับปรุงภูมิทัศน์และลานอเนกประสงค์อ่างเก็บน้ำนิคมอุตสาหกรรม (อ่าง B) ของสำนักงานนิคมอุตสาหกรรมมาบตาพุด จังหวัดระยอง ประจำปีงบประมาณ 2566 ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding)
7,26 ม.ค.66,กพด.,007/2566,ประกวดราคาจ้างก่อสร้างโครงการก่อสร้างรั้วโปร่ง (MESH FENCE) นิคมอุตสาหกรรมลาดกระบัง ระยะที่ 4 ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding)
8,30 ม.ค.66,กพด.,008/2566,ประกวดราคาซื้อโครงการพัฒนาเพิ่มส่วนต่อขยายระบบควบคุม สั่งการ สื่อสารคอมพิวเตอร์ และข้อมูลจ่ายกรอง ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding)
9,30 ม.ค.66,กกร.,009/2566,กำหนดอัตราค่าบริการระบบบริหารจัดการควบคุมการจราจรทางน้ำ (VTMS) สำหรับโครงการก่อสร้างท่าเทียบเรือ และสถานีรับ-จ่ายก๊าซธรรมชาติเหลว หนองแฟบ
10,31 ม.ค.66,กปอ.,010/2566,การหยุดเดินเครื่อง ซ่อมบำรุง และซ่อมบำรุงใหญ่ของโรงงานหรือกระบวนการผลิต หรือเครื่องจักร อุปกรณ์ของโรงงานในกลุ่มนิคมอุตสาหกรรมและท่าเรืออุตสาหกรรมพื้นที่มาบตาพุด
11,31 ม.ค.66,สผก.,011/2566,ช่องทางอิเล็กทรอนิกส์สำหรับติดต่อการนิคมอุตสาหกรรมแห่งประเทศไทย พ.ศ. 2566
12,1 ก.พ.66,กพด.,012/2566,ประกวดราคาเช่าโครงการเช่าใช้บริการระบบเฝ้าระวังและป้องกันอากาศยานไร้คนขับ (ANTI-Drone System) พื้นที่ท่าเรืออุตสาหกรรมมาบตาพุด ระยะเวลา 60 เดือน ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding)
13,3 ก.พ.66,กพด.,013/2566,โครงการจ้างที่ปรึกษาเพื่อประเมินคุณภาพงานตรวจสอบภายใน ประจำปีงบประมาณ 2566 โดยวิธีประกาศเชิญชวนทั่วไป (ครั้งที่ 2)
14,6 ก.พ.66,กอป.,014/2566,วิธีการแสดงใบอนุญาตโดยวิธีการทางอิเล็กทรอนิกส์ พ.ศ. 2566
