_id,year,value,unit,source
1,2564,8.25,ร้อยละ,สำนักงานศึกษาธิการจังหวัดเลย
2,2565,32.22,ร้อยละ,สำนักงานศึกษาธิการจังหวัดเลย
3,2566,41.96,ร้อยละ,สำนักงานศึกษาธิการจังหวัดเลย
