วันที่หมดอายุ,_id,เลขที่การรับรอง,บริษัท,ลำดับ,วันที่รับรอง,จังหวัด
--,44,GI(E) 1-513,บริษัท ไฮ-เทค เมมเบรนส์ จำกัด,44,2568-01-30T00:00:00,ชลบุรี
--,45,GI(E) 1-529,บริษัท คอปเปอร์ คอร์ด อินดัสทรี้ จำกัด,45,2568-07-02T00:00:00,ชลบุรี
--,46,GI(E) 1-530,บริษัท โตเกียว เซสาคุโชะ (เอเซีย) จำกัด,46,2568-07-02T00:00:00,ชลบุรี
--,47,GI(E) 1-531,บริษัท ไทย ทานาซาว่า ฮัคโคชะ จำกัด,47,2568-07-02T00:00:00,ชลบุรี
--,48,GI(E) 1-532,บริษัท นันไค เอ็กซ์เพรส (ไทยแลนด์) จำกัด,48,2568-07-02T00:00:00,ชลบุรี
--,49,GI(E) 1-533,บริษัท แอพต้าร์ (ประเทศไทย) จำกัด,49,2568-07-02T00:00:00,ชลบุรี
--,50,GI(E) 1-534,บริษัท แอร์วอเตอร์ (ไทยแลนด์) จำกัด,50,2568-07-02T00:00:00,ชลบุรี
--,51,GI(E) 1-539,บริษัท โตโยดะ เซโก (ประเทศไทย) จำกัด,51,2568-11-02T00:00:00,ชลบุรี
--,52,GI(E) 1-588,บริษัท เอ็มเคเอ เทค จำกัด,52,2568-02-23T00:00:00,ชลบุรี
--,53,GI(E) 1-606,บริษัท มหานคร เปเปอร์ แอนด์ เมททอล จำกัด,53,2568-02-28T00:00:00,ชลบุรี
--,54,GI(E) 1-607,ห้างหุ้นส่วนจำกัด หนามเตย,54,2568-02-28T00:00:00,ชลบุรี
--,55,GI(E) 1-608,บริษัท ไท้ ฝู หลง อินเตอร์เนชั่นแนล จำกัด,55,2568-02-28T00:00:00,ชลบุรี
--,56,GI(E) 1-609,บริษัท อีซูซุ ตะวันออก ชลบุรี จำกัด,56,2568-02-28T00:00:00,ชลบุรี
--,57,GI(E) 1-610,บริษัท จินไท่ แมนูแฟคเจอริ่ง จำกัด ,57,2568-02-28T00:00:00,ชลบุรี
--,58,GI(E) 1-611,บริษัท เผิงซุ่นแพ็คเก็จจิ้ง (ไทยแลนด์) จำกัด,58,2568-02-28T00:00:00,ชลบุรี
--,59,GI(E) 1-612,บริษัท เมนเทอร์ ซัพพลาย เชน (ประเทศไทย) จำกัด,59,2568-02-28T00:00:00,ชลบุรี
--,60,GI(E) 1-614,บริษัท นิปปอนซันโซ่ (ไทยแลนด์) จำกัด,60,2568-02-28T00:00:00,ชลบุรี
--,61,GI(E) 1-615,บริษัท ยูโร ดีไซน์ เฟอร์นิเจอร์ จำกัด,61,2568-02-28T00:00:00,ชลบุรี
--,62,GI(E) 1-616,ห้างหุ้นส่วนจำกัด ที ดับบลิว ที (2009),62,2568-02-28T00:00:00,ชลบุรี
--,63,GI(E) 1-617,บริษัท หายเป่า พรีซิชั่น ฮาร์ดแวร์ (อินเตอร์เนชั่นแนล) จำกัด,63,2568-02-28T00:00:00,ชลบุรี
--,64,GI(E) 1-618,บริษัท ยี่ดา นิว แมททีเรียล (ประเทศไทย) จำกัด,64,2568-02-28T00:00:00,ชลบุรี
--,65,GI(E) 1-619,บริษัท ไซแทค เทคโนโลยี (ประเทศไทย) จำกัด,65,2568-02-28T00:00:00,ชลบุรี
--,66,GI(E) 1-620,บริษัท ซัน นิว แมททีเรียลส์ เทคโนโลยี (ประเทศไทย) จำกัด,66,2568-02-28T00:00:00,ชลบุรี
--,67,GI(E) 1-621,บริษัท กรีนเยลโล่ โซล่าร์ 4 (ไทยแลนด์) จำกัด,67,2568-02-28T00:00:00,ชลบุรี
--,68,GI(E) 1-622,บริษัท อัลฟ่า เบบี้ โปรดักส์ (ประเทศไทย) จำกัด,68,2568-02-28T00:00:00,ชลบุรี
--,69,GI(E) 1-623,บริษัท อควาคิวบิค คิทเช่น แอนด์ บาธ (ไทยแลนด์) จำกัด,69,2568-02-28T00:00:00,ชลบุรี
--,70,GI(E) 1-624,บริษัท อาปา สตีล อินเตอร์เทรด จำกัด,70,2568-02-28T00:00:00,ชลบุรี
--,71,GI(E) 1-625,บริษัท ชือหม่า วินช์ (ประเทศไทย) จำกัด,71,2568-02-28T00:00:00,ชลบุรี
--,72,GI(E) 1-626,บริษัท ภัทริญา รีไซเคิล จำกัด,72,2568-02-28T00:00:00,ชลบุรี
--,73,GI(E) 1-627,บริษัท ฟิโลลิน่า สโตน จำกัด,73,2568-02-28T00:00:00,ชลบุรี
--,74,GI(E) 1-628,บริษัท อาร์ค อินโนเวชั่นส์ จำกัด,74,2568-02-28T00:00:00,ชลบุรี
--,75,GI(E) 1-629,บริษัท ทีเอฟแอล อินดัสทรี จำกัด,75,2568-02-28T00:00:00,ชลบุรี
--,76,GI(E) 1-630,บริษัท หยุนจิน อิเล็คทรอนิคส์ (ประเทศไทย) จำกัด,76,2568-02-28T00:00:00,ชลบุรี
--,77,GI(E) 1-631,บริษัท ปูเป็น ซีฟู้ด จำกัด,77,2568-02-28T00:00:00,ชลบุรี
--,78,GI(E) 1-731,บริษัท มัตซึมุระ เซเค (ประเทศไทย) จำกัด,78,2568-07-03T00:00:00,ชลบุรี
--,79,GI(E) 1-788,บริษัท เจวาย คอนเทนเนอร์ แมนูแฟคเจอริ่ง จำกัด,79,2568-08-03T00:00:00,ชลบุรี
--,80,GI(E) 1-789,บริษัท ทิมเบอลักซ์ ฟลอร์ริ่ง จำกัด,80,2568-08-03T00:00:00,ชลบุรี
--,81,GI(E) 1-790,บริษัท ไทยอาราอิ จำกัด,81,2568-08-03T00:00:00,ชลบุรี
--,82,GI(E) 1-791,บริษัท อีเกิ้ลไรซ์ อิเล็กทริก แอนด์ อิเล็กทรอนิกส์ (ประเทศไทย) จำกัด,82,2568-08-03T00:00:00,ชลบุรี
--,83,GI(E) 1-792,บริษัท โมลด์ เวย์ จำกัด,83,2568-08-03T00:00:00,ชลบุรี
--,84,GI(E) 1-793,บริษัท อา-ซุง (ประเทศไทย) จำกัด,84,2568-08-03T00:00:00,ชลบุรี
--,85,GI(E) 1-794,บริษัท กุ้ยหรง พลาสติก โปรดัก (ไทยแลนด์) จำกัด,85,2568-08-03T00:00:00,ชลบุรี
--,86,GI(E) 1-795,บริษัท เดอะ โซเทค (ประเทศไทย) จำกัด,86,2568-08-03T00:00:00,ชลบุรี
--,87,GI(E) 1-796,บริษัท เอ็น.เอ.อินเตอร์ อิเล็คโทรเพลทติ้ง จำกัด,87,2568-08-03T00:00:00,ชลบุรี
--,88,GI(E) 1-797,บริษัท ซินด้า พีอี แมททีเรียล จำกัด,88,2568-08-03T00:00:00,ชลบุรี
--,89,GI(E) 1-798,บริษัท ไทย ซัสเทน รีซอร์สเซส จำกัด,89,2568-08-03T00:00:00,ชลบุรี
--,90,GI(E) 1-799,บริษัท แหลมทองน๊อต สกรู โลหะกิจ จำกัด,90,2568-08-03T00:00:00,ชลบุรี
--,91,GI(E) 1-800,บริษัท กวง ฉิง ฮาร์ดแวร์ (ไทยแลนด์) จำกัด,91,2568-08-03T00:00:00,ชลบุรี
--,92,GI(E) 1-801,บริษัท เอ็นเอสพีที จำกัด,92,2568-08-03T00:00:00,ชลบุรี
--,93,GI(E) 1-802,บริษัท ฮวา นิปเปอร์ เอนเตอร์ไพรส์ จำกัด,93,2568-08-03T00:00:00,ชลบุรี
--,94,GI(E) 1-803,บริษัท เจดี วู้ด อินดัสทรี (ไทยแลนด์) จำกัด,94,2568-08-03T00:00:00,ชลบุรี
--,95,GI(E) 1-804,บริษัท มิเดเกอร์ ออปโตอิเล็กทรอนิกส์ เทคโนโลยี (ประเทศไทย) จำกัด,95,2568-08-03T00:00:00,ชลบุรี
--,96,GI(E) 1-805,บริษัท ฟอร์ทรุย อินเตอร์เนชั่นแนล (ไทยแลนด์) จำกัด,96,2568-08-03T00:00:00,ชลบุรี
--,97,GI(E) 1-806,บริษัท มาย แพ็คเกจจิ้ง จำกัด,97,2568-08-03T00:00:00,ชลบุรี
--,98,GI(E) 1-807,บริษัท แอร์ อินเตอร์เนชั่นแนล เทอร์มอล ซิสเต็มส์ (ประเทศไทย) จำกัด,98,2568-08-03T00:00:00,ชลบุรี
--,99,GI(E) 1-808,บริษัท พินด้า เทคโนโลยี (ประเทศไทย) จำกัด,99,2568-08-03T00:00:00,ชลบุรี
--,100,GI(E) 1-809,บริษัท บีซี อิมพอร์ต แอนด์ เอ็กซ์พอร์ต เทรดดิ้ง จำกัด,100,2568-08-03T00:00:00,ชลบุรี
--,101,GI(E) 1-810,บริษัท หนองใหญ่คอนกรีต จำกัด โรงงานคอนกรีตผสมเสร็จหนองใหญ่ 3,101,2568-08-03T00:00:00,ชลบุรี
--,102,GI(E) 1-811,บริษัท เอส-ปาร์ค คอร์ปอเรชั่น จำกัด,102,2568-08-03T00:00:00,ชลบุรี
--,103,GI(E) 1-812,บริษัท เดลเมย์ เฮลท์ตี้ โฮม (ไทยแลนด์) จำกัด,103,2568-08-03T00:00:00,ชลบุรี
--,104,GI(E) 1-813,บริษัท แสงศิริ กรุ๊ป จำกัด,104,2568-08-03T00:00:00,ชลบุรี
--,105,GI(E) 1-814,บริษัท เซียงเผิง อินโนเวชั่น (เอเชีย) จำกัด,105,2568-08-03T00:00:00,ชลบุรี
--,106,GI(E) 1-815,บริษัท ฮั้วไท้ เมทัล (ประเทศไทย) จำกัด,106,2568-08-03T00:00:00,ชลบุรี
--,107,GI(E) 1-816,บริษัท ดีดี รับเบอร์ โปรดักท์ จำกัด,107,2568-08-03T00:00:00,ชลบุรี
--,108,GI(E) 1-817,บริษัท เอส ที ดับเบิ้ลยู 2022 จำกัด,108,2568-08-03T00:00:00,ชลบุรี
--,109,GI(E) 1-818,บริษัท กวนคุน เทคโนโลยี (ประเทศไทย) จำกัด,109,2568-08-03T00:00:00,ชลบุรี
--,110,GI(E) 1-819,บริษัท หนองหงส์พาเลท จำกัด,110,2568-08-03T00:00:00,ชลบุรี
--,111,GI(E) 1-820,บริษัท ฉีหลิน ถัง จำกัด,111,2568-08-03T00:00:00,ชลบุรี
--,112,GI(E) 1-821,บริษัท เคเอชซี (ไทยแลนด์) จำกัด,112,2568-08-03T00:00:00,ชลบุรี
--,113,GI(E) 1-822,ห้างหุ้นส่วนจำกัด พีเอฟเอฟ โปรดักส์ฟูลฟิล,113,2568-08-03T00:00:00,ชลบุรี
--,114,GI(E) 1-823,บริษัท ไฮเอ็นด์ คิทเช่น คาบิเน็ท (ประเทศไทย) จำกัด,114,2568-08-03T00:00:00,ชลบุรี
--,115,GI(E) 1-824,บริษัท ซี แอนด์ ที โมดูลาร์ จำกัด ,115,2568-08-03T00:00:00,ชลบุรี
--,116,GI(E) 1-825,บริษัท ซี แอนด์ ที โมดูลาร์ จำกัด,116,2568-08-03T00:00:00,ชลบุรี
--,117,GI(E) 1-826,บริษัท อาร์ซี แพ็คกิ้ง จำกัด,117,2568-08-03T00:00:00,ชลบุรี
--,118,GI(E) 1-827,บริษัท มั่งมี เอเซีย ฟรุ๊ต จำกัด,118,2568-08-03T00:00:00,ชลบุรี
--,119,GI(E) 1-828,บริษัท อาร์ยู เทคโนโลยี จำกัด,119,2568-08-03T00:00:00,ชลบุรี
--,120,GI(E) 1-829,บริษัท ดีเค พรีซิชั่น โมลด์ (ประเทศไทย) จำกัด,120,2568-08-03T00:00:00,ชลบุรี
--,121,GI(E) 1-830,บริษัท เซ็นทรัล เซาท์ แพ็คกิ้ง (ไทยแลนด์) จำกัด,121,2568-08-03T00:00:00,ชลบุรี
--,122,GI(E) 1-831,ห้างหุ้นส่วนจำกัด พี.เอส.เอส รีไซเคิล,122,2568-08-03T00:00:00,ชลบุรี
--,123,GI(E) 1-832,บริษัท จี ที ดับเบิ้ลยู อินเตอร์ จำกัด,123,2568-08-03T00:00:00,ชลบุรี
--,124,GI(E) 1-833,บริษัท โรงน้ำแข็งเทพภูธร จำกัด,124,2568-08-03T00:00:00,ชลบุรี
--,125,GI(E) 1-834,บริษัท ไปป์ปิ้ง เทคโนโลยี อินดัสทรี (ไทยแลนด์) จำกัด,125,2568-08-03T00:00:00,ชลบุรี
--,126,GI(E) 1-835,บริษัท ทีทีเอ็มเอ็ม ฟู้ด (ไทยแลนด์) จำกัด,126,2568-08-03T00:00:00,ชลบุรี
--,127,GI(E) 1-836,บริษัท คัมมอนน์ เพาเวอร์ จำกัด,127,2568-08-03T00:00:00,ชลบุรี
--,128,GI(E) 1-841,บริษัท จอยน์แฮนสด์ อินเจคชั่น ซิสเทิม (ไทยแลนด์) จำกัด,128,2568-11-03T00:00:00,ชลบุรี
--,129,GI(E) 1-852,บริษัท โตมิคิว โพลิเมอร์ (ประเทศไทย) จำกัด,129,2568-11-03T00:00:00,ชลบุรี
--,130,GI(E) 1-853,บริษัท โอรินโกะ แอดวานซ์ พลาสติก อินเตอร์เนชั่นแนล จำกัด,130,2568-11-03T00:00:00,ชลบุรี
--,131,GI(E) 1-869,บริษัท อีเรย์ จำกัด,131,2568-03-14T00:00:00,ชลบุรี
--,132,GI(E) 1-870,บริษัท ฉางยือ อินดัสเทรียล (ไทยแลนด์) จำกัด,132,2568-03-14T00:00:00,ชลบุรี
--,133,GI(E) 1-918,บริษัท พาวิน เมทอล จำกัด,133,2568-03-20T00:00:00,ชลบุรี
--,134,GI(E) 1-919,บริษัท กัลฟ์ โซล่าร์ บีวี จำกัด,134,2568-03-20T00:00:00,ชลบุรี
--,135,GI(E) 1-920,บริษัท คินเทซึ โลจิสติคส์ (ประเทศไทย) จำกัด,135,2568-03-20T00:00:00,ชลบุรี
--,136,GI(E) 1-921,บริษัท ท็อป ลิงค์ อินดัสเทรียล (ประเทศไทย) จำกัด,136,2568-03-20T00:00:00,ชลบุรี
--,137,GI(E) 1-948,บริษัท เชร็ด-เทค เอเซีย จำกัด,137,2568-03-25T00:00:00,ชลบุรี
--,138,GI(E) 1-952,บริษัท เฉินเจี้ยน แฟบริค (ไทยแลนด์) จำกัด,138,2568-03-26T00:00:00,ชลบุรี
--,139,GI(E) 1-1077,บริษัท เซียงหยวน โฟม (ประเทศไทย) จำกัด,139,2568-07-05T00:00:00,ชลบุรี
--,140,GI(E) 1-1092,บริษัท ทัศนาชลบุรี จำกัด,140,2568-05-16T00:00:00,ชลบุรี
--,141,GI(E) 1-1104,บริษัท คันธมาทน์ การาจ จำกัด,141,2568-05-16T00:00:00,ชลบุรี
--,142,GI(E) 1-1106,อู่บ้านบึงการาจ (สำนักงานใหญ่),142,2568-05-16T00:00:00,ชลบุรี
--,143,GI(E) 1-1111,บริษัท อ่าวอุดมการช่างพัทยา จำกัด,143,2568-05-16T00:00:00,ชลบุรี
--,144,GI(E) 1-1112,ห้างหุ้นส่วนจำกัด พวกกัน คาร์เซอร์วิส,144,2568-05-16T00:00:00,ชลบุรี
--,145,GI(E) 1-1171,บริษัท เคเคบอดี้เซอร์วิส จำกัด,145,2568-05-20T00:00:00,ชลบุรี
--,146,GI(E) 1-1173,ห้างหุ้นส่วนจำกัด ช.กิจทวีทรัพย์ ยานยนต์,146,2568-05-20T00:00:00,ชลบุรี
--,147,GI(E) 1-1176,บริษัท อนันต์เซอร์วิส แอนด์ ออโต้พาร์ท จำกัด,147,2568-05-20T00:00:00,ชลบุรี
--,148,GI(E) 1-1179,บริษัท ที 8 ออโต้พาร์ท เวิร์คช๊อป จำกัด,148,2568-05-20T00:00:00,ชลบุรี
--,149,GI(E) 1-1197,ห้างหุ้นส่วนจำกัด เทพศิลาอุตสาหกรรม,149,2568-05-20T00:00:00,ชลบุรี
--,150,GI(E) 1-1259,บริษัท ห้วยกะปิ 13 เซอร์วิส จำกัด,150,2568-05-28T00:00:00,ชลบุรี
--,151,GI(E) 1-1262,ห้างหุ้นส่วนจำกัด อ่าวอุดมการช่าง สาขาสุขุมวิท,151,2568-05-28T00:00:00,ชลบุรี
--,152,GI(E) 1-1267,บริษัท บางละมุง 31 เซอร์วิส จำกัด,152,2568-05-29T00:00:00,ชลบุรี
--,153,GI(E) 1-1283,บริษัท อู่เล็กการช่าง จำกัด,153,2568-05-29T00:00:00,ชลบุรี
--,154,GI(E) 1-1287,อู่แสงชล ชลบุรี,154,2568-05-29T00:00:00,ชลบุรี
--,155,GI(E) 1-1316,บริษัท ไทย หมิง ไลท์ติ้ง จำกัด,155,2568-11-06T00:00:00,ชลบุรี
--,156,GI(E) 1-1342,บริษัท แอเดียนท์ แอนด์ ซัมมิท คอร์ปอเรชั่น จำกัด,156,2568-06-23T00:00:00,ชลบุรี
--,157,GI(E) 1-1343,บริษัท ยุงค์ไฮน์ริช ลิฟท์ ทรัค จำกัด,157,2568-06-23T00:00:00,ชลบุรี
--,158,GI(E) 1-1360,บริษัท วันเวนเชอร์ จำกัด,158,2568-06-30T00:00:00,ชลบุรี
--,159,GI(E) 1-1471,บริษัท มุโรโอคะ (ประเทศไทย) จำกัด,159,2568-07-31T00:00:00,ชลบุรี
--,160,GI(E) 1-1473,บริษัท ไทย มิฮาร่า จำกัด,160,2568-01-08T00:00:00,ชลบุรี
--,161,GI(E) 1-1474,บริษัท นิปปอน คอนโป (ประเทศไทย) จำกัด,161,2568-01-08T00:00:00,ชลบุรี
