_id,พ.ศ.,ผลผลิตรวม,หน่วยพื้นที่เพาะปลูก,ชนิด,ราคาเฉลี่ย,หน่วยราคาเฉลี่ย,หน่วยมูลค่าผลผลิตรวม,มูลค่าผลผลิตรวม,หน่วยผลผลิตรวม,พื้นที่เพาะปลูก,หน่วยผลผลิตเฉลี่ย,ผลผลิตเฉลี่ย
1,2562,"2,025.21",ไร่,ข้าวนาปรัง 61/62,6.58,บาท/กก.,บาท/ปี,"13,317,075",กิโลกรัม,"2,847.25","กก./ไร่/ปี,รอบ",711
2,2562,"3,673.78",ไร่,ข้าวนาปี 62/63,6.62,บาท/กก.,บาท/ปี,"24,308,065",กิโลกรัม,"4,795.20","กก./ไร่/ปี,รอบ",766
3,2562,"107,309.60",ไร่,มะพร้าวน้ำหอม,11.88,บาท/กก.,บาท/ปี,"1,274,403,200",กิโลกรัม,"22,751.00","กก./ไร่/ปี,รอบ","4,717.00"
4,2562,"16,196.00",ไร่,มะม่วง,18.39,บาท/กก.,บาท/ปี,"297,830,000",กิโลกรัม,"8,134.00","กก./ไร่/ปี,รอบ","2,000.00"
5,2562,"21,566.79",ไร่,มะนาว,30,บาท/กก.,บาท/ปี,"647,006,250",กิโลกรัม,"6,112.00","กก./ไร่/ปี,รอบ","3,529.00"
6,2562,"36,686.80",ไร่,ฝรั่ง,15,บาท/กก.,บาท/ปี,"560,150,400",กิโลกรัม,"6,809.00","กก./ไร่/ปี,รอบ","5,388.00"
7,2562,"5,778.00",ไร่,ลำไย,50,บาท/กก.,บาท/ปี,"288,900,000",กิโลกรัม,"2,933.00","กก./ไร่/ปี,รอบ","1,970.00"
8,2562,"1,558,200.00",ไร่,ชมพู่,30,บาท/กก.,บาท/ปี,"46,722,000",กิโลกรัม,728,"กก./ไร่/ปี,รอบ","2,140.00"
9,2562,"3,528.00",ไร่,กล้วยน้ำว้า,6.12,บาท/กก.,บาท/ปี,"21,603,500",กิโลกรัม,"1,484.00","กก./ไร่/ปี,รอบ","2,377.00"
10,2562,"537,336.00",ไร่,มะขามเทศ,50,บาท/กก.,บาท/ปี,"26,866,800",กิโลกรัม,878,"กก./ไร่/ปี,รอบ",612
