จำนวน,ที่มา,_id,ปี,กรณี,รายการ,จังหวัด,หน่วย
92704,สำนักงานประกันสังคมจังหวัดกำแพงเพชร,1,2561,เจ็บป่วย,ผู้ประกันตนเบิกจ่ายประโยชน์ทดแทนกองทุนประกันสังคม,กำแพงเพชร,ราย
1619,สำนักงานประกันสังคมจังหวัดกำแพงเพชร,2,2561,คลอดบุตร,ผู้ประกันตนเบิกจ่ายประโยชน์ทดแทนกองทุนประกันสังคม,กำแพงเพชร,ราย
133,สำนักงานประกันสังคมจังหวัดกำแพงเพชร,3,2561,ทุพพลภาพ,ผู้ประกันตนเบิกจ่ายประโยชน์ทดแทนกองทุนประกันสังคม,กำแพงเพชร,ราย
230,สำนักงานประกันสังคมจังหวัดกำแพงเพชร,4,2561,ตาย,ผู้ประกันตนเบิกจ่ายประโยชน์ทดแทนกองทุนประกันสังคม,กำแพงเพชร,ราย
6511,สำนักงานประกันสังคมจังหวัดกำแพงเพชร,5,2561,สงเคราะห์บุตร,ผู้ประกันตนเบิกจ่ายประโยชน์ทดแทนกองทุนประกันสังคม,กำแพงเพชร,ราย
3426,สำนักงานประกันสังคมจังหวัดกำแพงเพชร,6,2561,ชราภาพ,ผู้ประกันตนเบิกจ่ายประโยชน์ทดแทนกองทุนประกันสังคม,กำแพงเพชร,ราย
897,สำนักงานประกันสังคมจังหวัดกำแพงเพชร,7,2561,ว่างงาน,ผู้ประกันตนเบิกจ่ายประโยชน์ทดแทนกองทุนประกันสังคม,กำแพงเพชร,ราย
39768,สำนักงานประกันสังคมจังหวัดกำแพงเพชร,8,2562,เจ็บป่วย,ผู้ประกันตนเบิกจ่ายประโยชน์ทดแทนกองทุนประกันสังคม,กำแพงเพชร,ราย
1673,สำนักงานประกันสังคมจังหวัดกำแพงเพชร,9,2562,คลอดบุตร,ผู้ประกันตนเบิกจ่ายประโยชน์ทดแทนกองทุนประกันสังคม,กำแพงเพชร,ราย
153,สำนักงานประกันสังคมจังหวัดกำแพงเพชร,10,2562,ทุพพลภาพ,ผู้ประกันตนเบิกจ่ายประโยชน์ทดแทนกองทุนประกันสังคม,กำแพงเพชร,ราย
215,สำนักงานประกันสังคมจังหวัดกำแพงเพชร,11,2562,ตาย,ผู้ประกันตนเบิกจ่ายประโยชน์ทดแทนกองทุนประกันสังคม,กำแพงเพชร,ราย
7170,สำนักงานประกันสังคมจังหวัดกำแพงเพชร,12,2562,สงเคราะห์บุตร,ผู้ประกันตนเบิกจ่ายประโยชน์ทดแทนกองทุนประกันสังคม,กำแพงเพชร,ราย
3585,สำนักงานประกันสังคมจังหวัดกำแพงเพชร,13,2562,ชราภาพ,ผู้ประกันตนเบิกจ่ายประโยชน์ทดแทนกองทุนประกันสังคม,กำแพงเพชร,ราย
11681,สำนักงานประกันสังคมจังหวัดกำแพงเพชร,14,2562,ว่างงาน,ผู้ประกันตนเบิกจ่ายประโยชน์ทดแทนกองทุนประกันสังคม,กำแพงเพชร,ราย
19062,สำนักงานประกันสังคมจังหวัดกำแพงเพชร,15,2563,เจ็บป่วย,ผู้ประกันตนเบิกจ่ายประโยชน์ทดแทนกองทุนประกันสังคม,กำแพงเพชร,ราย
1647,สำนักงานประกันสังคมจังหวัดกำแพงเพชร,16,2563,คลอดบุตร,ผู้ประกันตนเบิกจ่ายประโยชน์ทดแทนกองทุนประกันสังคม,กำแพงเพชร,ราย
171,สำนักงานประกันสังคมจังหวัดกำแพงเพชร,17,2563,ทุพพลภาพ,ผู้ประกันตนเบิกจ่ายประโยชน์ทดแทนกองทุนประกันสังคม,กำแพงเพชร,ราย
239,สำนักงานประกันสังคมจังหวัดกำแพงเพชร,18,2563,ตาย,ผู้ประกันตนเบิกจ่ายประโยชน์ทดแทนกองทุนประกันสังคม,กำแพงเพชร,ราย
7302,สำนักงานประกันสังคมจังหวัดกำแพงเพชร,19,2563,สงเคราะห์บุตร,ผู้ประกันตนเบิกจ่ายประโยชน์ทดแทนกองทุนประกันสังคม,กำแพงเพชร,ราย
3912,สำนักงานประกันสังคมจังหวัดกำแพงเพชร,20,2563,ชราภาพ,ผู้ประกันตนเบิกจ่ายประโยชน์ทดแทนกองทุนประกันสังคม,กำแพงเพชร,ราย
21097,สำนักงานประกันสังคมจังหวัดกำแพงเพชร,21,2563,ว่างงาน,ผู้ประกันตนเบิกจ่ายประโยชน์ทดแทนกองทุนประกันสังคม,กำแพงเพชร,ราย
17269,สำนักงานประกันสังคมจังหวัดกำแพงเพชร,22,2564,เจ็บป่วย,ผู้ประกันตนเบิกจ่ายประโยชน์ทดแทนกองทุนประกันสังคม,กำแพงเพชร,ราย
1611,สำนักงานประกันสังคมจังหวัดกำแพงเพชร,23,2564,คลอดบุตร,ผู้ประกันตนเบิกจ่ายประโยชน์ทดแทนกองทุนประกันสังคม,กำแพงเพชร,ราย
189,สำนักงานประกันสังคมจังหวัดกำแพงเพชร,24,2564,ทุพพลภาพ,ผู้ประกันตนเบิกจ่ายประโยชน์ทดแทนกองทุนประกันสังคม,กำแพงเพชร,ราย
253,สำนักงานประกันสังคมจังหวัดกำแพงเพชร,25,2564,ตาย,ผู้ประกันตนเบิกจ่ายประโยชน์ทดแทนกองทุนประกันสังคม,กำแพงเพชร,ราย
7637,สำนักงานประกันสังคมจังหวัดกำแพงเพชร,26,2564,สงเคราะห์บุตร,ผู้ประกันตนเบิกจ่ายประโยชน์ทดแทนกองทุนประกันสังคม,กำแพงเพชร,ราย
4422,สำนักงานประกันสังคมจังหวัดกำแพงเพชร,27,2564,ชราภาพ,ผู้ประกันตนเบิกจ่ายประโยชน์ทดแทนกองทุนประกันสังคม,กำแพงเพชร,ราย
20914,สำนักงานประกันสังคมจังหวัดกำแพงเพชร,28,2564,ว่างงาน,ผู้ประกันตนเบิกจ่ายประโยชน์ทดแทนกองทุนประกันสังคม,กำแพงเพชร,ราย
