_id,ปี,จำนวนโรงงานแปรรูป,ตำบล,อำเภอ,หน่วยวัด
1,2568,3,มหาชัย,เมืองสมุทรสาคร,แห่ง
2,2568,1,โกรกกราก,เมืองสมุทรสาคร,แห่ง
3,2568,4,บ้านบ่อ,เมืองสมุทรสาคร,แห่ง
4,2568,5,บางโทรัด,เมืองสมุทรสาคร,แห่ง
5,2568,3,กาหลง,เมืองสมุทรสาคร,แห่ง
6,2568,1,นาโคก,เมืองสมุทรสาคร,แห่ง
7,2568,7,ท่าจีน,เมืองสมุทรสาคร,แห่ง
8,2568,22,นาดี,เมืองสมุทรสาคร,แห่ง
9,2568,24,ท่าทราย,เมืองสมุทรสาคร,แห่ง
10,2568,2,คอกกระบือ,เมืองสมุทรสาคร,แห่ง
11,2568,3,บางน้ำจืด,เมืองสมุทรสาคร,แห่ง
12,2568,2,พันท้ายนรสิงห์,เมืองสมุทรสาคร,แห่ง
13,2568,16,โคกขาม,เมืองสมุทรสาคร,แห่ง
14,2568,2,บ้านเกาะ,เมืองสมุทรสาคร,แห่ง
15,2568,10,บางกระเจ้า,เมืองสมุทรสาคร,แห่ง
16,2568,19,บางหญ้าแพรก,เมืองสมุทรสาคร,แห่ง
17,2568,4,ชัยมงคล,เมืองสมุทรสาคร,แห่ง
18,2568,1,อ้อมน้อย,กระทุ่มแบน,แห่ง
19,2568,1,ท่าไม้,กระทุ่มแบน,แห่ง
20,2568,3,คลองมะเดื่อ,กระทุ่มแบน,แห่ง
21,2568,2,แคราย,กระทุ่มแบน,แห่ง
