จำนวน,_id,ปี,จังหวัด,หน่วย
" 22,668 ",1,2563,ลำปาง,ไร่
" 20,953 ",2,2564,ลำปาง,ไร่
" 21,014 ",3,2565,ลำปาง,ไร่
" 17,902 ",4,2566,ลำปาง,ไร่
" 20,283 ",5,2567,ลำปาง,ไร่
" 19,688 ",6,2568,ลำปาง,ไร่
