เดือน,จำนวน,_id,ปี พ.ศ.,ประเภทรถ,ประเภทกฏหมาย
กรกฎาคม,42495,1,2565,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
กรกฎาคม,1455,2,2565,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,รถยนต์
กรกฎาคม,17412,3,2565,รย. 3 รถยนต์บรรทุกส่วนบุคคล,รถยนต์
กรกฎาคม,2,4,2565,รย. 4 รถยนต์สามล้อส่วนบุคคล,รถยนต์
กรกฎาคม,99,5,2565,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,รถยนต์
กรกฎาคม,29,6,2565,รย. 8 รถยนต์รับจ้างสามล้อ,รถยนต์
กรกฎาคม,4,7,2565,รย. 9 รถยนต์บริการธุรกิจ,รถยนต์
กรกฎาคม,7,8,2565,รย. 10 รถยนต์บริการทัศนาจร,รถยนต์
กรกฎาคม,3,9,2565,รย. 11 รถยนต์บริการให้เช่า,รถยนต์
กรกฎาคม,147601,10,2565,รย. 12 รถจักรยานยนต์,รถยนต์
กรกฎาคม,4806,11,2565,รย. 13 รถแทร็กเตอร์,รถยนต์
กรกฎาคม,80,12,2565,รย. 14 รถบดถนน,รถยนต์
กรกฎาคม,26,13,2565,รย. 15 รถใช้ในงานเกษตรกรรม,รถยนต์
กรกฎาคม,88,14,2565,รย. 16 รถพ่วง,รถยนต์
กรกฎาคม,85,15,2565,รย. 17 รถจักรยานยนต์สาธารณะ,รถยนต์
กรกฎาคม,84,16,2565,รถโดยสารประจำทาง,รถขนส่ง
กรกฎาคม,211,17,2565,รถโดยสารไม่ประจำทาง,รถขนส่ง
กรกฎาคม,35,18,2565,รถโดยสารส่วนบุคคล,รถขนส่ง
กรกฎาคม,3061,19,2565,รถบรรทุกไม่ประจำทาง,รถขนส่ง
กรกฎาคม,2984,20,2565,รถบรรทุกส่วนบุคคล,รถขนส่ง
