﻿year,sex,quarter,_id,area,region,value,unit,age_group,source
2561,ชาย,ไตรมาส 1,37,ในเขตเทศบาล,ทั่วประเทศ,74.33,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,38,ในเขตเทศบาล,ทั่วประเทศ,17.52,ร้อยละ,15-19 ปี,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,39,ในเขตเทศบาล,ทั่วประเทศ,59.44,ร้อยละ,20-24 ปี,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,40,ในเขตเทศบาล,ทั่วประเทศ,89.91,ร้อยละ,25-29 ปี,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,41,ในเขตเทศบาล,ทั่วประเทศ,93.92,ร้อยละ,30-34 ปี,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,42,ในเขตเทศบาล,ทั่วประเทศ,94.6,ร้อยละ,35-39 ปี,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,43,ในเขตเทศบาล,ทั่วประเทศ,94.7,ร้อยละ,40-49 ปี,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,44,ในเขตเทศบาล,ทั่วประเทศ,88.13,ร้อยละ,50-59 ปี,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,45,ในเขตเทศบาล,ทั่วประเทศ,38.53,ร้อยละ,60 ปีขึ้นไป,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,46,ในเขตเทศบาล,ทั่วประเทศ,59.69,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,47,ในเขตเทศบาล,ทั่วประเทศ,10.08,ร้อยละ,15-19 ปี,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,48,ในเขตเทศบาล,ทั่วประเทศ,46.5,ร้อยละ,20-24 ปี,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,49,ในเขตเทศบาล,ทั่วประเทศ,81.89,ร้อยละ,25-29 ปี,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,50,ในเขตเทศบาล,ทั่วประเทศ,83.33,ร้อยละ,30-34 ปี,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,51,ในเขตเทศบาล,ทั่วประเทศ,80.92,ร้อยละ,35-39 ปี,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,52,ในเขตเทศบาล,ทั่วประเทศ,79.82,ร้อยละ,40-49 ปี,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,53,ในเขตเทศบาล,ทั่วประเทศ,67.94,ร้อยละ,50-59 ปี,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,54,ในเขตเทศบาล,ทั่วประเทศ,24.28,ร้อยละ,60 ปีขึ้นไป,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 1,55,นอกเขตเทศบาล,ทั่วประเทศ,66.39,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 1,56,นอกเขตเทศบาล,ทั่วประเทศ,18.3,ร้อยละ,15-19 ปี,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 1,57,นอกเขตเทศบาล,ทั่วประเทศ,64.44,ร้อยละ,20-24 ปี,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 1,58,นอกเขตเทศบาล,ทั่วประเทศ,81.77,ร้อยละ,25-29 ปี,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 1,59,นอกเขตเทศบาล,ทั่วประเทศ,85.43,ร้อยละ,30-34 ปี,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 1,60,นอกเขตเทศบาล,ทั่วประเทศ,87.78,ร้อยละ,35-39 ปี,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 1,61,นอกเขตเทศบาล,ทั่วประเทศ,86.81,ร้อยละ,40-49 ปี,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 1,62,นอกเขตเทศบาล,ทั่วประเทศ,79.95,ร้อยละ,50-59 ปี,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 1,63,นอกเขตเทศบาล,ทั่วประเทศ,38.51,ร้อยละ,60 ปีขึ้นไป,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,64,นอกเขตเทศบาล,ทั่วประเทศ,75.9,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,65,นอกเขตเทศบาล,ทั่วประเทศ,25.71,ร้อยละ,15-19 ปี,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,66,นอกเขตเทศบาล,ทั่วประเทศ,75.02,ร้อยละ,20-24 ปี,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,67,นอกเขตเทศบาล,ทั่วประเทศ,91.15,ร้อยละ,25-29 ปี,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,68,นอกเขตเทศบาล,ทั่วประเทศ,93.42,ร้อยละ,30-34 ปี,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,69,นอกเขตเทศบาล,ทั่วประเทศ,93.1,ร้อยละ,35-39 ปี,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,70,นอกเขตเทศบาล,ทั่วประเทศ,93.89,ร้อยละ,40-49 ปี,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,71,นอกเขตเทศบาล,ทั่วประเทศ,90.84,ร้อยละ,50-59 ปี,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,72,นอกเขตเทศบาล,ทั่วประเทศ,50.26,ร้อยละ,60 ปีขึ้นไป,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,73,นอกเขตเทศบาล,ทั่วประเทศ,57.38,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,74,นอกเขตเทศบาล,ทั่วประเทศ,10.48,ร้อยละ,15-19 ปี,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,75,นอกเขตเทศบาล,ทั่วประเทศ,53.39,ร้อยละ,20-24 ปี,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,76,นอกเขตเทศบาล,ทั่วประเทศ,71.83,ร้อยละ,25-29 ปี,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,77,นอกเขตเทศบาล,ทั่วประเทศ,77.06,ร้อยละ,30-34 ปี,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,78,นอกเขตเทศบาล,ทั่วประเทศ,82.53,ร้อยละ,35-39 ปี,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,79,นอกเขตเทศบาล,ทั่วประเทศ,80.15,ร้อยละ,40-49 ปี,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,80,นอกเขตเทศบาล,ทั่วประเทศ,69.96,ร้อยละ,50-59 ปี,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไตรมาส 1,81,นอกเขตเทศบาล,ทั่วประเทศ,28.76,ร้อยละ,60 ปีขึ้นไป,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 1,82,ในเขตเทศบาล,กรุงเทพมหานคร,69.03,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 1,83,ในเขตเทศบาล,กรุงเทพมหานคร,14.43,ร้อยละ,15-19 ปี,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 1,84,ในเขตเทศบาล,กรุงเทพมหานคร,47.44,ร้อยละ,20-24 ปี,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 1,85,ในเขตเทศบาล,กรุงเทพมหานคร,86.98,ร้อยละ,25-29 ปี,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 1,86,ในเขตเทศบาล,กรุงเทพมหานคร,88.97,ร้อยละ,30-34 ปี,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 1,87,ในเขตเทศบาล,กรุงเทพมหานคร,87.12,ร้อยละ,35-39 ปี,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 1,88,ในเขตเทศบาล,กรุงเทพมหานคร,87.15,ร้อยละ,40-49 ปี,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 1,89,ในเขตเทศบาล,กรุงเทพมหานคร,74.69,ร้อยละ,50-59 ปี,สำนักงานสถิติแห่งชาติ
2561,รวม,ไตรมาส 1,90,ในเขตเทศบาล,กรุงเทพมหานคร,22.44,ร้อยละ,60 ปีขึ้นไป,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,91,ในเขตเทศบาล,กรุงเทพมหานคร,76.25,ร้อยละ,รวม,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,92,ในเขตเทศบาล,กรุงเทพมหานคร,20.18,ร้อยละ,15-19 ปี,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไตรมาส 1,93,ในเขตเทศบาล,กรุงเทพมหานคร,50.35,ร้อยละ,20-24 ปี,สำนักงานสถิติแห่งชาติ
