จำนวน,_id,ADM2_TH
บางละมุง,1,บางละมุง
บ่อทอง,2,บ่อทอง
บ้านบึง,3,บ้านบึง
พนัสนิคม,4,พนัสนิคม
พานทอง,5,พานทอง
ศรีราชา,6,ศรีราชา
สัตหีบ,7,สัตหีบ
หนองใหญ่,8,หนองใหญ่
เกาะจันทร์,9,เกาะจันทร์
เกาะสีชัง,10,เกาะสีชัง
เมืองชลบุรี,11,เมืองชลบุรี
