ค่าข้อมูล,ที่มา,_id,ปี,อำเภอ,หน่วยวัด
0,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,1,2561,เมืองประจวบคีรีขันธ์,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,2,2561,กุยบุรี,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,3,2561,ทับสะแก,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,4,2561,บางสะพาน,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,5,2561,บางสะพานน้อย,แห่ง
1,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,6,2561,ปราณบุรี,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,7,2561,หัวหิน,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,8,2561,สามร้อยยอด,แห่ง
2,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,9,2562,เมืองประจวบคีรีขันธ์,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,10,2562,กุยบุรี,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,11,2562,ทับสะแก,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,12,2562,บางสะพาน,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,13,2562,บางสะพานน้อย,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,14,2562,ปราณบุรี,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,15,2562,หัวหิน,แห่ง
2,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,16,2562,สามร้อยยอด,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,17,2563,เมืองประจวบคีรีขันธ์,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,18,2563,กุยบุรี,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,19,2563,ทับสะแก,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,20,2563,บางสะพาน,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,21,2563,บางสะพานน้อย,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,22,2563,ปราณบุรี,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,23,2563,หัวหิน,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,24,2563,สามร้อยยอด,แห่ง
1,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,25,2564,เมืองประจวบคีรีขันธ์,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,26,2564,กุยบุรี,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,27,2564,ทับสะแก,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,28,2564,บางสะพาน,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,29,2564,บางสะพานน้อย,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,30,2564,ปราณบุรี,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,31,2564,หัวหิน,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,32,2564,สามร้อยยอด,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,33,2565,เมืองประจวบคีรีขันธ์,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,34,2565,กุยบุรี,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,35,2565,ทับสะแก,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,36,2565,บางสะพาน,แห่ง
0,สำนักงานอุตสาหกรรมจังหวัดประจวบคีรีขันธ์,37,2565,บางสะพานน้อย,แห่ง
