_id,เลขทะเบียนโรงงาน,ลำดับ,ชื่อโรงงาน
58,น.88(2)-1/2538-ญนพ.,58,บริษัท โกลว์ พลังงาน จำกัด (มหาชน)
59,น.88(2)-1/2541-ญทร.,59,บริษัท โกลว์ เอสพีพี 3 จำกัด
60,น.88(2)-1/2552-ญนพ.,60,บริษัท โกลว์ พลังงาน จำกัด (มหาชน)
61,น.88(2)-2/2544-ญทร.,61,บริษัท บีแอลซีพี เพาเวอร์ จำกัด
62,น.88(2)-2/2552-ญนพ.,62,บริษัท โกลว์ เอสพีพี 2 จำกัด
63,น.88(2)-3/2540-ญนพ.,63,บริษัท บางกอก โคเจนเนอเรชั่น จำกัด
64,น.89-1/2533-ญนพ.,64,บริษัท บางกอกอินดัสเทรียลแก๊ส จำกัด
65,น.89-1/2536-ญนพ.,65,บริษัท ลินเด้ (ประเทศไทย) จำกัด (มหาชน)
66,น.89-3/2537-ญนพ.,66,บริษัท บางกอกอินดัสเทรียลแก๊ส จำกัด
67,น.89-4/2542-ญนพ.,67,บริษัท แอร์ ลิควิด (ประเทศไทย) จำกัด
68,น.90-1/2551-นนพ.,68,บริษัท โกลบอล ยูทิลิตี้ เซอร์วิส จำกัด
69,น.91(2)-2/2551-ญนพ.,69,บริษัท พีทีที แอลเอ็นจี จำกัด
70,น.42(1)-1/2550-นอล.,70,บริษัท มาบตาพุดโอเลฟินส์ จำกัด
71,น.42(1)-1/2558-ญอล.,71,บริษัท ไทยโพลิเอททีลีน จำกัด
72,น.42(1)-4/2549-ญอล.,72,บริษัท พีทีที โกลบอล เคมิคอล จำกัด (มหาชน)
73,น.42(1)-4/2550-นอล.,73,บริษัท ไทยโพลิเอททีลีน จำกัด
74,น.53(5)-1/2552-ญอล.,74,บริษัท เเกรนด์ สยาม คอมโพสิต จำกัด
75,น.42(1)-1/2556-ญอซ.,75,บริษัท พีทีที เอ็มซีซี ไบโอเคม จำกัด
76,น.42(1)-2/2547-ญอซ.,76,บริษัท อินโดรามา ปิโตรเคม จำกัด
77,น.42(1)-3/2544-ญอซ.,77,บริษัท เอเชีย ซิลิโคนส์ โมโนเมอร์ จำกัด
78,น.42(1)-3/2552-ญอซ.,78,บริษัท โซลเวย์ เพอรอกซิไทย จำกัด
79,น.42(1)-3/2559-ญอซ.,79,บริษัท โททาล คอร์เบียน พีแอลเอ (ประเทศไทย) จำกัด
80,น.42(1)-4/2548-ญอซ.,80,บริษัท พูแรค (ประเทศไทย) จำกัด
81,น.42(1)-4/2554-ญอซ.,81,บริษัท ดาว เคมิคอล ประเทศไทย จำกัด
82,น.42(1)-5/2545-ญอซ.,82,บริษัท ชิน-เอทซุ ซิลิโคนส์ (ประเทศไทย) จำกัด
83,น.42(1)-6/2545-ญอซ.,83,บริษัท ชิน-เอทซุ นิวแมททีเรียลส์ (ประเทศไทย) จำกัด
84,น.42(1)-6/2551-ญอซ.,84,บริษัท สยามเลเทกซ์สังเคราะห์ จำกัด
85,น.42(1)-7/2545-นอซ.,85,บริษัท โมเมนทีฟ เพอร์ฟอร์แมนซ์ แมททีเรียลส์ (ประเทศไทย) จำกัด
86,น.42(1)-9/2549-ญอซ.,86,บริษัท เอ็มทีพี เอชพีพีโอ แมนูแฟคเจอริ่ง จำกัด
87,น.88-1/2553-ญอซ.,87,บริษัท โกลว์ พลังงาน จำกัด (มหาชน)
88,น.89-1/2553-ญอซ.,88,บริษัท เอ็มทีพี เอชพี เจวี (ประเทศไทย) จำกัด
89,3-34(1)-1/42รย,89,บริษัท ดับเบิลยูทีซี คอร์ปอเรชั่น จำกัด
90,จ3-63(2)-52/58รย,90,บริษัท รีนิวคอยส์ เอ็นจิเนียริ่ง แอนด์ ซัพพลาย จำกัด
91,จ3-64(13)-101/60รย,91,บริษัท เทคนิคคอล ไทย เซอร์วิส จำกัด
92,3-90-1/63รย,92,บริษัท จัดการและพัฒนาทรัพยากรน้ำภาคตะวันออก จำกัด (มหาชน)
93,3-90-2/63รย,93,บริษัท จัดการและพัฒนาทรัพยากรน้ำภาคตะวันออก จำกัด (มหาชน)
94,3-42(1)-18/51รย,94,บริษัท พร้อมมาศ จำกัด
95,3-53(5)-6/60รย,95,บริษัท ด๊อกเตอร์ โบลโมลดิ้ง จำกัด
96,จ3-53(5)-7/51รย,96,บริษัท คาทูน นาที เซอร์วิสเซส (ประเทศไทย) จำกัด
97,จ3-64(11)-1/43รย,97,บริษัท รวมเศษ จำกัด
98,จ3-64(13)-34/60รย,98,บริษัท สยามอีสต์ โซลูชั่น จำกัด (มหาชน)
99,จ3-89-1/62รย,99,บริษัท ไทย ไบโอแก๊ซ เอ็นเนอร์ยี่ จำกัด
100,จ3-68-11/61รย,100,บริษัท จีซี เมนเทนแนนซ์ แอนด์ เอนจิเนียริง จำกัด
101,3-88(2)-66/53รย,101,บริษัท โกลบอล เพาเวอร์ ซินเนอร์ยี่ จำกัด (มหาชน)
102,3-89-1/29รย,102,โรงแยกก๊าซธรรมชาติอีเทน
103,3-89-1/33รย,103,บริษัท พีทีที โกลบอล เคมิคอล จำกัด (มหาชน)
104,3-90-6/49รย,104,บริษัท โกลบอล เพาเวอร์ ซินเนอร์ยี่ จำกัด (มหาชน)
105,จ3-90-4/49รย,105,บริษัท พีทีที โกลบอล เคมิคอล จำกัด (มหาชน)
106,จ3-91(1)-1/53รย,106,บริษัท จีซี โลจิสติกส์ โซลูชั่นส์ จำกัด
107,จ3-64(13)-7/63รย,107,บริษัท ดาคอน อินสเป็คชั่น เทคโนโลยีส์ จำกัด
108,3-8(1)-1/23รย,108,บริษัท สยามอุตสาหกรรมการเกษตร สับปะรดและอื่น ๆ จำกัด (มหาชน)
109,3-22(2)-1/40รย,109,บริษัท ทุนเท็กซ์ เท็กซ์ไทล์ (ประเทศไทย) จำกัด
110,3-42(1)-1/40รย,110,บริษัท อีโอซี โพลิเมอร์ส (ไทยแลนด์) จำกัด
111,3-42(1)-19/51รย,111,บริษัท เซ้าท์ ซิตี้ ปิโตรเคม จำกัด
112,ส3-63(2)-1/26รย,112,บริษัท เอเซี่ยนสติล โปรดักส์ จำกัด
113,3-88(2)-1/44รย,113,บริษัท เอ็กโก โคเจนเนอเรชั่น จำกัด
114,น.11(6)-1/2546-ญหอ.,114,บริษัท เอ็มซีแอลเอส เอเชีย จำกัด
115,น.42(1)-1/2551-ญหอ.,115,บริษัท พีทีที อาซาฮี เคมิคอล จำกัด
116,น.42(1)-2/2546-ญหอ.,116,บริษัท ไทย เพ็ท เรซิน จำกัด
117,น.42(1)-2/2550-ญหอ.,117,บริษัท เคแอลเจ ออร์เเกนนิค (ประเทศไทย) จำกัก
118,น.42(1)-2/2555-ญหอ.,118,บริษัท โซลเวย์ (ประเทศไทย) จำกัด
119,น.42(1)-2/2557-ญหอ.,119,บริษัท เซกิซุย สเปเชียลตี้ เคมิคอลส์ (ประเทศไทย) จำกัด
120,น.42(1)-3/2556-ญหอ.,120,บริษัท เอส แอนด์ แอล สเปเชียลตี้ โพลิเมอร์ จำกัด
121,น.42(1)-5/2540-ญหอ.,121,บริษัท อดิตยา เบอร์ล่า เคมีคัลส์ (ประเทศไทย) จำกัด
122,น.42(1)-5/2541-ญหอ.,122,บริษัท เซออน เคมิคัลส์ (ไทยแลนด์) จำกัด
123,น.42(1)-5/2559-ญหอ.,123,บริษัท อี-โคทติ้งส์ เอเชีย จำกัด
124,น.42(1)-6/2540-ญหอ.,124,บริษัท ออลเน็กซ์ (ประเทศไทย) จำกัด
125,น.42(1)-6/2541-ญหอ.,125,บริษัท จีซี-เอ็ม พีทีเอ จำกัด
126,น.42(1)-6/2542-ญหอ.,126,บริษัท อาราคาวา เคมิคัล (ไทยแลนด์) จำกัด
127,น.48(3)-3/2540-ญหอ.,127,บริษัท คาร์ไบด์ เคมิคอล (ประเทศไทย) จำกัด
128,น.48(11)-1/2540-ญหอ.,128,บริษัท ร็อควูล (ประเทศไทย) จำกัด
129,น.59-2/2541-นหอ.,129,บริษัท เอ็นเอส-สยามยูไนเต็ดสตีล จำกัด
130,น.59-2/2550-ญหอ.,130,บริษัท เหล็กสยามยามาโตะ จำกัด
131,น.63(2)-1/2545-ญหอ.,131,บริษัท เอ็นเอส บลูสโคป ไลสาจท์ (ประเทศไทย) จำกัด
