_id,ข้อมูล,ตำบล,อำเภอ,รายการ,หน่วยวัด,จังหวัด
1,1,ต.ในเมือง,อ.เมืองนครราชสีมา,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
2,,ต.โพธิ์กลาง,อ.เมืองนครราชสีมา,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
3,,ต.หนองจะบก,อ.เมืองนครราชสีมา,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
4,3,ต.โคกสูง,อ.เมืองนครราชสีมา,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
5,,ต.มะเริง,อ.เมืองนครราชสีมา,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
6,,ต.หนองระเวียง,อ.เมืองนครราชสีมา,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
7,,ต.ปรุใหญ่,อ.เมืองนครราชสีมา,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
8,,ต.หมื่นไวย,อ.เมืองนครราชสีมา,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
9,,ต.พลกรัง,อ.เมืองนครราชสีมา,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
10,,ต.หนองไผ่ล้อม,อ.เมืองนครราชสีมา,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
11,1,ต.หัวทะเล,อ.เมืองนครราชสีมา,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
12,,ต.บ้านเกาะ,อ.เมืองนครราชสีมา,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
13,,ต.บ้านใหม่,อ.เมืองนครราชสีมา,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
14,,ต.พุดซา,อ.เมืองนครราชสีมา,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
15,,ต.บ้านโพธิ์,อ.เมืองนครราชสีมา,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
16,1,ต.จอหอ,อ.เมืองนครราชสีมา,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
17,1,ตโคกกรวด,อ.เมืองนครราชสีมา,จำนวนโรงงานที่มีการผลิตและการแปรูปสินค้าเกษตร,แห่ง,จ.นครราชสีมา
