จำนวน,_id,ปี,ชนิดรถ,รายการ,ประเภทรถ,หน่วย
1129,1,2561,รวม,รถจดทะเบียน (สะสม) ,รถโดยสาร,คัน
294,2,2561,ประจำทาง,รถจดทะเบียน (สะสม) ,รถโดยสาร,คัน
730,3,2561,ไม่ประจำทาง,รถจดทะเบียน (สะสม) ,รถโดยสาร,คัน
105,4,2561,ส่วนบุคคล,รถจดทะเบียน (สะสม) ,รถโดยสาร,คัน
31970,5,2561,รวม,รถจดทะเบียน (สะสม) ,รถบรรทุก,คัน
12067,6,2561,ไม่ประจำทาง,รถจดทะเบียน (สะสม) ,รถบรรทุก,คัน
19903,7,2561,ส่วนบุคคล,รถจดทะเบียน (สะสม) ,รถบรรทุก,คัน
,8,2561,รถขนาดเล็ก,รถจดทะเบียน (สะสม) ,รถขนาดเล็ก,คัน
1153,9,2562,รวม,รถจดทะเบียน (สะสม) ,รถโดยสาร,คัน
283,10,2562,ประจำทาง,รถจดทะเบียน (สะสม) ,รถโดยสาร,คัน
764,11,2562,ไม่ประจำทาง,รถจดทะเบียน (สะสม) ,รถโดยสาร,คัน
106,12,2562,ส่วนบุคคล,รถจดทะเบียน (สะสม) ,รถโดยสาร,คัน
32690,13,2562,รวม,รถจดทะเบียน (สะสม) ,รถบรรทุก,คัน
12522,14,2562,ไม่ประจำทาง,รถจดทะเบียน (สะสม) ,รถบรรทุก,คัน
20168,15,2562,ส่วนบุคคล,รถจดทะเบียน (สะสม) ,รถบรรทุก,คัน
,16,2562,รถขนาดเล็ก,รถจดทะเบียน (สะสม) ,รถขนาดเล็ก,คัน
737,17,2563,รวม,รถจดทะเบียน (สะสม) ,รถโดยสาร,คัน
164,18,2563,ประจำทาง,รถจดทะเบียน (สะสม) ,รถโดยสาร,คัน
520,19,2563,ไม่ประจำทาง,รถจดทะเบียน (สะสม) ,รถโดยสาร,คัน
53,20,2563,ส่วนบุคคล,รถจดทะเบียน (สะสม) ,รถโดยสาร,คัน
26594,21,2563,รวม,รถจดทะเบียน (สะสม) ,รถบรรทุก,คัน
11419,22,2563,ไม่ประจำทาง,รถจดทะเบียน (สะสม) ,รถบรรทุก,คัน
15175,23,2563,ส่วนบุคคล,รถจดทะเบียน (สะสม) ,รถบรรทุก,คัน
,24,2563,รถขนาดเล็ก,รถจดทะเบียน (สะสม) ,รถขนาดเล็ก,คัน
755,25,2564,รวม,รถจดทะเบียน (สะสม) ,รถโดยสาร,คัน
142,26,2564,ประจำทาง,รถจดทะเบียน (สะสม) ,รถโดยสาร,คัน
549,27,2564,ไม่ประจำทาง,รถจดทะเบียน (สะสม) ,รถโดยสาร,คัน
64,28,2564,ส่วนบุคคล,รถจดทะเบียน (สะสม) ,รถโดยสาร,คัน
30164,29,2564,รวม,รถจดทะเบียน (สะสม) ,รถบรรทุก,คัน
12733,30,2564,ไม่ประจำทาง,รถจดทะเบียน (สะสม) ,รถบรรทุก,คัน
17431,31,2564,ส่วนบุคคล,รถจดทะเบียน (สะสม) ,รถบรรทุก,คัน
,32,2564,รถขนาดเล็ก,รถจดทะเบียน (สะสม) ,รถขนาดเล็ก,คัน
743,33,2565,รวม,รถจดทะเบียน (สะสม) ,รถโดยสาร,คัน
168,34,2565,ประจำทาง,รถจดทะเบียน (สะสม) ,รถโดยสาร,คัน
494,35,2565,ไม่ประจำทาง,รถจดทะเบียน (สะสม) ,รถโดยสาร,คัน
81,36,2565,ส่วนบุคคล,รถจดทะเบียน (สะสม) ,รถโดยสาร,คัน
31513,37,2565,รวม,รถจดทะเบียน (สะสม) ,รถบรรทุก,คัน
14600,38,2565,ไม่ประจำทาง,รถจดทะเบียน (สะสม) ,รถบรรทุก,คัน
16913,39,2565,ส่วนบุคคล,รถจดทะเบียน (สะสม) ,รถบรรทุก,คัน
,40,2565,รถขนาดเล็ก,รถจดทะเบียน (สะสม) ,รถขนาดเล็ก,คัน
681,41,2566,รวม,รถจดทะเบียน (สะสม) ,รถโดยสาร,คัน
160,42,2566,ประจำทาง,รถจดทะเบียน (สะสม) ,รถโดยสาร,คัน
438,43,2566,ไม่ประจำทาง,รถจดทะเบียน (สะสม) ,รถโดยสาร,คัน
83,44,2566,ส่วนบุคคล,รถจดทะเบียน (สะสม) ,รถโดยสาร,คัน
32265,45,2566,รวม,รถจดทะเบียน (สะสม) ,รถบรรทุก,คัน
15464,46,2566,ไม่ประจำทาง,รถจดทะเบียน (สะสม) ,รถบรรทุก,คัน
16801,47,2566,ส่วนบุคคล,รถจดทะเบียน (สะสม) ,รถบรรทุก,คัน
,48,2566,รถขนาดเล็ก,รถจดทะเบียน (สะสม) ,รถขนาดเล็ก,คัน
820,49,2567,รวม,รถจดทะเบียน (สะสม) ,รถโดยสาร,คัน
187,50,2567,ประจำทาง,รถจดทะเบียน (สะสม) ,รถโดยสาร,คัน
532,51,2567,ไม่ประจำทาง,รถจดทะเบียน (สะสม) ,รถโดยสาร,คัน
101,52,2567,ส่วนบุคคล,รถจดทะเบียน (สะสม) ,รถโดยสาร,คัน
35927,53,2567,รวม,รถจดทะเบียน (สะสม) ,รถบรรทุก,คัน
16326,54,2567,ไม่ประจำทาง,รถจดทะเบียน (สะสม) ,รถบรรทุก,คัน
19601,55,2567,ส่วนบุคคล,รถจดทะเบียน (สะสม) ,รถบรรทุก,คัน
4,56,2567,รถขนาดเล็ก,รถจดทะเบียน (สะสม) ,รถขนาดเล็ก,คัน
