﻿year,sex,level_of_edu,quarter,_id,area,region,value,unit,source
2561,รวม,รวม,ไตรมาสที่ 1,1,รวม,ทั่วประเทศ,14357,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2561,รวม,ไม่มีการศึกษา,ไตรมาสที่ 1,2,รวม,ทั่วประเทศ,7846,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2561,รวม,ต่ำกว่าประถมศึกษา,ไตรมาสที่ 1,3,รวม,ทั่วประเทศ,7974,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2561,รวม,ประถมศึกษา,ไตรมาสที่ 1,4,รวม,ทั่วประเทศ,8730,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2561,รวม,มัธยมศึกษาตอนต้น,ไตรมาสที่ 1,5,รวม,ทั่วประเทศ,9831,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2561,รวม,มัธยมศึกษาตอนปลาย สายสามัญ,ไตรมาสที่ 1,6,รวม,ทั่วประเทศ,11099,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2561,รวม,มัธยมศึกษาตอนปลาย สายอาชีวศึกษา,ไตรมาสที่ 1,7,รวม,ทั่วประเทศ,13602,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2561,รวม,มัธยมศึกษาตอนปลาย สายวิชาการศึกษา,ไตรมาสที่ 1,8,รวม,ทั่วประเทศ,10217,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2561,รวม,อุดมศึกษา สายวิชาการ,ไตรมาสที่ 1,9,รวม,ทั่วประเทศ,25568,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2561,รวม,อุดมศึกษา สายวิชาชีพ,ไตรมาสที่ 1,10,รวม,ทั่วประเทศ,16628,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2561,รวม,อุดมศึกษา สายวิชาการศึกษา,ไตรมาสที่ 1,11,รวม,ทั่วประเทศ,23703,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2561,รวม,การศึกษาอื่นๆ และไม่ทราบ,ไตรมาสที่ 1,12,รวม,ทั่วประเทศ,10337,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2561,ชาย,รวม,ไตรมาสที่ 1,13,รวม,ทั่วประเทศ,14304,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2561,ชาย,ไม่มีการศึกษา,ไตรมาสที่ 1,14,รวม,ทั่วประเทศ,8278,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2561,ชาย,ต่ำกว่าประถมศึกษา,ไตรมาสที่ 1,15,รวม,ทั่วประเทศ,8556,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2561,ชาย,ประถมศึกษา,ไตรมาสที่ 1,16,รวม,ทั่วประเทศ,9153,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2561,ชาย,มัธยมศึกษาตอนต้น,ไตรมาสที่ 1,17,รวม,ทั่วประเทศ,10222,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2561,ชาย,มัธยมศึกษาตอนปลาย สายสามัญ,ไตรมาสที่ 1,18,รวม,ทั่วประเทศ,11785,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2561,ชาย,มัธยมศึกษาตอนปลาย สายอาชีวศึกษา,ไตรมาสที่ 1,19,รวม,ทั่วประเทศ,14630,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2561,ชาย,มัธยมศึกษาตอนปลาย สายวิชาการศึกษา,ไตรมาสที่ 1,20,รวม,ทั่วประเทศ,10217,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2561,ชาย,อุดมศึกษา สายวิชาการ,ไตรมาสที่ 1,21,รวม,ทั่วประเทศ,28841,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2561,ชาย,อุดมศึกษา สายวิชาชีพ,ไตรมาสที่ 1,22,รวม,ทั่วประเทศ,17516,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2561,ชาย,อุดมศึกษา สายวิชาการศึกษา,ไตรมาสที่ 1,23,รวม,ทั่วประเทศ,25347,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2561,ชาย,การศึกษาอื่นๆ และไม่ทราบ,ไตรมาสที่ 1,24,รวม,ทั่วประเทศ,10592,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2561,หญิง,รวม,ไตรมาสที่ 1,25,รวม,ทั่วประเทศ,14419,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2561,หญิง,ไม่มีการศึกษา,ไตรมาสที่ 1,26,รวม,ทั่วประเทศ,7292,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2561,หญิง,ต่ำกว่าประถมศึกษา,ไตรมาสที่ 1,27,รวม,ทั่วประเทศ,7231,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2561,หญิง,ประถมศึกษา,ไตรมาสที่ 1,28,รวม,ทั่วประเทศ,8028,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2561,หญิง,มัธยมศึกษาตอนต้น,ไตรมาสที่ 1,29,รวม,ทั่วประเทศ,9191,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2561,หญิง,มัธยมศึกษาตอนปลาย สายสามัญ,ไตรมาสที่ 1,30,รวม,ทั่วประเทศ,10234,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2561,หญิง,มัธยมศึกษาตอนปลาย สายอาชีวศึกษา,ไตรมาสที่ 1,31,รวม,ทั่วประเทศ,11880,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2561,หญิง,มัธยมศึกษาตอนปลาย สายวิชาการศึกษา,ไตรมาสที่ 1,32,รวม,ทั่วประเทศ,0,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2561,หญิง,อุดมศึกษา สายวิชาการ,ไตรมาสที่ 1,33,รวม,ทั่วประเทศ,23323,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2561,หญิง,อุดมศึกษา สายวิชาชีพ,ไตรมาสที่ 1,34,รวม,ทั่วประเทศ,15493,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2561,หญิง,อุดมศึกษา สายวิชาการศึกษา,ไตรมาสที่ 1,35,รวม,ทั่วประเทศ,22983,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2561,หญิง,การศึกษาอื่นๆ และไม่ทราบ,ไตรมาสที่ 1,36,รวม,ทั่วประเทศ,9967,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
2561,รวม,รวม,ไตรมาสที่ 1,37,ในเขตเทศบาล,ทั่วประเทศ,16484,บาทต่อเดือน,สำนักงานสถิติแห่งชาติ
