_id,ปี,ร้อยละ,ประเภทค่าใช้จ่าย,ขนาดครัวเรือน(คน),หน่วย
1,2566,-,ค่าใช้จ่ายทั้งสิ้นเฉลี่ยต่อเดือนต่อครัวเรือน,1-2,เปอร์เซ็นต์
2,2566,1.2,ค่าใช้จ่ายทั้งสิ้นเฉลี่ยต่อเดือนต่อครัวเรือน,1-2,เปอร์เซ็นต์
3,2566,16.5,ค่าใช้จ่ายทั้งสิ้นเฉลี่ยต่อเดือนต่อครัวเรือน,1-2,เปอร์เซ็นต์
4,2566,30.3,ค่าใช้จ่ายทั้งสิ้นเฉลี่ยต่อเดือนต่อครัวเรือน,1-2,เปอร์เซ็นต์
5,2566,43.6,ค่าใช้จ่ายทั้งสิ้นเฉลี่ยต่อเดือนต่อครัวเรือน,1-2,เปอร์เซ็นต์
6,2566,8,ค่าใช้จ่ายทั้งสิ้นเฉลี่ยต่อเดือนต่อครัวเรือน,1-2,เปอร์เซ็นต์
7,2566,0.5,ค่าใช้จ่ายทั้งสิ้นเฉลี่ยต่อเดือนต่อครัวเรือน,1-2,เปอร์เซ็นต์
8,2566,-,ค่าใช้จ่ายทั้งสิ้นเฉลี่ยต่อเดือนต่อคน,1-2,เปอร์เซ็นต์
9,2566,-,ค่าใช้จ่ายทั้งสิ้นเฉลี่ยต่อเดือนต่อคน,1-2,เปอร์เซ็นต์
10,2566,1.3,ค่าใช้จ่ายทั้งสิ้นเฉลี่ยต่อเดือนต่อคน,1-2,เปอร์เซ็นต์
11,2566,23,ค่าใช้จ่ายทั้งสิ้นเฉลี่ยต่อเดือนต่อคน,1-2,เปอร์เซ็นต์
12,2566,34.2,ค่าใช้จ่ายทั้งสิ้นเฉลี่ยต่อเดือนต่อคน,1-2,เปอร์เซ็นต์
13,2566,37.5,ค่าใช้จ่ายทั้งสิ้นเฉลี่ยต่อเดือนต่อคน,1-2,เปอร์เซ็นต์
14,2566,4,ค่าใช้จ่ายทั้งสิ้นเฉลี่ยต่อเดือนต่อคน,1-2,เปอร์เซ็นต์
15,2566,0.1,ค่าใช้จ่ายทั้งสิ้นเฉลี่ยต่อเดือนต่อคน,1-2,เปอร์เซ็นต์
16,2566,-,ค่าใช้จ่ายทั้งสิ้นเฉลี่ยต่อเดือนต่อครัวเรือน,3-4,เปอร์เซ็นต์
17,2566,-,ค่าใช้จ่ายทั้งสิ้นเฉลี่ยต่อเดือนต่อครัวเรือน,3-4,เปอร์เซ็นต์
18,2566,0.5,ค่าใช้จ่ายทั้งสิ้นเฉลี่ยต่อเดือนต่อครัวเรือน,3-4,เปอร์เซ็นต์
19,2566,16.5,ค่าใช้จ่ายทั้งสิ้นเฉลี่ยต่อเดือนต่อครัวเรือน,3-4,เปอร์เซ็นต์
20,2566,54.7,ค่าใช้จ่ายทั้งสิ้นเฉลี่ยต่อเดือนต่อครัวเรือน,3-4,เปอร์เซ็นต์
21,2566,21.7,ค่าใช้จ่ายทั้งสิ้นเฉลี่ยต่อเดือนต่อครัวเรือน,3-4,เปอร์เซ็นต์
22,2566,6.6,ค่าใช้จ่ายทั้งสิ้นเฉลี่ยต่อเดือนต่อครัวเรือน,3-4,เปอร์เซ็นต์
23,2566,-,ค่าใช้จ่ายทั้งสิ้นเฉลี่ยต่อเดือนต่อคน,3-4,เปอร์เซ็นต์
24,2566,-,ค่าใช้จ่ายทั้งสิ้นเฉลี่ยต่อเดือนต่อคน,3-4,เปอร์เซ็นต์
25,2566,-,ค่าใช้จ่ายทั้งสิ้นเฉลี่ยต่อเดือนต่อคน,3-4,เปอร์เซ็นต์
26,2566,0.5,ค่าใช้จ่ายทั้งสิ้นเฉลี่ยต่อเดือนต่อคน,3-4,เปอร์เซ็นต์
27,2566,21.6,ค่าใช้จ่ายทั้งสิ้นเฉลี่ยต่อเดือนต่อคน,3-4,เปอร์เซ็นต์
28,2566,58.4,ค่าใช้จ่ายทั้งสิ้นเฉลี่ยต่อเดือนต่อคน,3-4,เปอร์เซ็นต์
29,2566,17.1,ค่าใช้จ่ายทั้งสิ้นเฉลี่ยต่อเดือนต่อคน,3-4,เปอร์เซ็นต์
30,2566,2.4,ค่าใช้จ่ายทั้งสิ้นเฉลี่ยต่อเดือนต่อคน,3-4,เปอร์เซ็นต์
31,2566,-,ค่าใช้จ่ายทั้งสิ้นเฉลี่ยต่อเดือนต่อครัวเรือน,5-7,เปอร์เซ็นต์
32,2566,-,ค่าใช้จ่ายทั้งสิ้นเฉลี่ยต่อเดือนต่อครัวเรือน,5-7,เปอร์เซ็นต์
33,2566,-,ค่าใช้จ่ายทั้งสิ้นเฉลี่ยต่อเดือนต่อครัวเรือน,5-7,เปอร์เซ็นต์
34,2566,5.2,ค่าใช้จ่ายทั้งสิ้นเฉลี่ยต่อเดือนต่อครัวเรือน,5-7,เปอร์เซ็นต์
35,2566,32,ค่าใช้จ่ายทั้งสิ้นเฉลี่ยต่อเดือนต่อครัวเรือน,5-7,เปอร์เซ็นต์
36,2566,46.4,ค่าใช้จ่ายทั้งสิ้นเฉลี่ยต่อเดือนต่อครัวเรือน,5-7,เปอร์เซ็นต์
37,2566,16.4,ค่าใช้จ่ายทั้งสิ้นเฉลี่ยต่อเดือนต่อครัวเรือน,5-7,เปอร์เซ็นต์
38,2566,-,ค่าใช้จ่ายทั้งสิ้นเฉลี่ยต่อเดือนต่อคน,5-7,เปอร์เซ็นต์
39,2566,-,ค่าใช้จ่ายทั้งสิ้นเฉลี่ยต่อเดือนต่อคน,5-7,เปอร์เซ็นต์
40,2566,-,ค่าใช้จ่ายทั้งสิ้นเฉลี่ยต่อเดือนต่อคน,5-7,เปอร์เซ็นต์
41,2566,-,ค่าใช้จ่ายทั้งสิ้นเฉลี่ยต่อเดือนต่อคน,5-7,เปอร์เซ็นต์
42,2566,9,ค่าใช้จ่ายทั้งสิ้นเฉลี่ยต่อเดือนต่อคน,5-7,เปอร์เซ็นต์
43,2566,42,ค่าใช้จ่ายทั้งสิ้นเฉลี่ยต่อเดือนต่อคน,5-7,เปอร์เซ็นต์
44,2566,39.4,ค่าใช้จ่ายทั้งสิ้นเฉลี่ยต่อเดือนต่อคน,5-7,เปอร์เซ็นต์
45,2566,9.7,ค่าใช้จ่ายทั้งสิ้นเฉลี่ยต่อเดือนต่อคน,5-7,เปอร์เซ็นต์
