มูลค่าผลผลิตรวม,ผลผลิตเฉลี่ย,_id,ปี,ผลผลิต,ราคาเฉลี่ย,พื้นที่เพาะปลูก
2412.38,1742,1,2560,84349,28.6,51763
1889.29,1554,2,2561,76181,24.8,51904
2345.82,1762,3,2562,86886,27,52590
1572.2,2065,4,2563,104248,15.08,53526
2162.68,1911,5,2564,93179,23.21,52791
