_id,ปี,เนื้อที่เก็บเกี่ยว,เนื้อที่เพาะปลูก
1,2561,51,51
2,2562,584,584
3,2563,103,103
4,2564,229,229
5,2565,202,202
6,2566,156,161
7,2567,334,334
