VALUE,SOURCE,_id,UNIT,INDICATOR,YEAR
"263,493",การคำนวณภายใต้โครงการ Thailand Digital Outlook ตามนิยามของ OECD โดยอาศัยข้อมูลจาก สำนักงานสถิติแห่งชาติ,1,ราย,ผู้เชี่ยวชาญด้านเทคโนโลยีสารสนเทศและการสื่อสาร (ICT Specialists)  ,2565
"278,996",การคำนวณภายใต้โครงการ Thailand Digital Outlook ตามนิยามของ OECD โดยอาศัยข้อมูลจาก สำนักงานสถิติแห่งชาติ,2,ราย,ผู้เชี่ยวชาญด้านเทคโนโลยีสารสนเทศและการสื่อสาร (ICT Specialists)  ,2566
