ไตรมาส 4,ไตรมาส 1,_id,ปี,ไตรมาส 3,ไตรมาส 2,เพศ,จังหวัด,อาชีพ
422594.07,414602.14,1,2565,431705.32,427215.88,รวม,  สระบุรี                          ,ยอดรวม
232578.39,226465.34,2,2565,235209.9,234704.91,ชาย                         ,  สระบุรี                          ,ยอดรวม
190015.68,188136.8,3,2565,196495.43,192510.96,หญิง                        ,  สระบุรี                          ,ยอดรวม
10920.02,15478.39,4,2565,11643.01,14327.380000000001,รวม,  สระบุรี                          ,ผู้บัญญัติกฏหมาย ข้าราชการระดับอาวุโส และผู้จัดการ
6771.22,10498.61,5,2565,6812.49,9884.33,ชาย                         ,  สระบุรี                          ,ผู้บัญญัติกฏหมาย ข้าราชการระดับอาวุโส และผู้จัดการ
4148.8,4979.78,6,2565,4830.52,4443.06,หญิง                        ,  สระบุรี                          ,ผู้บัญญัติกฏหมาย ข้าราชการระดับอาวุโส และผู้จัดการ
18554.78,17951.51,7,2565,17009.66,16918.55,รวม,  สระบุรี                          ,ผู้ประกอบวิชาชีพด้านต่าง ๆ 
7344.74,5667.02,8,2565,8111.84,6615.08,ชาย                         ,  สระบุรี                          ,ผู้ประกอบวิชาชีพด้านต่าง ๆ 
11210.04,12284.49,9,2565,8897.81,10303.48,หญิง                        ,  สระบุรี                          ,ผู้ประกอบวิชาชีพด้านต่าง ๆ 
22987.53,17652.04,10,2565,21514.22,18330.73,รวม,  สระบุรี                          ,ผู้ประกอบวิชาชีพด้านเทคนิคสาขาต่าง ๆ และอาชีพที่เกี่ยวข้อง
12729.34,8971.3,11,2565,13443.37,9649.49,ชาย                         ,  สระบุรี                          ,ผู้ประกอบวิชาชีพด้านเทคนิคสาขาต่าง ๆ และอาชีพที่เกี่ยวข้อง
10258.19,8680.73,12,2565,8070.85,8681.25,หญิง                        ,  สระบุรี                          ,ผู้ประกอบวิชาชีพด้านเทคนิคสาขาต่าง ๆ และอาชีพที่เกี่ยวข้อง
20424.73,23121.14,13,2565,22773.8,23546.02,รวม,  สระบุรี                          ,เสมียน
6730.73,8218.8,14,2565,6191.59,8255.28,ชาย                         ,  สระบุรี                          ,เสมียน
13694.0,14902.34,15,2565,16582.21,15290.74,หญิง                        ,  สระบุรี                          ,เสมียน
90685.44,82803.38,16,2565,88520.76,83323.8,รวม,  สระบุรี                          ,พนักงานบริการและพนักงานในร้านค้าและตลาด
34821.6,31521.5,17,2565,35949.72,34046.05,ชาย                         ,  สระบุรี                          ,พนักงานบริการและพนักงานในร้านค้าและตลาด
55863.85,51281.88,18,2565,52571.04,49277.74,หญิง                        ,  สระบุรี                          ,พนักงานบริการและพนักงานในร้านค้าและตลาด
48034.22,52860.68,19,2565,55567.06,56148.32,รวม,  สระบุรี                          ,ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้ และการประมง
29710.27,28995.19,20,2565,32200.37,30681.49,ชาย                         ,  สระบุรี                          ,ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้ และการประมง
18323.94,23865.49,21,2565,23366.69,25466.83,หญิง                        ,  สระบุรี                          ,ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้ และการประมง
62372.33,68547.59,22,2565,57743.04,70843.41,รวม,  สระบุรี                          ,ผู้ปฏิบัติงานด้านความสามารถทางฝีมือและธุรกิจการค้าที่เกี่ยวข้อง
43487.99,46264.8,23,2565,38719.6,47745.75,ชาย                         ,  สระบุรี                          ,ผู้ปฏิบัติงานด้านความสามารถทางฝีมือและธุรกิจการค้าที่เกี่ยวข้อง
