จำนวน(ตัว),เกษตรกร(ราย),_id,ปี,อำเภอ
107,1528,1,2566,เมืองนครสวรรค์
155,1796,2,2566,โกรกพระ
8,75,3,2566,ชุมแสง
41,575,4,2566,หนองบัว
58,517,5,2566,บรรพตพิสัย
16,186,6,2566,เก้าเลี้ยว
8,40,7,2566,ตาคลี
15,105,8,2566,ท่าตะโก
37,1048,9,2566,ไพศาลี
22,267,10,2566,พยุหะคีรี
167,2076,11,2566,ลาดยาว
13,67,12,2566,ตากฟ้า
78,595,13,2566,แม่วงก์
59,536,14,2566,แม่เปิน
78,507,15,2566,ชุมตาบง
