จำนวน,_id,ปี,อำเภอ
 850.16 ,1,2563,เมืองตาก
 12.89 ,2,2563,บ้านตาก
 903.91 ,3,2563,สามเงา
" 8,603.16 ",4,2563,แม่ระมาด
,5,2563,ท่าสองยาง
" 16,197.98 ",6,2563,แม่สอด
 494.16 ,7,2563,พบพระ
 8.00 ,8,2563,อุ้มผาง
" 4,188.27 ",9,2563,วังเจ้า
 308.45 ,10,2564,เมืองตาก
,11,2564,บ้านตาก
 477.63 ,12,2564,สามเงา
" 8,094.46 ",13,2564,แม่ระมาด
,14,2564,ท่าสองยาง
" 18,008.84 ",15,2564,แม่สอด
 242.84 ,16,2564,พบพระ
 8.00 ,17,2564,อุ้มผาง
" 2,974.75 ",18,2564,วังเจ้า
 432.70 ,19,2565,เมืองตาก
 12.89 ,20,2565,บ้านตาก
" 1,739.75 ",21,2565,สามเงา
" 13,181.42 ",22,2565,แม่ระมาด
,23,2565,ท่าสองยาง
" 22,315.30 ",24,2565,แม่สอด
 269.34 ,25,2565,พบพระ
 8.00 ,26,2565,อุ้มผาง
" 2,690.50 ",27,2565,วังเจ้า
 502.78 ,28,2566,เมืองตาก
,29,2566,บ้านตาก
" 1,727.13 ",30,2566,สามเงา
" 14,326.10 ",31,2566,แม่ระมาด
,32,2566,ท่าสองยาง
" 23,765.83 ",33,2566,แม่สอด
 239.69 ,34,2566,พบพระ
 8.00 ,35,2566,อุ้มผาง
" 3,278.30 ",36,2566,วังเจ้า
 597.40 ,37,2567,เมืองตาก
,38,2567,บ้านตาก
" 1,664.44 ",39,2567,สามเงา
" 14,460.04 ",40,2567,แม่ระมาด
 10.00 ,41,2567,ท่าสองยาง
" 24,067.85 ",42,2567,แม่สอด
 174.56 ,43,2567,พบพระ
,44,2567,อุ้มผาง
" 3,822.35 ",45,2567,วังเจ้า
