จำนวนคน,_id,ปี,ประเภทอุตสาหกรรม
"213,420",133,2562,เกษตรกรรม การป่าไม้ และการประมง
"3,529",134,2562,การทำเหมืองแร่ และเหมืองหิน
"32,587",135,2562,การผลิต
985,136,2562,การไฟฟ้า ก๊าซ และไอน้ำ
"1,804",137,2562,การจัดหาน้ำ บำบัดน้ำเสีย
"15,208",138,2562,การก่อสร้าง
"50,725",139,2562,การขายส่ง การขายปลีก 
"5,670",140,2562,การขนส่งที่เก็บสินค้า
"18,449",141,2562,กิจกรรมโรงแรม และอาหาร
"1,083",142,2562,ข้อมูลข่าวสาร และการสื่อสาร
"4,067",143,2562,กิจการทางการเงินและการประกันภัย
254,144,2562,กิจการด้านอสังหาริมทรัพย์ 
83,145,2562,กิจกรรมทางวิชาชีพและเทคนิค
"2,213",146,2562,การบริหารและการสนับสนุน
"15,776",147,2562,การบริหารราชการและป้องกันประเทศ
"12,000",148,2562,การศึกษา
"7,418",149,2562,สุขภาพและสังคมสงเคราะห์
"1,540",150,2562,ศิลปะความบันเทิงนันทนาการ
"23,480",151,2562,กิจกรรมบริการด้านอื่น ๆ
744,152,2562,ลูกจ้างในครัวเรือนส่วนบุคคล
,153,2562,องค์การระหว่างประเทศ
,154,2562,ไม่ทราบ
"202,758",155,2563,เกษตรกรรม การป่าไม้ และการประมง
"2,930",156,2563,การทำเหมืองแร่ และเหมืองหิน
"35,525",157,2563,การผลิต
"1,123",158,2563,การไฟฟ้า ก๊าซ และไอน้ำ
"1,504",159,2563,การจัดหาน้ำ บำบัดน้ำเสีย
"17,319",160,2563,การก่อสร้าง
"54,337",161,2563,การขายส่ง การขายปลีก 
"6,189",162,2563,การขนส่งที่เก็บสินค้า
"24,728",163,2563,กิจกรรมโรงแรม และอาหาร
55,164,2563,ข้อมูลข่าวสาร และการสื่อสาร
"3,467",165,2563,กิจการทางการเงินและการประกันภัย
137,166,2563,กิจการด้านอสังหาริมทรัพย์ 
606,167,2563,กิจกรรมทางวิชาชีพและเทคนิค
"1,659",168,2563,การบริหารและการสนับสนุน
"16,183",169,2563,การบริหารราชการและป้องกันประเทศ
"11,127",170,2563,การศึกษา
"5,631",171,2563,สุขภาพและสังคมสงเคราะห์
"1,652",172,2563,ศิลปะความบันเทิงนันทนาการ
"18,623",173,2563,กิจกรรมบริการด้านอื่น ๆ
794,174,2563,ลูกจ้างในครัวเรือนส่วนบุคคล
,175,2563,องค์การระหว่างประเทศ
,176,2563,ไม่ทราบ
"212,605",177,2564,เกษตรกรรม การป่าไม้ และการประมง
"1,761",178,2564,การทำเหมืองแร่ และเหมืองหิน
"30,055",179,2564,การผลิต
"2,875",180,2564,การไฟฟ้า ก๊าซ และไอน้ำ
"1,385",181,2564,การจัดหาน้ำ บำบัดน้ำเสีย
"22,567",182,2564,การก่อสร้าง
"53,761",183,2564,การขายส่ง การขายปลีก 
"6,440",184,2564,การขนส่งที่เก็บสินค้า
"22,661",185,2564,กิจกรรมโรงแรม และอาหาร
241,186,2564,ข้อมูลข่าวสาร และการสื่อสาร
"2,460",187,2564,กิจการทางการเงินและการประกันภัย
194,188,2564,กิจการด้านอสังหาริมทรัพย์ 
"1,166",189,2564,กิจกรรมทางวิชาชีพและเทคนิค
845,190,2564,การบริหารและการสนับสนุน
"13,526",191,2564,การบริหารราชการและป้องกันประเทศ
"9,471",192,2564,การศึกษา
"7,399",193,2564,สุขภาพและสังคมสงเคราะห์
"1,734",194,2564,ศิลปะความบันเทิงนันทนาการ
"15,391",195,2564,กิจกรรมบริการด้านอื่น ๆ
"1,378",196,2564,ลูกจ้างในครัวเรือนส่วนบุคคล
,197,2564,องค์การระหว่างประเทศ
,198,2564,ไม่ทราบ
"205,308",199,2565,เกษตรกรรม การป่าไม้ และการประมง
"1,040",200,2565,การทำเหมืองแร่ และเหมืองหิน
"33,978",201,2565,การผลิต
684,202,2565,การไฟฟ้า ก๊าซ และไอน้ำ
508,203,2565,การจัดหาน้ำ บำบัดน้ำเสีย
"22,297",204,2565,การก่อสร้าง
"60,743",205,2565,การขายส่ง การขายปลีก 
"7,661",206,2565,การขนส่งที่เก็บสินค้า
"23,589",207,2565,กิจกรรมโรงแรม และอาหาร
495,208,2565,ข้อมูลข่าวสาร และการสื่อสาร
"6,429",209,2565,กิจการทางการเงินและการประกันภัย
204,210,2565,กิจการด้านอสังหาริมทรัพย์ 
"2,289",211,2565,กิจกรรมทางวิชาชีพและเทคนิค
"1,075",212,2565,การบริหารและการสนับสนุน
"14,126",213,2565,การบริหารราชการและป้องกันประเทศ
"10,661",214,2565,การศึกษา
"5,608",215,2565,สุขภาพและสังคมสงเคราะห์
"3,234",216,2565,ศิลปะความบันเทิงนันทนาการ
"25,298",217,2565,กิจกรรมบริการด้านอื่น ๆ
"2,211",218,2565,ลูกจ้างในครัวเรือนส่วนบุคคล
,219,2565,องค์การระหว่างประเทศ
,220,2565,ไม่ทราบ
"219,735",221,2566,เกษตรกรรม การป่าไม้ และการประมง
572,222,2566,การทำเหมืองแร่ และเหมืองหิน
"33,626",223,2566,การผลิต
1159.28,224,2566,การไฟฟ้า ก๊าซ และไอน้ำ
731.08,225,2566,การจัดหาน้ำ บำบัดน้ำเสีย
"28,770",226,2566,การก่อสร้าง
"71,067",227,2566,การขายส่ง การขายปลีก 
"4,314",228,2566,การขนส่งที่เก็บสินค้า
"20,886",229,2566,กิจกรรมโรงแรม และอาหาร
850.17,230,2566,ข้อมูลข่าวสาร และการสื่อสาร
"4,886",231,2566,กิจการทางการเงินและการประกันภัย
175.54,232,2566,กิจการด้านอสังหาริมทรัพย์ 
120,233,2566,กิจกรรมทางวิชาชีพและเทคนิค
473,234,2566,การบริหารและการสนับสนุน
"10,926",235,2566,การบริหารราชการและป้องกันประเทศ
"10,845",236,2566,การศึกษา
"4,302",237,2566,สุขภาพและสังคมสงเคราะห์
"3,118",238,2566,ศิลปะความบันเทิงนันทนาการ
"16,875",239,2566,กิจกรรมบริการด้านอื่น ๆ
"1,127",240,2566,ลูกจ้างในครัวเรือนส่วนบุคคล
,241,2566,องค์การระหว่างประเทศ
,242,2566,ไม่ทราบ
"207,584",243,2567,เกษตรกรรม การป่าไม้ และการประมง
"6,860",244,2567,การทำเหมืองแร่ และเหมืองหิน
"31,894",245,2567,การผลิต
"2,606",246,2567,การไฟฟ้า ก๊าซ และไอน้ำ
966,247,2567,การจัดหาน้ำ บำบัดน้ำเสีย
"23,558",248,2567,การก่อสร้าง
"74,914",249,2567,การขายส่ง การขายปลีก 
"7,039",250,2567,การขนส่งที่เก็บสินค้า
"25,774",251,2567,กิจกรรมโรงแรม และอาหาร
349,252,2567,ข้อมูลข่าวสาร และการสื่อสาร
"3,463",253,2567,กิจการทางการเงินและการประกันภัย
327,254,2567,กิจการด้านอสังหาริมทรัพย์ 
846,255,2567,กิจกรรมทางวิชาชีพและเทคนิค
"5,341",256,2567,การบริหารและการสนับสนุน
"15,410",257,2567,การบริหารราชการและป้องกันประเทศ
"13,880",258,2567,การศึกษา
"3,239",259,2567,สุขภาพและสังคมสงเคราะห์
"2,658",260,2567,ศิลปะความบันเทิงนันทนาการ
"7,879",261,2567,กิจกรรมบริการด้านอื่น ๆ
"1,123",262,2567,ลูกจ้างในครัวเรือนส่วนบุคคล
,263,2567,องค์การระหว่างประเทศ
,264,2567,ไม่ทราบ
