_id,หน่วยผลผลิตเฉลี่ย,ปี,ข้อมูล,หน่วยผลผลิต,อำเภอ,เนื้อที่เพาะปลูก,เนื้อที่เก็บเกี่ยว,หน่วยเนื้อที่,ผลผลิต,ผลผลิตเฉลี่ย
1,กิโลกรัมต่อไร่,2561,ข้าวนาปรัง,ตัน,เมืองสุพรรณบุรี,160457,160401,ไร่,114687,715
2,กิโลกรัมต่อไร่,2561,ข้าวนาปรัง,ตัน,ดอนเจดีย์,16633,16614,ไร่,11813,711
3,กิโลกรัมต่อไร่,2561,ข้าวนาปรัง,ตัน,ด่านช้าง,0,0,ไร่,0,0
4,กิโลกรัมต่อไร่,2561,ข้าวนาปรัง,ตัน,เดิมบางนางบวช,142807,142744,ไร่,101348,710
5,กิโลกรัมต่อไร่,2561,ข้าวนาปรัง,ตัน,บางปลาม้า,196780,196690,ไร่,140437,714
6,กิโลกรัมต่อไร่,2561,ข้าวนาปรัง,ตัน,ศรีประจันต์,60245,60118,ไร่,44668,743
7,กิโลกรัมต่อไร่,2561,ข้าวนาปรัง,ตัน,สองพี่น้อง,134954,134896,ไร่,96855,718
8,กิโลกรัมต่อไร่,2561,ข้าวนาปรัง,ตัน,สามชุก,62836,62775,ไร่,45575,726
9,กิโลกรัมต่อไร่,2561,ข้าวนาปรัง,ตัน,หนองหญ้าไซ,47604,47571,ไร่,35631,749
10,กิโลกรัมต่อไร่,2561,ข้าวนาปรัง,ตัน,อู่ทอง,83720,83572,ไร่,59754,715
11,กิโลกรัมต่อไร่,2562,ข้าวนาปรัง,ตัน,เมืองสุพรรณบุรี,152469,152419,ไร่,108217,710
12,กิโลกรัมต่อไร่,2562,ข้าวนาปรัง,ตัน,ดอนเจดีย์,20734,20712,ไร่,15244,736
13,กิโลกรัมต่อไร่,2562,ข้าวนาปรัง,ตัน,ด่านช้าง,0,0,ไร่,0,0
14,กิโลกรัมต่อไร่,2562,ข้าวนาปรัง,ตัน,เดิมบางนางบวช,114187,114082,ไร่,82481,723
15,กิโลกรัมต่อไร่,2562,ข้าวนาปรัง,ตัน,บางปลาม้า,194980,194891,ไร่,142076,729
16,กิโลกรัมต่อไร่,2562,ข้าวนาปรัง,ตัน,ศรีประจันต์,59493,59379,ไร่,43703,736
17,กิโลกรัมต่อไร่,2562,ข้าวนาปรัง,ตัน,สองพี่น้อง,131200,130741,ไร่,93349,714
18,กิโลกรัมต่อไร่,2562,ข้าวนาปรัง,ตัน,สามชุก,65572,65023,ไร่,46752,719
19,กิโลกรัมต่อไร่,2562,ข้าวนาปรัง,ตัน,หนองหญ้าไซ,3232,3205,ไร่,2343,718
20,กิโลกรัมต่อไร่,2562,ข้าวนาปรัง,ตัน,อู่ทอง,90486,90314,ไร่,64845,718
21,กิโลกรัมต่อไร่,2563,ข้าวนาปรัง,ตัน,เมืองสุพรรณบุรี,86252,85694,ไร่,60414,705
22,กิโลกรัมต่อไร่,2563,ข้าวนาปรัง,ตัน,ดอนเจดีย์,182,182,ไร่,135,741
23,กิโลกรัมต่อไร่,2563,ข้าวนาปรัง,ตัน,ด่านช้าง,0,0,ไร่,0,0
24,กิโลกรัมต่อไร่,2563,ข้าวนาปรัง,ตัน,เดิมบางนางบวช,51940,51455,ไร่,37048,720
25,กิโลกรัมต่อไร่,2563,ข้าวนาปรัง,ตัน,บางปลาม้า,196780,196630,ไร่,143540,730
26,กิโลกรัมต่อไร่,2563,ข้าวนาปรัง,ตัน,ศรีประจันต์,21162,20978,ไร่,15188,724
27,กิโลกรัมต่อไร่,2563,ข้าวนาปรัง,ตัน,สองพี่น้อง,136854,136769,ไร่,99841,730
28,กิโลกรัมต่อไร่,2563,ข้าวนาปรัง,ตัน,สามชุก,12351,12204,ไร่,8787,720
29,กิโลกรัมต่อไร่,2563,ข้าวนาปรัง,ตัน,หนองหญ้าไซ,169,169,ไร่,123,728
30,กิโลกรัมต่อไร่,2563,ข้าวนาปรัง,ตัน,อู่ทอง,87112,86297,ไร่,62134,720
